feature,Counts
(AAM) age at menopause genetic risk,7
(AD) alzheimer's disease genetic risk,1
(AF) atrial fibrillation genetic risk,3
(AMD) age-related macular degeneration genetic risk,3
(AST) asthma genetic risk,5
(BMI) body mass index genetic risk,1
(CD) crohn's disease genetic risk,1
(CED) coeliac disease genetic risk,1
(CRC) bowel cancer genetic risk,2
(HDL) high density lipoprotein cholesterol genetic risk,4
(HT) hypertension genetic risk,2
(ISS) ischaemic stroke genetic risk,5
(LDL SF) low density lipoprotein cholesterol genetic risk,6
(MEL) melanoma genetic risk,8
(MS) multiple sclerosis genetic risk,1
(PC) prostate cancer genetic risk,4
(RA) rheumatoid arthritis genetic risk,1
(SLE) systemic lupus erythematosus genetic risk,1
(T2D) type 2 diabetes genetic risk,1
(UC) ulcerative colitis genetic risk,1
(United Kingdom) Year immigrated to UK,2
3-Hydroxybutyrate,5
A09.9 - Gastroenteritis and colitis of unspecified origin,1
AD alzheimer s disease genetic risk,3
AMD age related macular degeneration genetic risk,2
Acceptability of each blow result (text) | False,1
Acceptability of each blow result (text) | True,1
Acetate,1
Acetoacetate,5
Acetone,4
Acute renal failure,1
"Age hay fever, rhinitis or eczema diagnosed",1
"Age hay fever, rhinitis or eczema diagnosed not",1
Age heart attack diagnosed,1
Age high blood pressure diagnosed,1
Alanine,3
Alanine aminotransferase,3
Alcohol drinker status Never,1
Alcohol intake frequency Once or twice a week,1
Alcohol intake frequency One to three times a month,1
Alcohol intake frequency Three or four times a week,1
Allergy adverse effect of penicillin,2
Anal and rectal conditions,1
Angina pectoris,1
Anxiety disorder,1
Apolipoprotein A Blood biochemistry,2
Apolipoprotein A1,3
Apolipoprotein B,2
Apolipoprotein B Blood biochemistry,2
Apolipoprotein B to Apolipoprotein A1 ratio,4
Arm fat percentage,7
Arthropathy NOS,3
Ascites non malignant,1
Atrial fibrillation and flutter,2
Average Diameter for HDL Particles,1
Average Diameter for LDL Particles,6
Average Diameter for VLDL Particles,2
Average total household income before tax,1
BC breast cancer genetic risk,5
BD bipolar disorder genetic risk,4
Basophill count,3
Basophill percentage,2
Behavioural and miscellaneous addictions,1
Benign neoplasm of colon,1
Benign neoplasm of other parts of digestive system,1
Bipolar and major depression status,1
Bipolar and major depression status No Bipolar or Depression,2
Birth weight,3
Birth weight known,2
Birth weight known Yes - pounds and ounces,1
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor None of the above",2
CAD coronary artery disease genetic risk,3
CD crohn s disease genetic risk,4
CED coeliac disease genetic risk,3
CRC bowel cancer genetic risk,1
CVD cardiovascular disease genetic risk,3
Cancer of bronchus; lung,2
Cancer of prostate,1
Cataract,1
Chest pain due to walking ceases when standing still,1
Cholelithiasis with other cholecystitis,1
Cholesterol Blood biochemistry,4
Cholesterol in Chylomicrons and Extremely Large VLDL,1
Cholesterol in IDL,3
Cholesterol in Large LDL,1
Cholesterol in Medium HDL,3
Cholesterol in Medium LDL,1
Cholesterol in Medium VLDL,1
Cholesterol in Small HDL,2
Cholesterol in Small LDL,2
Cholesterol in Small VLDL,1
Cholesterol in Very Large HDL,1
Cholesterol in Very Large VLDL,2
Cholesterol in Very Small VLDL,1
Circulatory disease NEC,2
Cochlear implant,2
Coffee intake,1
Complications of cardiac vascular device implant and graft,1
Complications of transplants and reattached limbs,3
Concentration of Chylomicrons and Extremely Large VLDL Particles,1
Concentration of HDL Particles,2
Concentration of IDL Particles,3
Concentration of Large HDL Particles,2
Concentration of Large VLDL Particles,2
Concentration of Medium HDL Particles,2
Concentration of Medium LDL Particles,3
Concentration of Medium VLDL Particles,1
Concentration of Small HDL Particles,2
Concentration of Small LDL Particles,2
Concentration of Small VLDL Particles,1
Concentration of VLDL Particles,2
Concentration of Very Large HDL Particles,3
Concentration of Very Large VLDL Particles,2
Concentration of Very Small VLDL Particles,3
Contra-indications for spirometry,2
Coronary atherosclerosis,1
DVT blood clot in leg Age deep vein thrombosis diagnosed,1
Date of all cause dementia report,2
Diaphragmatic hernia,2
Direct bilirubin,5
Diverticulosis,4
Doctor diagnosed COPD chronic obstructive pulmonary disease,1
Doctor diagnosed asbestosis,1
Doctor diagnosed asthma,1
Doctor diagnosed bronchiectasis,1
Doctor diagnosed cystic fibrosis,2
Doctor diagnosed lung cancer not mesothelioma,1
Duodenitis,1
EBMDT estimated bone mineral density t score genetic risk,6
EOC epithelial ovarian cancer genetic risk,7
Essential hypertension,2
Ethnic background Any other mixed background,1
Ever addicted to any substance or behaviour,1
Ever had bowel cancer screening,2
Eye problems disorders Cataract,1
"F32.9 - Depressive episode, unspecified",1
Falls in the last year More than one fall,1
Falls in the last year No falls,2
Falls in the last year Only one fall,1
Fed up feelings,6
Fluid intelligence score,4
Fracture resulting from simple fall,1
Fractured/broken bones in last 5 years,1
Frequency of depressed mood in last 2 weeks Not at all,4
Frequency of friend family visits Almost daily,2
Frequency of tiredness / lethargy in last 2 weeks Nearly every day,1
Frequency of tiredness / lethargy in last 2 weeks Not at all,1
GERD,1
Gastritis and duodenitis,3
Genetic ethnic grouping,1
Gestational diabetes only,2
HBA1C DF glycated haemoglobin genetic risk,5
HDL cholesterol Blood biochemistry,3
HEIGHT height genetic risk,3
HSV 1 seropositivity for Herpes Simplex virus 1,1
HSV 2 seropositivity for Herpes Simplex virus 2,1
Had major operations,1
Had other major operations Yes - you will be asked about this later by an interviewer,2
Haemoglobin concentration,4
Hallux valgus (Bunion),2
Health satisfaction,2
Health satisfaction Moderately unhappy,1
Health satisfaction Very happy,1
Health satisfaction Very unhappy,1
Hearing difficulty problems,5
Hemorrhage of rectum and anus,1
Hemorrhoids,2
Hip circumference,5
Home area population density  urban or rural England Wales  Town and Fringe  less sparse,4
Home area population density  urban or rural England Wales  Urban  less sparse,5
Home area population density  urban or rural England Wales  Village  less sparse,1
Home area population density  urban or rural Scotland  Accessible Rural,2
Home area population density  urban or rural Scotland  Accessible Small Town,2
Home area population density  urban or rural Scotland  Large Urban Area,1
Home area population density  urban or rural Scotland  Other Urban Area,4
Home area population density - urban or rural Scotland - Large Urban Area,5
Hot drink temperature Hot,3
