feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
"Age hay fever, rhinitis or eczema diagnosed",C0018621,Hay fever,Hay fever. Allergic rhinitis caused by outdoor allergens.,0,0.678,0.0,1.0,0.2,0.0,1.0,0.0,0.0,"Age hay fever, rhinitis or eczema diagnosed_63",-0.07,-0.07,2,61,0.14
"Age hay fever, rhinitis or eczema diagnosed",C0035455,Rhinitis,"Rhinitis. Inflammation of the NASAL MUCOSA, the mucous membrane lining the NASAL CAVITIES.",0,0.591,0.0,1.0,0.2,0.0,1.0,0.0,0.0,"Age hay fever, rhinitis or eczema diagnosed_63",-0.07,-0.07,2,0,0.0
"Age hay fever, rhinitis or eczema diagnosed",C0013595,Eczema,"Eczema. A pruritic papulovesicular dermatitis occurring as a reaction to many endogenous and exogenous agents (Dorland, 27th ed).",0,0.311,0.0,1.0,0.2,0.0,1.0,0.0,0.0,"Age hay fever, rhinitis or eczema diagnosed_63",-0.07,-0.07,2,9,0.01
(PSA) Time since last prostate specific antigen test,C0201544,Prostate specific antigen measurement,Prostate specific antigen measurement. The determination of the prostate specific antigen present in a sample.,0,0.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,(PSA) Time since last prostate specific antigen test_14,-0.13,-0.13,2,51,0.71
(PSA) Time since last prostate specific antigen test,C0138741,Prostate-Specific Antigen,"Prostate-Specific Antigen. A glycoprotein that is a kallikrein-like serine proteinase and an esterase, produced by epithelial cells of both normal and malignant prostate tissue. It is an important marker for the diagnosis of prostate cancer.",0,0.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,(PSA) Time since last prostate specific antigen test_14,-0.13,-0.13,2,4,0.01
Eye problems/disorders Injury or trauma resulting in loss of vision|Cataract|Other serious eye condition,C0043251,Wounds and Injuries,"Wounds and Injuries. Damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity.",0,0.589,0.0,0.0,0.0,0.0,1.0,0.0,0.0004,Eye problems/disorders_Injury or trauma resulting in loss of vision|Cataract|Other serious eye condition,0.25,0.25,2,194,0.05
Eye problems/disorders Injury or trauma resulting in loss of vision|Cataract|Other serious eye condition,C1510467,trauma qualifier,"trauma qualifier. Used with anatomic headings, animals, and sports for wounds and injuries. Excludes cell damage, for which ""pathology"" is used.",0,0.48,0.0,0.0,0.0,0.0,1.0,0.0,0.0004,Eye problems/disorders_Injury or trauma resulting in loss of vision|Cataract|Other serious eye condition,0.25,0.25,99,306,inf
Eye problems/disorders Injury or trauma resulting in loss of vision|Cataract|Other serious eye condition,C3263723,Traumatic injury,"Traumatic injury. Damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity.",0,0.576,0.0,0.0,0.0,0.0,1.0,0.0,0.0004,Eye problems/disorders_Injury or trauma resulting in loss of vision|Cataract|Other serious eye condition,0.25,0.25,2,56,0.35
Z86.6 - Personal history of diseases of the nervous system and sense organs,C0424945,Social and personal history,Social and personal history. ,0,0.274,0.0,1.0,0.2,0.0021,0.9918,0.005,0.0002,Z86.6 - Personal history of diseases of the nervous system and sense organs,0.08,0.08,99,49,inf
Z86.6 - Personal history of diseases of the nervous system and sense organs,C0029896,Otorhinolaryngologic Diseases,"Otorhinolaryngologic Diseases. Pathological processes of the ear, the nose, and the throat, also known as the ENT diseases.",0,0.317,0.0,1.0,0.2,0.0021,0.9918,0.005,0.0002,Z86.6 - Personal history of diseases of the nervous system and sense organs,0.08,0.08,2,361,13.88
Z86.6 - Personal history of diseases of the nervous system and sense organs,C0027763,Nervous system structure,"Nervous system structure. The entire nerve apparatus, composed of a central part, the brain and spinal cord, and a peripheral part, the cranial and spinal nerves, autonomic ganglia, and plexuses. (Stedman, 26th ed)",0,0.396,0.0,1.0,0.2,0.0021,0.9918,0.005,0.0002,Z86.6 - Personal history of diseases of the nervous system and sense organs,0.08,0.08,2,79,2.47
