feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Job code at visit sorters messengers,C0169911,messenger protein,messenger protein. ,0,0.277,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Job code at visit__sorters messengers,-0.03,0.0,2,1,0.0
Job code at visit sorters messengers,C0335218,Messenger (Occupation),Messenger (Occupation). ,0,0.597,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Job code at visit__sorters messengers,-0.03,0.0,99,2,inf
Qualifications O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,C5551064,SLC6A19 wt Allele,"SLC6A19 wt Allele. Human SLC6A19 wild-type allele is located in the vicinity of 5p15.33 and is approximately 24 kb in length. This allele, which encodes sodium-dependent neutral amino acid transporter B(0)AT1 protein, plays a role in epithelial cell uptake of neutral amino acids. Mutation of the gene is associated with iminoglycinuria, hyperglycinuria and Hartnup disorder.",0,0.165,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Qualifications_O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,0.06,0.11,99,0,0.0
Qualifications O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,C0205163,Equal,Equal. A person or thing equal to another in value or measure or force or effect or significance etc.; being essentially equal to something.,0,0.257,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Qualifications_O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,0.06,0.11,99,0,0.0
Qualifications O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,C0439185,Equivalent Weight,"Equivalent Weight. A unit of relative amount of a substance that combines with or displaces 8.0 grams of oxygen or 1.008 gram of hydrogen. The unit is usually expressed in grams and is equal to the amount of substance that gains or loses one mole of electrons in a redox reaction, or to the amount of substances that releases or accepts one mole of hydrogen ions in a neutralization reaction; or to the amount of electrolyte that carries one mole of positive or negative charge. This is a large unit and measurements are more often done in its derivatives, e.g. in milliequivalents.",0,0.265,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Qualifications_O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,0.06,0.11,3,0,0.0
Job code at visit workers mail,C0024492,Mail,"Mail. <p>Participation by text or diagrams printed on paper transmitted physically (e.g. by courier service, postal service).</p>",0,0.431,0.0,0.0,0.0,0.0,1.0,0.0,0.0006,Job code at visit__workers mail,-0.04,0.01,3,37,1.85
"Age hay fever, rhinitis or eczema diagnosed",C0001779,Age,Age. How long something has existed; elapsed time since birth.,0,0.356,0.0,0.0,0.0,0.0,1.0,0.0,0.0007,"Age hay fever, rhinitis or eczema diagnosed_38",-0.12,-0.12,2,0,0.0
"Age hay fever, rhinitis or eczema diagnosed",C0018621,Hay fever,Hay fever. Allergic rhinitis caused by outdoor allergens.,0,0.678,0.0,0.0,0.0,0.0,1.0,0.0,0.0007,"Age hay fever, rhinitis or eczema diagnosed_38",-0.12,-0.12,2,0,0.0
"Age hay fever, rhinitis or eczema diagnosed",C0035455,Rhinitis,"Rhinitis. Inflammation of the NASAL MUCOSA, the mucous membrane lining the NASAL CAVITIES.",0,0.591,0.0,0.0,0.0,0.0,1.0,0.0,0.0007,"Age hay fever, rhinitis or eczema diagnosed_38",-0.12,-0.12,2,0,0.0
"Age hay fever, rhinitis or eczema diagnosed",C0013595,Eczema,"Eczema. A pruritic papulovesicular dermatitis occurring as a reaction to many endogenous and exogenous agents (Dorland, 27th ed).",0,0.311,0.0,0.0,0.0,0.0,1.0,0.0,0.0007,"Age hay fever, rhinitis or eczema diagnosed_38",-0.12,-0.12,2,3,0.0
Weight (p23098),C0005910,Body Weight,Body Weight. The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.,0,0.522,0.0,0.0,0.0,0.0112,1.0,-0.001,0.0,Weight (p23098),-0.06,-0.06,2,8,0.01
Weight (p23098),C0043100,Weight,Weight. The vertical force exerted by a mass as a result of gravity.,0,0.519,0.0,0.0,0.0,0.0112,1.0,-0.001,0.0,Weight (p23098),-0.06,-0.06,3,9,0.12
