feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Bladder neck obstruction,C0005694,Bladder neck obstruction,"Bladder neck obstruction. Blocked urine flow through the bladder neck, the narrow internal urethral opening at the base of the URINARY BLADDER. Narrowing or strictures of the URETHRA can be congenital or acquired. It is often observed in males with enlarged PROSTATE glands.",0,0.875,0.0,0.0,0.0,0.0002,0.9992,-0.003,0.0,Bladder neck obstruction,0.08,0.08,2,57,0.7
Seborrheic keratosis,C0022603,Seborrheic keratosis,"Seborrheic keratosis. Benign eccrine poromas that present as multiple oval, brown-to-black plaques, located mostly on the chest and back. The age of onset is usually in the fourth or fifth decade.",0,0.855,0.0,0.0,0.0,0.0,0.9744,-0.001,0.0,Seborrheic keratosis,0.13,0.13,2,0,0.0
Cholelithiasis with other cholecystitis,C0008350,Cholelithiasis,"Cholelithiasis. Presence or formation of GALLSTONES in the BILIARY TRACT, usually in the gallbladder (CHOLECYSTOLITHIASIS) or the common bile duct (CHOLEDOCHOLITHIASIS).",0,0.855,0.0,0.0,0.0,0.0004,0.9593,0.001,0.0007,Cholelithiasis with other cholecystitis,0.24,0.32,2,114,0.19
Cholelithiasis with other cholecystitis,C0008325,Cholecystitis,"Cholecystitis. Inflammation of the GALLBLADDER; generally caused by impairment of BILE flow, GALLSTONES in the BILIARY TRACT, infections, or other diseases.",0,0.823,0.0,0.0,0.0,0.0004,0.9593,0.001,0.0007,Cholelithiasis with other cholecystitis,0.24,0.32,2,229,0.87
Z90.4 - Acquired absence of other parts of digestive tract,C1689985,Absence (morphologic abnormality),Absence (morphologic abnormality). ,0,0.252,0.0,0.0,0.0,0.0016,0.9542,0.002,0.0,Z90.4 - Acquired absence of other parts of digestive tract,-0.02,-0.02,99,0,0.0
Z90.4 - Acquired absence of other parts of digestive tract,C0017189,Gastrointestinal tract structure,"Gastrointestinal tract structure. Generally refers to the digestive structures stretching from the MOUTH to ANUS, but does not include the accessory glandular organs (LIVER; BILIARY TRACT; PANCREAS).",0,0.496,0.0,0.0,0.0,0.0016,0.9542,0.002,0.0,Z90.4 - Acquired absence of other parts of digestive tract,-0.02,-0.02,2,74,0.38
Esophageal bleeding (varices/hemorrhage),C0239293,Esophageal bleeding,Esophageal bleeding. Bleeding originating from the esophagus.,0,0.719,0.0,0.0,0.0,0.0003,0.9454,-0.003,0.0001,Esophageal bleeding (varices/hemorrhage),-0.06,-0.06,2,114,4.07
Ever addicted to illicit or recreational drugs infrequent,C0858354,addict,addict. ,0,0.578,0.0,0.0,0.0,0.0,0.939,0.0,0.0,Ever addicted to illicit or recreational drugs_infrequent_,0.0,0.0,2,82,0.15
Ever addicted to illicit or recreational drugs infrequent,C0332266,Illicit,Illicit. ,0,0.34,0.0,0.0,0.0,0.0,0.939,0.0,0.0,Ever addicted to illicit or recreational drugs_infrequent_,0.0,0.0,99,38,inf
Ever addicted to illicit or recreational drugs infrequent,C0242508,Recreational Drugs,Recreational Drugs. A drug used for personal enjoyment rather than for medicinal purposes.,0,0.435,0.0,0.0,0.0,0.0,0.939,0.0,0.0,Ever addicted to illicit or recreational drugs_infrequent_,0.0,0.0,2,0,0.0
Sleep apnea,C3496180,SLEEP APNEA (device),SLEEP APNEA (device). ,0,0.65,0.0,1.0,0.3,0.0017,0.9389,0.005,0.0,Sleep apnea,0.11,0.11,99,88,inf
Sleep apnea,C0520680,"Sleep Apnea, Central","Sleep Apnea, Central. A condition associated with multiple episodes of sleep apnea which are distinguished from obstructive sleep apnea (SLEEP APNEA, OBSTRUCTIVE) by the complete cessation of efforts to breathe. This disorder is associated with dysfunction of central nervous system centers that regulate respiration.",0,0.592,0.0,1.0,0.3,0.0017,0.9389,0.005,0.0,Sleep apnea,0.11,0.11,2,24,0.13
Z47.0 - Follow-up care involving removal of fracture plate and other internal fixation device,C0589120,Follow-up status,Follow-up status. ,0,0.339,0.0,1.0,0.2,0.0001,0.9248,-0.001,0.0,Z47.0 - Follow-up care involving removal of fracture plate and other internal fixation device,0.09,0.2,2,0,0.0
Z47.0 - Follow-up care involving removal of fracture plate and other internal fixation device,C3899107,Follow-Up Care,"Follow-Up Care. Any clinical attention received following a diagnosis or treatment, with the specific purpose of monitoring that specific diagnosis or treatment.",0,0.412,0.0,1.0,0.2,0.0001,0.9248,-0.001,0.0,Z47.0 - Follow-up care involving removal of fracture plate and other internal fixation device,0.09,0.2,2,2,0.05
Z47.0 - Follow-up care involving removal of fracture plate and other internal fixation device,C0015252,removal technique,removal technique. The surgical removal of an organ or a part of an organ.,0,0.266,0.0,1.0,0.2,0.0001,0.9248,-0.001,0.0,Z47.0 - Follow-up care involving removal of fracture plate and other internal fixation device,0.09,0.2,2,78,0.04
Z47.0 - Follow-up care involving removal of fracture plate and other internal fixation device,C0016642,"Fracture Fixation, Internal","Fracture Fixation, Internal. The use of internal devices (metal plates, nails, rods, etc.) to hold the position of a fracture in proper alignment.",0,0.587,0.0,1.0,0.2,0.0001,0.9248,-0.001,0.0,Z47.0 - Follow-up care involving removal of fracture plate and other internal fixation device,0.09,0.2,2,83,0.12
Z47.0 - Follow-up care involving removal of fracture plate and other internal fixation device,C0079635,Internal Fixators,"Internal Fixators. Internal devices used in osteosynthesis to hold the position of the fracture in proper alignment. By applying the principles of biomedical engineering, the surgeon uses metal plates, nails, rods, etc., for the correction of skeletal defects.",0,0.58,0.0,1.0,0.2,0.0001,0.9248,-0.001,0.0,Z47.0 - Follow-up care involving removal of fracture plate and other internal fixation device,0.09,0.2,2,0,0.0
Dizziness and giddiness (Light-headedness and vertigo),C0012833,Dizziness,"Dizziness. An imprecise term which may refer to a sense of spatial disorientation, motion of the environment, or lightheadedness.",0,0.789,0.0,0.0,0.0,0.0011,0.915,0.006,0.0006,Dizziness and giddiness (Light-headedness and vertigo),0.02,0.02,2,81,0.19
Dizziness and giddiness (Light-headedness and vertigo),C0042571,Vertigo,"Vertigo. An illusion of movement, either of the external world revolving around the individual or of the individual revolving in space. Vertigo may be associated with disorders of the inner ear (EAR, INNER); VESTIBULAR NERVE; BRAINSTEM; or CEREBRAL CORTEX. Lesions in the TEMPORAL LOBE and PARIETAL LOBE may be associated with FOCAL SEIZURES that may feature vertigo as an ictal manifestation. (From Adams et al., Principles of Neurology, 6th ed, pp300-1)",0,0.601,0.0,0.0,0.0,0.0011,0.915,0.006,0.0006,Dizziness and giddiness (Light-headedness and vertigo),0.02,0.02,2,37,0.09
Dizziness and giddiness (Light-headedness and vertigo),C0392701,giddy mood,giddy mood. ,0,0.237,0.0,0.0,0.0,0.0011,0.915,0.006,0.0006,Dizziness and giddiness (Light-headedness and vertigo),0.02,0.02,2,58,9.67
Dizziness and giddiness (Light-headedness and vertigo),C0476206,Dizziness and giddiness symptoms,Dizziness and giddiness symptoms. ,0,0.829,0.0,0.0,0.0,0.0011,0.915,0.006,0.0006,Dizziness and giddiness (Light-headedness and vertigo),0.02,0.02,99,406,inf
Dizziness and giddiness (Light-headedness and vertigo),C0476207,"giddiness, vertigo","giddiness, vertigo. ",0,0.86,0.0,0.0,0.0,0.0011,0.915,0.006,0.0006,Dizziness and giddiness (Light-headedness and vertigo),0.02,0.02,2,35,17.5
Dizziness and giddiness (Light-headedness and vertigo),C0220870,Lightheadedness,"Lightheadedness. A feeling of faintness; a reeling sensation. Lightheadedness is medically distinct from dizziness, unsteadiness, and vertigo.",0,0.772,0.0,0.0,0.0,0.0011,0.915,0.006,0.0006,Dizziness and giddiness (Light-headedness and vertigo),0.02,0.02,2,0,0.0
Redundant prepuce and phimosis/BXO,C0345325,Redundant prepuce,Redundant prepuce. ,0,0.883,0.0,0.0,0.0,0.0006,0.9044,-0.002,0.0009,Redundant prepuce and phimosis/BXO,0.08,0.1,2,21,4.2
Ventral hernia,C0019326,Ventral Hernia,"Ventral Hernia. A hernia caused by weakness of the anterior ABDOMINAL WALL due to midline defects, previous incisions, or increased intra-abdominal pressure. Ventral hernias include UMBILICAL HERNIA, incisional, epigastric, and spigelian hernias.",0,0.872,0.0,0.0,0.0,0.0002,0.9041,0.001,0.0001,Ventral hernia,0.03,0.03,2,187,2.37
Anxiety disorder,C0003469,Anxiety Disorders,Anxiety Disorders. Persistent and disabling ANXIETY.,0,0.843,0.0,0.0,0.0,0.0006,0.9024,-0.002,0.0,Anxiety disorder,0.01,0.01,2,196,0.27
Z90.7 - Acquired absence of genital organ (s),C0332197,Absent,Absent. Not existing in a specified place at a specified time.,0,0.188,0.0,0.0,0.0,0.0001,0.8978,0.0,0.0,Z90.7 - Acquired absence of genital organ(s),0.09,0.09,3,48,24.0
Z90.7 - Acquired absence of genital organ (s),C1689985,Absence (morphologic abnormality),Absence (morphologic abnormality). ,0,0.377,0.0,0.0,0.0,0.0001,0.8978,0.0,0.0,Z90.7 - Acquired absence of genital organ(s),0.09,0.09,99,0,0.0
Z90.7 - Acquired absence of genital organ (s),C0017420,Genitalia,Genitalia. The external and internal organs involved in the functions of REPRODUCTION.,0,0.523,0.0,0.0,0.0,0.0001,0.8978,0.0,0.0,Z90.7 - Acquired absence of genital organ(s),0.09,0.09,2,263,0.43
Z90.7 - Acquired absence of genital organ (s),C0559522,Genital system,"Genital system. The group of organs and glands involved with having a child. In women, these are the uterus (womb), the fallopian tubes, the ovaries, and the vagina (birth canal). The reproductive system in men includes the testes, the prostate, and the penis.",0,0.501,0.0,0.0,0.0,0.0001,0.8978,0.0,0.0,Z90.7 - Acquired absence of genital organ(s),0.09,0.09,2,15,0.14
Ongoing addiction or dependence on illicit or recreational drugs,C0085281,Addictive Behavior,"Addictive Behavior. The observable, measurable, and often pathological activity of an organism that portrays its inability to overcome a habit resulting in an insatiable craving for a substance or for performing certain acts. The addictive behavior includes the emotional and physical overdependence on the object of habit in increasing amount or frequency.",0,0.655,0.0,0.0,0.0,0.0,0.8843,-0.0,0.0002,Ongoing addiction or dependence on illicit or recreational drugs_No,0.06,0.06,2,25,0.03
Ongoing addiction or dependence on illicit or recreational drugs,C0332266,Illicit,Illicit. ,0,0.321,0.0,0.0,0.0,0.0,0.8843,-0.0,0.0002,Ongoing addiction or dependence on illicit or recreational drugs_No,0.06,0.06,99,38,inf
Ongoing addiction or dependence on illicit or recreational drugs,C0242508,Recreational Drugs,Recreational Drugs. A drug used for personal enjoyment rather than for medicinal purposes.,0,0.439,0.0,0.0,0.0,0.0,0.8843,-0.0,0.0002,Ongoing addiction or dependence on illicit or recreational drugs_No,0.06,0.06,2,0,0.0
Alcohol drinker status Prefer not to answer,C0457801,Current non-drinker of alcohol,Current non-drinker of alcohol. An individual who does not drink at the present time. This is a heterogeneous group comprising both lifelong teetotallers and ex-drinkers.,0,0.739,0.0,0.0,0.0,0.0,0.8627,0.001,0.0002,Alcohol drinker status_Prefer not to answer,0.02,0.02,2,423,15.11
Alcohol drinker status Prefer not to answer,C0337679,Ex-drinker,"Ex-drinker. An individual who used to drink regularly, but does not drink at the present time.",0,0.722,0.0,0.0,0.0,0.0,0.8627,0.001,0.0002,Alcohol drinker status_Prefer not to answer,0.02,0.02,99,397,inf
Z12.1 - Special screening examination for neoplasm of intestinal tract,C0281974,screening examination,screening examination. ,0,0.387,0.0,0.0,0.0,0.0011,0.8508,0.002,0.0004,Z12.1 - Special screening examination for neoplasm of intestinal tract,-0.09,-0.09,2,14,0.13
Z12.1 - Special screening examination for neoplasm of intestinal tract,C0027651,Neoplasms,"Neoplasms. New abnormal growth of tissue. Malignant neoplasms show a greater degree of anaplasia and have the properties of invasion and metastasis, compared to benign neoplasms.",0,0.413,0.0,0.0,0.0,0.0011,0.8508,0.002,0.0004,Z12.1 - Special screening examination for neoplasm of intestinal tract,-0.09,-0.09,2,4,0.0
Z12.1 - Special screening examination for neoplasm of intestinal tract,C1882062,Neoplastic disease,Neoplastic disease. A broad classification for disorders in which the development of neoplasms typically occur in association with a characteristic set of signs or symptoms. These disorders may be inherited or acquired.,0,0.381,0.0,0.0,0.0,0.0011,0.8508,0.002,0.0004,Z12.1 - Special screening examination for neoplasm of intestinal tract,-0.09,-0.09,2,0,0.0
Z12.1 - Special screening examination for neoplasm of intestinal tract,C0021853,Intestines,Intestines. The section of the alimentary canal from the STOMACH to the ANAL CANAL. It includes the LARGE INTESTINE and SMALL INTESTINE.,0,0.355,0.0,0.0,0.0,0.0011,0.8508,0.002,0.0004,Z12.1 - Special screening examination for neoplasm of intestinal tract,-0.09,-0.09,2,0,0.0
