feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Anxiety disorder,C0003469,Anxiety Disorders,Anxiety Disorders. Persistent and disabling ANXIETY.,0,0.843,0.0,0.0,0.0,0.0013,0.9868,-0.008,0.0,Anxiety disorder,0.12,0.12,2,179,0.25
Nonspecific chest pain,C0008031,Chest Pain,"Chest Pain. Pressure, burning, or numbness in the chest.",0,0.793,0.0,0.0,0.0,0.0016,0.9841,-0.005,0.0001,Nonspecific chest pain,0.18,0.19,2,48,0.08
Unstable angina (intermediate coronary syndrome),C0002965,"Angina, Unstable","Angina, Unstable. Precordial pain at rest, which may precede a MYOCARDIAL INFARCTION.",0,0.755,0.0,0.0,0.0,0.0099,0.9767,-0.001,0.0,Unstable angina (intermediate coronary syndrome),-0.01,0.2,2,26,0.06
"Poisoning by analgesics, antipyretics, and antirheumatics",C0032343,Poisoning,"Poisoning. A condition or physical state produced by the ingestion, injection, inhalation of or exposure to a deleterious agent.",0,0.495,0.0,0.0,0.0,0.0006,0.9628,0.002,0.0,"Poisoning by analgesics, antipyretics, and antirheumatics",-0.05,-0.05,2,3,0.0
"Poisoning by analgesics, antipyretics, and antirheumatics",C0032344,Poisoning aspects,"Poisoning aspects. Used with drugs, chemicals, and industrial materials for human or animal poisoning, acute or chronic, whether the poisoning is accidental, occupational, suicidal, by medication error, or by environmental exposure.",0,0.514,0.0,0.0,0.0,0.0006,0.9628,0.002,0.0,"Poisoning by analgesics, antipyretics, and antirheumatics",-0.05,-0.05,99,119,inf
"Poisoning by analgesics, antipyretics, and antirheumatics",C0002771,Analgesics,Analgesics. Compounds capable of relieving pain without the loss of CONSCIOUSNESS.,0,0.493,0.0,0.0,0.0,0.0006,0.9628,0.002,0.0,"Poisoning by analgesics, antipyretics, and antirheumatics",-0.05,-0.05,2,0,0.0
"Poisoning by analgesics, antipyretics, and antirheumatics",C4722089,Analgesics [TC],Analgesics [TC]. ,0,0.644,0.0,0.0,0.0,0.0006,0.9628,0.002,0.0,"Poisoning by analgesics, antipyretics, and antirheumatics",-0.05,-0.05,99,6,inf
"Poisoning by analgesics, antipyretics, and antirheumatics",C0003419,Antipyretics,Antipyretics. Drugs that are used to reduce body temperature in fever.,0,0.466,0.0,0.0,0.0,0.0006,0.9628,0.002,0.0,"Poisoning by analgesics, antipyretics, and antirheumatics",-0.05,-0.05,2,122,0.48
"Poisoning by analgesics, antipyretics, and antirheumatics",C0003191,Antirheumatic Agents,Antirheumatic Agents. Drugs that are used to treat RHEUMATOID ARTHRITIS.,0,0.484,0.0,0.0,0.0,0.0006,0.9628,0.002,0.0,"Poisoning by analgesics, antipyretics, and antirheumatics",-0.05,-0.05,2,405,2.14
(PSA) Time since last prostate specific antigen test,C0201544,Prostate specific antigen measurement,Prostate specific antigen measurement. The determination of the prostate specific antigen present in a sample.,0,0.66,0.0,0.0,0.0,0.0,0.9461,0.001,0.0,(PSA) Time since last prostate specific antigen test_Do not know,0.08,0.08,2,46,0.64
(PSA) Time since last prostate specific antigen test,C0138741,Prostate-Specific Antigen,"Prostate-Specific Antigen. A glycoprotein that is a kallikrein-like serine proteinase and an esterase, produced by epithelial cells of both normal and malignant prostate tissue. It is an important marker for the diagnosis of prostate cancer.",0,0.56,0.0,0.0,0.0,0.0,0.9461,0.001,0.0,(PSA) Time since last prostate specific antigen test_Do not know,0.08,0.08,2,84,0.11
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed",C0149871,Deep Vein Thrombosis,"Deep Vein Thrombosis. A blood clot in a deep vein, predominantly in the lower extremity, but may include the pelvis or upper extremity.",0,0.665,0.0,0.0,0.0,0.0,0.942,-0.001,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_60",-0.06,-0.06,2,43,0.04
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed",C0151950,Deep thrombophlebitis,Deep thrombophlebitis. ,0,0.515,0.0,0.0,0.0,0.0,0.942,-0.001,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_60",-0.06,-0.06,2,557,19.89
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed",C0087086,Thrombus,Thrombus. ,0,0.474,0.0,0.0,0.0,0.0,0.942,-0.001,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_60",-0.06,-0.06,2,14,0.01
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed",C0302148,Blood Clot,"Blood Clot. An aggregation of blood factors, primarily platelets and fibrin with entrapment of cellular elements, frequently causing vascular obstruction at the point of its formation.",0,0.455,0.0,0.0,0.0,0.0,0.942,-0.001,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_60",-0.06,-0.06,2,2,0.01
