feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Polyp of corpus uteri,C0032584,polyps,"polyps. Discrete abnormal tissue masses that protrude into the lumen of the DIGESTIVE TRACT or the RESPIRATORY TRACT. Polyps can be spheroidal, hemispheroidal, or irregular mound-shaped structures attached to the MUCOUS MEMBRANE of the lumen wall either by a stalk, pedunculus, or by a broad base.",0,0.502,0.0,0.0,0.0,0.0004,0.9969,-0.003,0.0,Polyp of corpus uteri,0.11,0.11,2,363,0.53
Polyp of corpus uteri,C0227813,Body of uterus,"Body of uterus. The Corpus uteri, or body of uterus, is the part of the uterus above the isthmus, comprising about two thirds of the non-pregnant organ.",0,0.641,0.0,0.0,0.0,0.0004,0.9969,-0.003,0.0,Polyp of corpus uteri,0.11,0.11,2,218,0.4
Peripheral enthesopathies and allied syndromes,C0457623,Peripheral enthesopathy,Peripheral enthesopathy. ,0,0.859,0.0,0.0,0.0,0.0012,0.9704,-0.003,0.0,Peripheral enthesopathies and allied syndromes,0.17,0.17,2,234,78.0
Disorder of skin and subcutaneous tissue NOS,C0444099,Skin Specimen,Skin Specimen. ,0,0.606,0.0,0.0,0.0,0.001,0.968,-0.008,0.0,Disorder of skin and subcutaneous tissue NOS,0.22,0.22,2,55,0.16
Disorder of skin and subcutaneous tissue NOS,C1123023,Skin,Skin. The outer covering of the body that protects it from the environment. It is composed of the DERMIS and the EPIDERMIS.,0,0.646,0.0,0.0,0.0,0.001,0.968,-0.008,0.0,Disorder of skin and subcutaneous tissue NOS,0.22,0.22,2,0,0.0
Disorder of skin and subcutaneous tissue NOS,C0222331,Subcutaneous Fat,Subcutaneous Fat. Adipose tissue located under the dermis. It binds underlying structures with the skin. The subcutis is important in the regulation of temperature of the skin itself and the body. The size of this layer varies throughout the body and from person to person.,0,0.537,0.0,0.0,0.0,0.001,0.968,-0.008,0.0,Disorder of skin and subcutaneous tissue NOS,0.22,0.22,2,499,0.67
Disorder of skin and subcutaneous tissue NOS,C0278403,Subcutaneous Tissue,"Subcutaneous Tissue. Loose connective tissue lying under the DERMIS, which binds SKIN loosely to subjacent tissues. It may contain a pad of ADIPOCYTES, which vary in number according to the area of the body and vary in size according to the nutritional state.",0,0.612,0.0,0.0,0.0,0.001,0.968,-0.008,0.0,Disorder of skin and subcutaneous tissue NOS,0.22,0.22,2,45,0.07
Myocardial infarction,C0155668,Old myocardial infarction,"Old myocardial infarction. Documented history of previous myocardial infarction (MI), typically with objective evidence via positive biomarkers of myocardial necrosis.",0,0.713,0.0,1.0,0.5,0.0006,0.9564,-0.001,0.0,Myocardial infarction,0.15,0.15,2,157,1.65
Doctor diagnosed bronchiectasis,C0006267,Bronchiectasis,Bronchiectasis. Persistent abnormal dilatation of the bronchi.,0,0.672,0.0,0.0,0.0,0.0,0.9355,0.0,0.0,Doctor diagnosed bronchiectasis_Yes,0.19,0.19,2,4,0.01
HSV-1 seropositivity for Herpes Simplex virus-1 True,C0206679,"herpesvirus 1, human","herpesvirus 1, human. The type species of SIMPLEXVIRUS causing most forms of non-genital herpes simplex in humans. Primary infection occurs mainly in infants and young children and then the virus becomes latent in the dorsal root ganglion. It then is periodically reactivated throughout life causing mostly benign conditions.",0,0.653,0.0,0.0,0.0,0.0,0.915,-0.001,0.0005,HSV-1 seropositivity for Herpes Simplex virus-1_True,-0.1,-0.1,2,96,0.18
