feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Medium and low fat cheese,C0010454,Culture Media,"Culture Media. Any liquid or solid preparation made specifically for the growth, storage, or transport of microorganisms or other types of cells. The variety of media that exist allow for the culturing of specific microorganisms and cell types, such as differential media, selective media, test media, and defined media. Solid media consist of liquid media that have been solidified with an agent such as AGAR or GELATIN.",0,0.306,0.0,0.0,0.0,0.0129,0.952,0.027,0.0005,Medium and low fat cheese,0.04,0.04,2,463,1.0
Medium and low fat cheese,C0439536,Medium,"Medium. Mid-way between small and large in number, quantity, magnitude or extent.",0,0.286,0.0,0.0,0.0,0.0129,0.952,0.027,0.0005,Medium and low fat cheese,0.04,0.04,99,148,inf
Medium and low fat cheese,C0205251,low,"low. A minimum level or position or degree; less than normal in degree, intensity or amount.",0,0.175,0.0,0.0,0.0,0.0129,0.952,0.027,0.0005,Medium and low fat cheese,0.04,0.04,99,166,inf
Ever had refractive laser eye surgery Right eye only,C0229089,Right eye,Right eye. The eye positioned in the right orbit.,0,0.327,0.0,0.0,0.0,0.0,0.942,-0.0,0.0008,Ever had refractive laser eye surgery_Right eye only,0.01,0.01,2,72,0.07
Benign neoplasm of skin,C0086692,Benign Neoplasm,"Benign Neoplasm. A neoplasm which is characterized by the absence of morphologic features associated with malignancy (severe cytologic atypia, tumor cell necrosis, and high mitotic rate). Benign neoplasms remain confined to the original site of growth and do not metastasize to other anatomic sites.",0,0.473,0.0,0.0,0.0,0.0005,0.9304,0.005,0.0005,Benign neoplasm of skin,0.02,0.02,2,31,0.02
Benign neoplasm of skin,C0347197,Benign neoplasm of oral cavity,"Benign neoplasm of oral cavity. A non-metastasizing neoplasm arising from the oral cavity. Representative examples include hemangioma, tongue lipoma, and buccal mucosa papilloma.",0,0.453,0.0,0.0,0.0,0.0005,0.9304,0.005,0.0005,Benign neoplasm of skin,0.02,0.02,2,48,24.0
Benign neoplasm of skin,C0347276,Benign neoplasm of anus,Benign neoplasm of anus. A non-metastasizing neoplasm arising from the anus. Representative examples include squamous papilloma and papillary hidradenoma.,0,0.553,0.0,0.0,0.0,0.0005,0.9304,0.005,0.0005,Benign neoplasm of skin,0.02,0.02,99,41,inf
Benign neoplasm of skin,C0444099,Skin Specimen,Skin Specimen. ,0,0.523,0.0,0.0,0.0,0.0005,0.9304,0.005,0.0005,Benign neoplasm of skin,0.02,0.02,2,192,0.54
Benign neoplasm of skin,C1123023,Skin,Skin. The outer covering of the body that protects it from the environment. It is composed of the DERMIS and the EPIDERMIS.,0,0.57,0.0,0.0,0.0,0.0005,0.9304,0.005,0.0005,Benign neoplasm of skin,0.02,0.02,2,51,0.07
Enthesopathy,C0242490,Enthesopathy,Enthesopathy. A disorder occurring at the site of insertion of TENDONS or LIGAMENTS into bones or JOINT CAPSULES.,0,0.815,0.0,0.0,0.0,0.0002,0.9222,0.0,0.0001,Enthesopathy,0.12,0.19,2,70,0.71
Other tests,C0683443,tests and testing,tests and testing. ,0,0.78,0.0,1.0,0.5,0.0022,0.9042,-0.006,0.0,Other tests,0.06,0.14,2,57,3.17
