feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Ever addicted to illicit or recreational drugs infrequent,C0858354,addict,addict. ,0,0.578,0.0,0.0,0.0,0.0,1.0,0.0,0.0002,Ever addicted to illicit or recreational drugs_infrequent_,-0.01,-0.01,2,13,0.02
Ever addicted to illicit or recreational drugs infrequent,C0332266,Illicit,Illicit. ,0,0.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0002,Ever addicted to illicit or recreational drugs_infrequent_,-0.01,-0.01,99,1,inf
Ever addicted to illicit or recreational drugs infrequent,C0242508,Recreational Drugs,Recreational Drugs. A drug used for personal enjoyment rather than for medicinal purposes.,0,0.435,0.0,0.0,0.0,0.0,1.0,0.0,0.0002,Ever addicted to illicit or recreational drugs_infrequent_,-0.01,-0.01,2,12,0.22
Pulmonary collapse; interstitial and compensatory emphysema,C0004144,Atelectasis,"Atelectasis. Absence of air in the entire or part of a lung, such as an incompletely inflated neonate lung or a collapsed adult lung. Pulmonary atelectasis can be caused by airway obstruction, lung compression, fibrotic contraction, or other factors.",0,0.641,0.0,0.0,0.0,0.0,0.9872,0.002,0.0004,Pulmonary collapse; interstitial and compensatory emphysema,0.09,0.09,2,0,0.0
Pulmonary collapse; interstitial and compensatory emphysema,C0596790,interstitial,interstitial. pertaining to or situated between parts of or in the interspaces of a tissue.,0,0.228,0.0,0.0,0.0,0.0,0.9872,0.002,0.0004,Pulmonary collapse; interstitial and compensatory emphysema,0.09,0.09,2,21,0.03
Pulmonary collapse; interstitial and compensatory emphysema,C0231186,compensatory,compensatory. ,0,0.171,0.0,0.0,0.0,0.0,0.9872,0.002,0.0004,Pulmonary collapse; interstitial and compensatory emphysema,0.09,0.09,99,0,0.0
Contra-indications for spirometry,C0037981,Spirometry,Spirometry. Measurement of volume of air inhaled or exhaled by the lung.,0,0.479,0.0,0.0,0.0,0.0,0.9832,-0.0,0.0006,Contra-indications for spirometry_None,-0.03,-0.03,2,4,0.01
Z03.5 - Observation for other suspected cardiovascular diseases,C0302523,Observation in research,"Observation in research. The act of regarding attentively and studying facts and occurrences, gathering data through analyzing, measuring, and drawing conclusions, with the purpose of applying the observed information to theoretical assumptions. Observation as a scientific method in the acquisition of knowledge began in classical antiquity; in modern science and medicine its greatest application is facilitated by modern technology. Observation is one of the components of the research process.",0,0.193,0.0,0.0,0.0,0.0001,0.967,-0.002,0.0,Z03.5 - Observation for other suspected cardiovascular diseases,0.02,0.02,2,0,0.0
Z03.5 - Observation for other suspected cardiovascular diseases,C0700325,Patient observation,"Patient observation. Clinical management approach wherein immediate therapy is not provided but there is a period of observation during which periodic tests monitor patient and the progression of the illness. (Driffield T, Smith PC Med Decis Making. 2007 Mar-Apr;27(2):178-88)",0,0.155,0.0,0.0,0.0,0.0001,0.967,-0.002,0.0,Z03.5 - Observation for other suspected cardiovascular diseases,0.02,0.02,2,13,0.06
Z03.5 - Observation for other suspected cardiovascular diseases,C0007222,Cardiovascular Diseases,Cardiovascular Diseases. Pathological conditions involving the CARDIOVASCULAR SYSTEM including the HEART; the BLOOD VESSELS; or the PERICARDIUM.,0,0.532,0.0,0.0,0.0,0.0001,0.967,-0.002,0.0,Z03.5 - Observation for other suspected cardiovascular diseases,0.02,0.02,2,18,0.0
Age macular degeneration diagnosed,C0024437,Macular degeneration,Macular degeneration. Degenerative changes in the RETINA usually of older adults which results in a loss of vision in the center of the visual field (the MACULA LUTEA) because of damage to the retina. It occurs in dry and wet forms.,0,0.621,0.0,0.0,0.0,0.0,0.9628,-0.0,0.0001,Age macular degeneration diagnosed_64,0.24,0.24,2,6,0.02
Age macular degeneration diagnosed,C0242383,Age related macular degeneration,"Age related macular degeneration. Age-related loss of vision in the central portion of the retina (macula), secondary to retinal degeneration.",0,0.752,0.0,0.0,0.0,0.0,0.9628,-0.0,0.0001,Age macular degeneration diagnosed_64,0.24,0.24,2,3,0.0
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed",C0149871,Deep Vein Thrombosis,"Deep Vein Thrombosis. A blood clot in a deep vein, predominantly in the lower extremity, but may include the pelvis or upper extremity.",0,0.665,0.0,0.0,0.0,0.0,0.953,0.0,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_35",0.07,0.07,2,12,0.01
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed",C0151950,Deep thrombophlebitis,Deep thrombophlebitis. ,0,0.515,0.0,0.0,0.0,0.0,0.953,0.0,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_35",0.07,0.07,2,17,0.61
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed",C0087086,Thrombus,Thrombus. ,0,0.474,0.0,0.0,0.0,0.0,0.953,0.0,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_35",0.07,0.07,2,0,0.0
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed",C0302148,Blood Clot,"Blood Clot. An aggregation of blood factors, primarily platelets and fibrin with entrapment of cellular elements, frequently causing vascular obstruction at the point of its formation.",0,0.455,0.0,0.0,0.0,0.0,0.953,0.0,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_35",0.07,0.07,2,5,0.02
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed",C0023216,Lower Extremity,"Lower Extremity. The region of the lower limb in animals, extending from the gluteal region to the FOOT, and including the BUTTOCKS; HIP; and LEG.",0,0.283,0.0,0.0,0.0,0.0,0.953,0.0,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_35",0.07,0.07,2,13,0.01
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed",C1140621,Leg,Leg. The inferior part of the lower extremity between the KNEE and the ANKLE.,0,0.292,0.0,0.0,0.0,0.0,0.953,0.0,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_35",0.07,0.07,2,0,0.0
