feature_name,raw_name,shortest_path_length,Co-occurrence Count,Cooccurrence P-Value,Odds Ratio,Query Count,feature_importance,p_val,corr,MutualInfoTarget,cui,Target,boring_pred,boring_cot,boring
reflux,"Non-cancer illness code, self-reported | Array 2__reflux",2,289,1.0,3.346,76085,0.0,0.048,0.012,0.0,C0232483,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between the feature'reflux' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not directly related to the known risk factors or pathways of celiac disease. While reflux is a symptom that can be associated with various gastrointestinal disorders, it is not a known risk factor for celiac disease. The primary risk factors for celiac disease include genetic predisposition, particularly the presence of HLA-DQ2 and HLA-DQ8 genes, and environmental factors such as exposure to gluten. The pathophysiology of celiac disease involves an immune response to gluten, leading to inflammation and damage to the small intestine. Reflux, on the other hand, is a symptom that can be caused by various factors, including gastroesophageal reflux disease (GERD), which is not directly related to the pathophysiology of celiac disease. Therefore, the association between reflux and celiac disease is not well known or explained by existing knowledge.",False
age,age,1,5899,1.0,1.653,3304552,0.004,0.858,-0.001,0.0,C0001779,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between the feature 'age' and the target disease is not explicitly stated in the provided documents. However, it can be inferred that age is a risk factor for celiac disease, as the disease is more common in individuals between 10 and 40 years of age. This is mentioned in Document [10]. Furthermore, Document [29] mentions that there is a worldwide shift from children with the classic disease to atypical adult patients, possibly because of breastfeeding and avoidance of gluten in childhood diets. This suggests that age may be a factor in the development of celiac disease, but it is not explicitly stated as a risk or protective factor in the provided documents.",False
Doctor diagnosed asthma,Doctor diagnosed asthma_No,1,16,1.0,2.517,5568,0.002,0.689,-0.002,0.003,C0004096,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The relationship between 'Doctor diagnosed asthma' and the target disease is not explicitly mentioned in the provided documents. However, it is known that autoimmune diseases, including celiac disease, can have various associations with other autoimmune conditions. Selective IgA deficiency is associated with an increased risk of developing other autoimmune diseases, including celiac disease. Asthma is not explicitly mentioned as a risk factor for celiac disease in the provided documents. However, the association between asthma and autoimmune diseases is a topic of ongoing research, and some studies suggest that individuals with asthma may have a higher risk of developing other autoimmune conditions. Therefore, it is not well known or explained by existing knowledge.",False
(UC) ulcerative colitis genetic risk,(UC) ulcerative colitis genetic risk,1,19,1.0,6.672,2507,0.003,0.574,-0.003,0.001,C0009324,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The relationship between ulcerative colitis genetic risk and celiac disease is not directly related. Ulcerative colitis is a type of inflammatory bowel disease (IBD) that primarily affects the colon, while celiac disease is an autoimmune disorder caused by a reaction to gluten. Although both conditions share some similarities, such as an autoimmune component, they are distinct diseases with different pathophysiology and risk factors. The genetic risk for ulcerative colitis is associated with an increased risk of developing the disease, but it is not a known risk factor for celiac disease. Celiac disease is primarily associated with HLA-DQ2 and HLA-DQ8 genes, and other genetic and environmental factors, but not with ulcerative colitis genetic risk.",False
Constipation,Constipation,1,374,1.0,9.201,36156,0.001,0.474,0.0,0.0,C0009806,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"The association between the feature 'Constipation' and the target disease '(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy)' is already known. Constipation is mentioned in Document [18] as one of the causes of constipation, which includes celiac disease. This is a known risk factor for celiac disease. Therefore, the association is not new or surprising, but rather a well-established fact.",True
irritable bowel,"Non-cancer illness code, self-reported | Array 0__irritable bowel",1,968,1.0,47.011,19363,0.0,0.181,0.008,0.003,C0022104,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"The feature 'irritable bowel' is related to the target disease 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' as it is a common symptom of celiac disease. The association between irritable bowel and celiac disease is well established in medical literature. Irritable bowel is one of the gastrointestinal symptoms that can be caused by celiac disease, which is an autoimmune disorder triggered by the ingestion of gluten. The symptoms of irritable bowel, such as abdominal pain, diarrhea, and bloating, are often used to diagnose celiac disease. Therefore, the association between the feature 'irritable bowel' and the target disease is well known and explained by existing knowledge.",True
rheumatoid arthritis,"Non-cancer illness code, self-reported | Array 3__rheumatoid arthritis",1,603,1.0,3.02,176643,0.0,0.059,0.012,0.0,C0003873,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"Celiac disease is an autoimmune disorder that primarily affects the small intestine, triggered by the ingestion of gluten, a protein found in wheat, barley, and rye. The disease is associated with various symptoms, including diarrhea, abdominal pain, fatigue, and weight loss. Research has shown that individuals with celiac disease are at an increased risk of developing other autoimmune diseases, including rheumatoid arthritis. This is because both conditions involve an abnormal immune response, where the body mistakenly attacks its own tissues. The presence of HLA-DQ2 and HLA-DQ8 genes is a significant risk factor for developing celiac disease, and these genes are also associated with an increased risk of developing rheumatoid arthritis. Furthermore, studies have shown that individuals with celiac disease are more likely to have other autoimmune diseases, including rheumatoid arthritis, due to the shared genetic and environmental factors. Therefore, the association between rheumatoid arthritis and celiac disease is well-known and explained by existing knowledge.",True
Diabetes diagnosed by doctor,Diabetes diagnosed by doctor_None,1,67,1.0,4.314,13646,0.0,0.055,-0.012,0.001,C0011847,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between the feature 'Diabetes diagnosed by doctor' and the target disease '(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy)' is not well known or explained by existing knowledge. The provided documents do not explicitly state a direct relationship between diabetes and celiac disease or gluten-related disorders. However, it is mentioned that patients with celiac disease have an increased risk of other autoimmune disorders, including type 1 diabetes, and that there is an association between celiac disease and IgA deficiency, which is also linked to type 1 diabetes. Therefore, while there is some indirect connection, the direct association between diabetes diagnosed by a doctor and the target disease is not well established.",False
Hemorrhage of gastrointestinal tract,missing_Hemorrhage of gastrointestinal tract,1,587,1.0,8.415,62263,0.0,0.054,-0.012,0.0,C0019080,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The relationship between 'Hemorrhage of gastrointestinal tract' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not explicitly mentioned in the provided documents. The documents primarily focus on the pathophysiology, diagnosis, and management of celiac disease, gluten-sensitive enteropathy, and non-celiac gluten sensitivity, but do not specifically discuss the relationship between hemorrhage of the gastrointestinal tract and these conditions. Therefore, the association is not well known or explained by existing knowledge.",False
"Never eat eggs, dairy, wheat, sugar Eggs or foods containing eggs|Sugar or foods/drinks containing sugar","Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs|Sugar or foods/drinks containing sugar",1,1148,1.0,1.692,600358,0.0,0.053,-0.012,0.0,C0043137,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"The feature 'Never eat eggs, dairy, wheat, sugar-Eggs or foods containing eggs|Sugar or foods/drinks containing sugar' is related to the target disease '(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy)' because the target disease is primarily associated with gluten, which is a protein found in wheat, barley, and rye. The feature suggests avoiding foods that contain gluten, which is a key component of the disease. This is a well-known association, as a gluten-free diet is the primary treatment for celiac disease and non-celiac gluten sensitivity. The feature is also related to the elimination of dairy, eggs, and sugar, which are not directly related to the target disease but can be part of a broader elimination diet to rule out other potential causes of symptoms. However, the primary association is with gluten-containing foods.",True
