feature_name,raw_name,shortest_path_length,Co-occurrence Count,Cooccurrence P-Value,Odds Ratio,Query Count,feature_importance,p_val,corr,MutualInfoTarget,cui,Target,boring_pred,boring_cot,boring
Ethnic background British,Ethnic background_British,2,220,1,2.889,4389,0.006,0.122,0.001,0.063,C0015031,(Depression) OR (Depressive disorder),B,"The association between 'Ethnic background British' and 'Depression OR Depressive disorder' is not explicitly mentioned in the provided documents. However, it is known that cultural and ethnic factors can influence the expression and experience of mental health conditions, including depression. For instance, Document [28] mentions that Asian patients, including those from the UK, may deny depressed mood and present with more somatic complaints, and may be at higher risk of extrapyramidal side effects of psychotropic medications. This suggests that cultural and ethnic factors can impact the presentation and treatment of depression. However, the specific association between 'Ethnic background British' and 'Depression OR Depressive disorder' is not explicitly stated in the provided documents.",FALSE
Ethnic background Mixed,Ethnic background_Mixed,2,581,1,4.323,7941,0,0.029,0.001,0,C0015031,(Depression) OR (Depressive disorder),B,"The association between 'Ethnic background Mixed' and 'Depression OR Depressive disorder' is not explicitly mentioned in the provided documents. However, the documents do discuss various risk factors for depression, including genetic, biological, psychological, and social factors. While there is no direct mention of 'Ethnic background Mixed' as a risk factor for depression, the documents do suggest that genetic and biological factors play a role in the development of depression. Additionally, the documents mention that 'Thinking too much' is a common idiom of distress and cultural explanation across many countries and ethnic groups, which could potentially be related to 'Ethnic background Mixed'. However, this is not a direct association and more research would be needed to establish a clear link between 'Ethnic background Mixed' and depression.",FALSE
Ethnic background,Ethnic background_None,2,11307,1,3.165,209110,0,0.01,-0.001,0,C0015031,(Depression) OR (Depressive disorder),B,"The relationship between ethnic background and depression or depressive disorder is a complex one, and there is evidence to suggest that certain ethnic groups may be at a higher risk of developing depression or depressive disorder. However, the specific relationship between 'Ethnic background_None' and the target disease is not explicitly mentioned in the provided documents. The documents do mention that Asian patients are at higher risk of extrapyramidal side effects of psychotropic medications and that plasma haloperidol levels are 52% higher in Chinese patients than in other patient populations. However, this information is related to the treatment of psychiatric patients, specifically Asian patients, and not directly to the relationship between 'Ethnic background_None' and depression or depressive disorder. Therefore, the association between the feature 'Ethnic background' (raw: 'Ethnic background-None') and 'Depression OR Depressive disorder' is not well known or explained by existing knowledge.",FALSE
Doctor diagnosed COPD (chronic obstructive pulmonary disease),Doctor diagnosed COPD (chronic obstructive pulmonary disease)_Yes,2,96,1,2.13,2563,0,0.006,-0.001,0,C0600260,(Depression) OR (Depressive disorder),A,"The relationship between chronic obstructive pulmonary disease (COPD) and depression is well established in medical literature. Studies have shown that individuals with COPD are at a higher risk of developing depression due to the physical and emotional burden of the disease. The chronic respiratory symptoms, such as shortness of breath and fatigue, can lead to feelings of frustration, anxiety, and depression. Additionally, the social isolation and stigma associated with COPD can further exacerbate these feelings. Furthermore, the management of COPD often involves lifestyle changes, such as smoking cessation and exercise, which can be challenging for individuals with depression. Therefore, the association between COPD and depression is well known and is part of the known risk factors.",TRUE
Illnesses of mother 3 None (group 1),Illnesses of mother_3_None (group 1),2,12,1,9.803,79,0,0.005,-0.001,0,C0687744,(Depression) OR (Depressive disorder),A,"The feature 'Illnesses of mother_3_None (group 1)' is related to the risk of depression and depressive disorders. The literature suggests that having a history of illnesses in the mother, particularly those that are chronic or severe, can increase the risk of depression and depressive disorders in the offspring. This is because chronic illnesses in the mother can lead to stress, anxiety, and other emotional and psychological challenges that can be passed down to the child. Additionally, some studies have shown that children of mothers with chronic illnesses are more likely to experience depression and anxiety disorders. Therefore, the association between 'Illnesses of mother_3_None (group 1)' and 'Depression OR Depressive disorder' is well known and explained by existing knowledge.",TRUE
Ethnic background White and Black Caribbean,Ethnic background_White and Black Caribbean,2,76,1,3.82,1165,0,0.001,-0.001,0,C0015031,(Depression) OR (Depressive disorder),B,"The association between the feature 'Ethnic background White and Black Caribbean' and 'Depression OR Depressive disorder' is not well known or explained by existing knowledge. While there are some studies that suggest that ethnic background may play a role in the development of depression, the specific relationship between 'Ethnic background White and Black Caribbean' and 'Depression OR Depressive disorder' is not well established. The provided documents do not provide conclusive evidence to support this association. Therefore, the answer is B.",FALSE
Illnesses of siblings 1 Severe depression,Illnesses of siblings_1_Severe depression,2,44,1,inf,44,0,0.001,0,0,C0037047,(Depression) OR (Depressive disorder),A,"The feature 'Illnesses of siblings 1 Severe depression' is related to the genetic and familial aspects of depression. The risk of depression is higher in individuals with a family history of depression, and this is supported by the fact that individuals with a family history of depression are more likely to develop depression themselves. The feature 'Illnesses of siblings 1 Severe depression' is a part of the known risk factors for depression, which include genetic predisposition, family history, and early life experiences. This is supported by the fact that the risk of depression is higher in individuals with a family history of depression, and this is a well-established risk factor. Therefore, the association between the feature 'Illnesses of siblings 1 Severe depression' and 'Depression OR Depressive disorder' is well known and explained by existing knowledge.",TRUE
osteoarthritis,"Non-cancer illness code, self-reported | Array 2__osteoarthritis",2,2395,1,1.08,123853,0,0,0.001,0,C0949690,(Depression) OR (Depressive disorder),A,"The association between 'osteoarthritis' and 'Depression OR Depressive disorder' is well established in the medical literature. Osteoarthritis is a chronic condition that can lead to persistent pain, disability, and reduced quality of life, which are all risk factors for developing depression. Studies have shown that individuals with osteoarthritis are more likely to experience depression and anxiety compared to those without the condition. This association is thought to be due to the chronic pain and disability associated with osteoarthritis, which can lead to feelings of hopelessness, helplessness, and social isolation. Furthermore, the management of osteoarthritis can be challenging, and the frustration and disappointment associated with this can also contribute to the development of depression. Therefore, the association between osteoarthritis and depression is well known and explained by existing knowledge.",TRUE
Illnesses of siblings 1 Do not know (group 1),Illnesses of siblings_1_Do not know (group 1),2,47,1,2.076,1286,0.002,0,0,0,C0037047,(Depression) OR (Depressive disorder),A,"The feature 'Illnesses of siblings 1 Do not know (group 1)' is related to the risk of depression and depressive disorder. The association between this feature and the target disease is well established in the literature. Studies have shown that individuals with a family history of depression, including siblings, are at a higher risk of developing depression and depressive disorder. This is because depression is a complex disorder with a strong genetic component, and having a family history of the disease increases the likelihood of developing it. Therefore, the association between 'Illnesses of siblings 1 Do not know (group 1)' and 'Depression OR Depressive disorder' is well known and explained by existing knowledge.",TRUE
Illnesses of mother 3 Do not know (group 2),Illnesses of mother_3_Do not know (group 2),2,142,1,1.759,4562,0,0,-0.001,0,C0687744,(Depression) OR (Depressive disorder),A,"The feature 'Illnesses of mother 3 Do not know (group 2)' is related to the risk of depression and depressive disorder. The literature suggests that having a family history of depression, including a mother with depression, is a risk factor for developing depression. This is because depression can be heritable, and individuals with a family history of depression are more likely to experience depression themselves. The feature 'Illnesses of mother 3 Do not know (group 2)' is likely to be a risk factor for depression and depressive disorder, as it indicates a family history of depression. This is consistent with the biopsychosocial model of depression, which suggests that depression is caused by a combination of biological, psychological, and environmental factors, including genetic and family history.",TRUE
Ethnic background Indian,Ethnic background_Indian,2,301,1,1.672,10153,0,0,-0.002,0,C0015031,(Depression) OR (Depressive disorder),B,"The association between the feature 'Ethnic background Indian' and 'Depression OR Depressive disorder' is not explicitly mentioned in the provided documents. However, Document [2] mentions that American Indian and Alaska Native adolescents experience more severe experiences, such as victimization, substance abuse, and depression, which may contribute to increased suicidality. Document [16] also states that American Indian and Alaska Native individuals experience a disproportionate burden of various health conditions, including mental health disorders, compared to other ethnic and racial groups. These findings suggest that there may be a correlation between the ethnic background and the risk of depression or depressive disorder, but it is not explicitly stated as a known risk factor or protective factor in the provided documents.",FALSE
(BD) bipolar disorder genetic risk,(BD) bipolar disorder genetic risk,2,382,1,35.336,974,0.046,0,-0.003,0,C0004943,(Depression) OR (Depressive disorder),A,"Bipolar disorder is a complex condition with a strong genetic component, and research has shown that there is a significant genetic risk associated with the development of depression and depressive disorders. Studies have identified multiple genetic loci that increase the risk of bipolar disorder, and these genetic factors are also linked to an increased risk of depression and depressive disorders. Furthermore, the presence of a family history of bipolar disorder is one of the strongest and most consistent risk factors for bipolar disorders, and this risk is also associated with an increased risk of depression and depressive disorders. Therefore, the association between the feature '(BD) bipolar disorder genetic risk' and 'Depression OR Depressive disorder' is well known and explained by existing knowledge.",TRUE
Ethnic background African,Ethnic background_African,2,2163,1,3.24,38779,0,0,0.002,0.001,C0015031,(Depression) OR (Depressive disorder),A,"The association between 'Ethnic background African' and 'Depression OR Depressive disorder' is well established in the medical literature. Studies have shown that individuals of African descent are at a higher risk of developing depression and depressive disorders compared to other ethnic groups. This is attributed to various factors, including genetic predisposition, socioeconomic factors, and cultural influences. For instance, Document [0] mentions that neurodegenerative diseases, such as Alzheimer's disease and Parkinson's disease, are associated with higher rates of depression in the elderly, which is more prevalent in African Americans. Document [28] also notes that genetic susceptibility is less likely in the elderly suffering from depression as compared to early-onset depression, but genetic markers like E4 allele of apolipoprotein E and C677T mutation in MTHFR enzyme have been presented in some patients with late-onset depression. Furthermore, Document [27] highlights that patients of African descent can have reduced WBC counts and lower absolute neutrophil counts (ANCs) compared to patients of Hispanic and European descent, which may affect their presentation of leukocytosis. Therefore, the association between 'Ethnic background African' and 'Depression OR Depressive disorder' is well known and explained by existing knowledge.",TRUE
Ethnic background Chinese,Ethnic background_Chinese,2,492,1,2.168,12919,0,0,0,0,C0015031,(Depression) OR (Depressive disorder),B,"The association between the feature 'Ethnic background Chinese' and 'Depression OR Depressive disorder' is not explicitly mentioned in the provided documents as a well-known or obvious risk factor. However, it is mentioned in Document [27] that Asian patients, including those of Chinese ethnicity, may deny depressed mood and present with more somatic rather than psychological complaints. This suggests that there may be cultural differences in the presentation of depression, but it does not explicitly state that 'Ethnic background Chinese' is a risk factor for depression. Therefore, the association is not well known or explained by existing knowledge.",FALSE
Ever addicted to any substance or behaviour,Ever addicted to any substance or behaviour_No,2,331799,1,6.795,4989839,0.018,0,-0.003,0.02,C0858354,(Depression) OR (Depressive disorder),A,"The association between the feature 'Ever addicted to any substance or behaviour' and 'Depression OR Depressive disorder' is well established in the medical literature. Studies have consistently shown that individuals with a history of substance use or addiction are at a higher risk of developing depression and depressive disorders. This association is thought to be due to the neurobiological changes that occur as a result of substance use, which can lead to changes in mood regulation and emotional processing. Furthermore, individuals with a history of substance use may also experience social and environmental factors that contribute to the development of depression. Therefore, the feature 'Ever addicted to any substance or behaviour' is a known risk factor for 'Depression OR Depressive disorder'.",TRUE
