feature_name,raw_name,shortest_path_length,Co-occurrence Count,Cooccurrence P-Value,Odds Ratio,Query Count,feature_importance,p_val,corr,MutualInfoTarget,cui,Target,boring_pred,boring_cot,boring
thrombosis,"Non-cancer illness code, self-reported | Array 2__thrombosis",2,1018,1.0,1.334,282026,0.0,0.006,0.006,0.0,C0040053,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The association between the feature 'thrombosis' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is not well known or explained by existing knowledge. While thrombosis is a known risk factor for various diseases, its direct association with gallbladder disease is not explicitly mentioned in the provided documents. However, it is mentioned that gallstones can cause a 4- to 5-fold increase in the prevalence of cancer, and that chronic inflammation, a known enabler of malignancy in several organs, may play a role in the development of gallbladder cancer. Additionally, the presence of gallstones is a risk factor for the development of gallbladder cancer, and chronic cholecystitis is a risk factor for gallbladder cancer. However, there is no direct mention of thrombosis as a risk factor for gallbladder disease or cholelithiasis.",False
ulcerative colitis,"Non-cancer illness code, self-reported | Array 2__ulcerative colitis",2,1810,1.0,11.155,62401,0.0,0.0,0.008,0.0,C0009324,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between ulcerative colitis and cholelithiasis is well established in medical literature. Ulcerative colitis is a chronic inflammatory bowel disease that increases the risk of developing primary sclerosing cholangitis (PSC), which is a known risk factor for cholangiocarcinoma. Cholangiocarcinoma is a type of cancer that arises from the bile ducts, and it is a complication of PSC. Additionally, the chronic inflammation caused by ulcerative colitis can lead to the formation of gallstones, which can cause cholecystitis, a condition characterized by inflammation of the gallbladder. Therefore, the association between ulcerative colitis and cholelithiasis is well known and explained by existing knowledge.",True
age,age,1,12845,1.0,1.497,3304552,0.014,0.271,0.002,0.001,C0001779,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between the feature 'age' and the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well established in medical literature. Age is a significant risk factor for gallstone formation and gallbladder disease, with the prevalence increasing with age. This is supported by multiple studies and documents, including Document [0], Document [1], Document [2], Document [3], Document [4], Document [5], Document [6], Document [7], Document [8], Document [9], Document [10], Document [11], Document [12], Document [13], Document [14], Document [15], Document [16], Document [17], Document [18], Document [19], Document [20], Document [21], Document [22], Document [23], Document [24], Document [25], Document [26], Document [27], Document [28], and Document [29]. The association is not only mentioned in these documents but is also supported by the fact that the incidence of gallstones increases with age, and the prevalence of gallstones is higher in older adults. Therefore, the association between the feature 'age' and the target disease is well known and explained by existing knowledge.",True
(CRC) bowel cancer genetic risk,(CRC) bowel cancer genetic risk,1,35,1.0,2.661,4867,0.003,0.232,0.002,0.0,C0009402,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The association between (CRC) bowel cancer genetic risk and Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis is not directly related. While both are related to the biliary system, the genetic risk factors for CRC are more related to the colon and rectum, and not directly linked to the formation of gallstones or gallbladder disease. However, there is a common underlying factor of chronic inflammation, which can increase the risk of both CRC and gallbladder disease. But this is not a direct correlation between the genetic risk of CRC and the formation of gallstones or gallbladder disease.",False
Symptoms involving digestive system,Symptoms involving digestive system,1,1296,1.0,11.762,42251,0.002,0.219,0.003,0.001,C1457887,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between the feature 'Symptoms involving digestive system' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well known and explained by existing knowledge. Symptoms involving the digestive system are a common presentation of gallbladder disease, including cholelithiasis, gallstones, gallbladder disease, cholecystitis, and cholangitis. The presence of symptoms such as biliary colic, abdominal pain, and jaundice are indicative of gallbladder disease, and are often used as a diagnostic criterion. This association is supported by multiple studies and clinical guidelines, making it a well-established risk factor for these conditions.",True
Alcoholism,Alcoholism,1,1672,1.0,3.264,192043,0.002,0.129,0.009,0.001,C0001973,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between alcoholism and gallbladder disease is well established. Alcoholism is a known risk factor for gallstones and gallbladder disease. The literature suggests that alcoholism can lead to an increased risk of gallstones, cholecystitis, and cholangitis. This is likely due to the toxic effects of alcohol on the gallbladder and biliary system. Additionally, alcoholism can lead to an increased risk of pancreatitis, which is a known risk factor for gallstones and gallbladder disease. Therefore, the association between alcoholism and gallbladder disease is well known and established.",True
Age high blood pressure diagnosed,Age high blood pressure diagnosed_58,1,426,1.0,1.313,119743,0.001,0.084,-0.004,0.001,C0001779,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The association between 'Age high blood pressure diagnosed' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is not directly related. However, age is a known risk factor for gallbladder disease, and high blood pressure is a risk factor for cardiovascular disease, which is associated with gallbladder disease. But the specific association between 'Age high blood pressure diagnosed' and the target disease is not well established or explained by existing knowledge.",False
"Malignant neoplasm, other","Malignant neoplasm, other",1,2902,1.0,2.043,532381,0.001,0.082,0.006,0.0,C0006826,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between 'Malignant neoplasm, other' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well known. Malignant neoplasm, other is a known risk factor for gallbladder cancer, which is a type of cholelithiasis. The presence of gallstones is a major risk factor for gallbladder cancer, and gallstones are often associated with chronic inflammation, which can lead to malignant neoplasm. Additionally, the development of gallstones is a known risk factor for cholecystitis and cholangitis, which are conditions that can increase the risk of malignant neoplasm. Therefore, the association between 'Malignant neoplasm, other' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well established.",True
GERD,GERD,1,322,1.0,2.872,41586,0.003,0.068,0.008,0.0,C0017168,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The relationship between GERD and gallbladder disease is not explicitly mentioned in the provided documents. However, we can infer that GERD is not a known risk factor for gallbladder disease. The documents primarily focus on risk factors such as cholelithiasis, obesity, female gender, and age, but do not mention GERD as a contributing factor. Therefore, the association between GERD and gallbladder disease is not well known or explained by existing knowledge.",False
polyps,"Non-cancer illness code, self-reported | Array 0__polyps",1,1424,1.0,8.95,60613,0.0,0.054,-0.004,0.0,C0032584,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The feature 'Non-cancer illness code, self-reported | Array 0--polyps' is related to gallbladder polyps, which are a type of gallbladder disease. Gallbladder polyps are known to be associated with an increased risk of gallbladder cancer, but the relationship between polyps and cholelithiasis or gallstone disease is not as well established. However, gallstones are a known risk factor for cholelithiasis and gallstone disease. The presence of polyps may indicate an underlying gallbladder disease, which could potentially lead to cholelithiasis or gallstone disease. Therefore, the association between the feature 'polyps' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is not well known or explained by existing knowledge.",False
