feature_name,raw_name,shortest_path_length,Co-occurrence Count,Cooccurrence P-Value,Odds Ratio,Query Count,feature_importance,p_val,corr,MutualInfoTarget,cui,Target,boring_pred,boring_cot,boring
back pain,"Non-cancer illness code, self-reported | Array 4__back pain",2,285,1.0,4.917,92926,0.001,0.804,0.001,0.001,C0004604,Gout,B,"The association between 'back pain' and 'Gout' is not directly related. While back pain is a symptom that can be associated with various conditions, including gout, the feature 'Non-cancer illness code, self-reported | Array 4--back pain' is more closely related to the broader category of musculoskeletal pain, which includes conditions such as osteoarthritis, fibromyalgia, and spinal arthritis. Gout is a specific type of inflammatory arthritis caused by the deposition of uric acid crystals in the joints, and its primary symptoms are joint pain, swelling, and redness, rather than back pain. Therefore, the association between 'back pain' and 'Gout' is not a well-known or obvious risk factor.",False
Acute renal failure,Acute renal failure,2,342,1.0,4.878,112636,0.002,0.418,0.006,0.001,C0022660,Gout,A,"The association between 'Acute renal failure' and 'Gout' is well known and explained by existing knowledge. Acute renal failure is a known risk factor for Gout, as it can lead to the deposition of uric acid crystals in the kidneys, which can cause Gout. This is supported by the provided documents, which mention that hyperuricemia is an independent risk factor for the development of chronic kidney disease, and that Gout is associated with renal insufficiency, nephrolithiasis, and urate nephropathy. Therefore, the association between 'Acute renal failure' and 'Gout' is not new or surprising, but rather a well-established relationship.",True
(RA) rheumatoid arthritis genetic risk,(RA) rheumatoid arthritis genetic risk,2,14,1.0,4.892,4546,0.007,0.12,0.003,0.0,C0038013,Gout,B,"The association between rheumatoid arthritis genetic risk and gout is not directly related. Rheumatoid arthritis is an autoimmune disease characterized by inflammation of the synovium, while gout is a form of inflammatory arthritis caused by the deposition of monosodium urate crystals. The genetic risk factors for rheumatoid arthritis, such as HLA-DRB1 alleles, are not directly linked to the development of gout. Gout is primarily associated with genetic factors such as reduced function of the urate transporter URAT1, increased production of uric acid, and other environmental factors like diet and obesity. Therefore, the relationship between rheumatoid arthritis genetic risk and gout is not well established.",False
ulcers,"Non-cancer illness code, self-reported | Array 5__ulcers",2,310,1.0,1.628,303243,0.0,0.056,0.009,0.0,C0041582,Gout,B,"The association between the feature 'ulcers' and 'Gout' is not directly related to the provided documents. The documents primarily discuss the causes and risk factors of gastric ulcers, peptic ulcer disease, and other gastrointestinal conditions. While ulcers are mentioned in the context of gout, the relationship between ulcers and gout is not explicitly discussed in the provided documents. However, it is known that NSAIDs, which can cause ulcers, are a risk factor for gout. Therefore, the association between ulcers and gout is not well known or explained by existing knowledge in the provided documents.",False
rheumatoid arthritis,"Non-cancer illness code, self-reported | Array 3__rheumatoid arthritis",2,2165,1.0,21.546,176643,0.0,0.029,0.007,0.001,C0038013,Gout,A,"Rheumatoid arthritis is a known autoimmune disease that shares some common risk factors and pathways with gout, including genetic predisposition, environmental triggers, and immune system dysregulation. The presence of rheumatoid arthritis is associated with an increased risk of developing gout, as both conditions involve chronic inflammation and immune system dysregulation. The shared epitope hypothesis, which suggests that certain genetic variations in the HLA-DRB1 gene are associated with an increased risk of developing rheumatoid arthritis and other autoimmune diseases, including gout, supports this association. Additionally, the presence of rheumatoid arthritis may indicate a higher likelihood of developing other inflammatory conditions, including gout, due to the underlying immune system dysregulation. Therefore, the association between rheumatoid arthritis and gout is well-known and supported by existing knowledge.",True
Ethnic background Chinese,Ethnic background_Chinese,2,21,1.0,2.579,12919,0.0,0.026,0.007,0.0,C0015031,Gout,A,"The association between the feature 'Ethnic background Chinese' and 'Gout' is well known and explained by existing knowledge. The provided documents mention that individuals of Han Chinese, Korean, or Thai descent are at increased risk for developing severe hypersensitivity reactions to allopurinol, which is a medication used to treat gout. Additionally, the document [8] mentions that having Chinese ancestry is an independent risk factor for nasopharyngeal carcinoma, which is a different disease, but it implies that there may be genetic predispositions in certain ethnic groups that can increase the risk of developing certain diseases. Furthermore, the document [1] mentions that patients who carry the HLA-B*5801 allele are at increased risk for developing severe hypersensitivity reactions to allopurinol, which is a genetic predisposition. Therefore, the association between the feature 'Ethnic background Chinese' and 'Gout' is well known and explained by existing knowledge.",True
Ethnic background,Ethnic background_None,2,193,1.0,1.466,209110,0.0,0.014,0.008,0.001,C0015031,Gout,B,"The association between 'Ethnic background' and 'Gout' is not directly related to the development of gout. While there are some studies suggesting that certain ethnic groups may have a higher prevalence of gout, the relationship is complex and influenced by multiple factors, including genetic predisposition, diet, and lifestyle. The provided documents do not explicitly state that 'Ethnic background' is a known risk factor for gout. However, it is mentioned that certain ethnic groups, such as Native Americans and Latin Americans, have a higher prevalence of gallstones, which is a related condition to gout. Therefore, the association between 'Ethnic background' and 'Gout' is not well known or explained by existing knowledge.",False
Alcoholism,missing_Alcoholism,2,287,1.0,2.386,192043,0.0,0.0,-0.021,0.003,C0001973,Gout,A,"The association between the feature 'Alcoholism' and 'Gout' is well known and explained by existing knowledge. Alcohol consumption is a known risk factor for gout, as it promotes hyperuricemia and decreases uric acid excretion. This is supported by multiple documents, including Document [1], [2], and [4]. The relationship between alcohol consumption and gout is also discussed in Document [10], which states that quantity and duration of alcohol intake are the most important risk factors involved in the development of alcoholic liver disease, which can lead to gout. Therefore, the association between 'Alcoholism' and 'Gout' is not new or surprising, but rather a well-established and well-understood relationship.",True
Chronic renal failure [CKD],missing_Chronic renal failure [CKD],2,634,1.0,7.358,140300,0.006,0.0,-0.079,0.004,C1561643,Gout,A,"The relationship between chronic renal failure (CKD) and gout is well established in medical literature. CKD is a known risk factor for gout, as it leads to hyperuricemia, which is a major risk factor for gout development. Hyperuricemia occurs due to the reduced excretion of uric acid by the kidneys, which is a common complication of CKD. Additionally, CKD also leads to other metabolic disturbances, such as insulin resistance and dyslipidemia, which further increase the risk of gout. Therefore, the association between CKD and gout is well known and explained by existing knowledge.",True
Type 2 diabetes,Type 2 diabetes,1,420,1.0,2.775,242765,0.007,0.727,0.001,0.0,C0011860,Gout,A,"The association between Type 2 diabetes and Gout is well established in medical literature. Type 2 diabetes is a known risk factor for Gout, as it increases the risk of developing hyperuricemia, which is a major risk factor for Gout. Additionally, the metabolic changes associated with Type 2 diabetes, such as insulin resistance and obesity, also contribute to the development of Gout. Therefore, the association between Type 2 diabetes and Gout is not only known but also well explained by existing knowledge.",True
