feature_name,raw_name,shortest_path_length,Co-occurrence Count,Cooccurrence P-Value,Odds Ratio,Query Count,feature_importance,p_val,corr,MutualInfoTarget,cui,Target,boring_pred,boring_cot,boring
anxiety panic,"Non-cancer illness code, self-reported | Array 2__anxiety panic",2,162,1.0,1.712,11395,0.0,0.038,-0.011,0.002,C0003467,Heart attack,A,"The association between the feature 'anxiety panic' and 'Heart attack' is related to the fact that anxiety and panic attacks can lead to increased heart rate and blood pressure, which can increase the risk of heart attack. This is because the body's 'fight or flight' response is triggered, causing the heart to work harder and increasing the risk of cardiovascular problems. Additionally, individuals with anxiety and panic disorders may be more likely to engage in unhealthy behaviors such as smoking and poor diet, which can further increase the risk of heart attack. Furthermore, the physical symptoms of anxiety and panic attacks, such as palpitations, chest pain, and shortness of breath, can be mistaken for heart attack symptoms, leading to delayed or inappropriate treatment. Therefore, the association between anxiety panic and heart attack is well-known and explained by existing knowledge.",True
Ethnic background British,Ethnic background_British,2,92,1.0,2.542,4389,0.0,0.018,-0.012,0.006,C0015031,Heart attack,B,"The association between the feature 'Ethnic background British' and 'Heart attack' is not directly related to the provided documents. However, the documents do mention that certain ethnic groups have an increased risk of CAD morbidity and mortality, such as Blacks, Hispanics, Latinos, and Southeast Asians. This suggests that ethnicity is a risk factor for heart disease. The specific association between 'Ethnic background British' and 'Heart attack' is not explicitly mentioned in the documents, but it can be inferred that being of British ethnicity is not a risk factor for heart disease, as it is not listed among the risk factors mentioned in the documents. Therefore, the association is not well known or explained by existing knowledge.",False
Ethnic background Indian,Ethnic background_Indian,2,132,1.0,1.564,10153,0.0,0.0,0.022,0.002,C0015031,Heart attack,A,"The association between the feature 'Ethnic background Indian' and 'Heart attack' is well known and explained by existing knowledge. The provided documents mention that certain ethnic groups, including Native Americans and Pima Indians, have a higher risk of developing type 2 diabetes and coronary artery disease, which is a major risk factor for heart attack. Additionally, the documents highlight the importance of considering cultural and genetic factors in the risk assessment and management of heart disease in these populations. Therefore, the association between 'Ethnic background Indian' and 'Heart attack' is not surprising and is consistent with existing knowledge.",True
hypertension,"Non-cancer illness code, self-reported | Array 1__hypertension",2,27913,1.0,5.639,662699,0.003,0.0,0.075,0.004,C0235222,Heart attack,A,"The association between the feature 'hypertension' and 'Heart attack' is well established in medical literature. Hypertension is a known risk factor for heart attack, and it is a major contributor to the development of coronary artery disease, which is a leading cause of heart attacks. The relationship between hypertension and heart attack is supported by numerous studies, including the Framingham Heart Study, which has consistently shown that high blood pressure increases the risk of heart attack. Additionally, the concept of a 'J-curve' suggests that blood pressures that are too low may also increase the risk of cardiovascular events, including heart attack. Therefore, the association between the feature 'hypertension' and 'Heart attack' is well known and explained by existing knowledge.",True
Ethnic background Pakistani,Ethnic background_Pakistani,2,13,0.93,1.461,1069,0.0,0.0,0.028,0.001,C0015031,Heart attack,A,"The association between the feature 'Ethnic background Pakistani' and 'Heart attack' is well known and explained by existing knowledge. The document [11] mentions that certain ethnic groups have a higher predisposition for hypertension, and the prevalence of hypertension among the African American population is among the highest of any ethnic group in the world. Additionally, document [11] states that Blacks, Hispanics, Latinos, and Southeast Asians are ethnic groups with an increased risk of CAD morbidity and mortality. Furthermore, document [25] mentions that family history is a significant risk factor, and patients with a family history of premature cardiac disease younger than 50 years of age have an increased CAD mortality risk. Therefore, the association between the feature 'Ethnic background Pakistani' and 'Heart attack' is already known and explained by existing knowledge.",True
Atrial fibrillation and flutter,Atrial fibrillation and flutter,1,686,1.0,12.083,7439,0.001,0.573,-0.001,0.003,C0004238,Heart attack,A,"Atrial fibrillation and flutter are known to increase the risk of heart attack, specifically cardioembolic strokes. This is because the irregular heart rhythm can lead to blood clots forming in the heart, which can then travel to the brain and cause a stroke. The CHADS2 risk stratification tool is often used to predict the stroke risk in patients with atrial fibrillation. The presence of congestive heart failure, systemic hypertension, diabetes, female sex, age between 65 to 74 years, and a history of peripheral vascular disease score 1 point for each comorbidity that is present. Age more than 75 years old and a history of stroke are 2 additional points each. The presence of 1 point can give the patient an annual risk of 1.3% of embolic stroke per year; with 2 points, the risk is 2.2%. In patients with 2 or more points, anticoagulation is a strong recommendation. In patients with 1 point, one may use either aspirin or full anticoagulation. Therefore, the association between atrial fibrillation and flutter and heart attack is well known and explained by existing knowledge.",True
Cholesterol in Large HDL,missing_Cholesterol in Large HDL,1,320,1.0,6.802,5909,0.001,0.49,-0.004,0.003,C0008377,Heart attack,A,"The relationship between 'Cholesterol in Large HDL' and 'Heart attack' is well established in the medical literature. Studies have shown that low levels of HDL cholesterol are associated with an increased risk of heart disease, including heart attacks. This is because HDL cholesterol plays a crucial role in removing excess cholesterol from the bloodstream and preventing its accumulation in the arteries. A deficiency in HDL cholesterol can lead to the development of atherosclerosis, which increases the risk of heart attacks. Therefore, the association between 'Cholesterol in Large HDL' and 'Heart attack' is well known and is part of the known risk factors for heart disease.",True
Hemorrhage or hematoma complicating a procedure,Hemorrhage or hematoma complicating a procedure,1,91069,1.0,2.323,5682367,0.002,0.287,0.007,0.002,C0019080,Heart attack,A,"The association between 'Hemorrhage or hematoma complicating a procedure' and 'Heart attack' is related to the risk of bleeding complications during medical procedures, which can lead to hematoma formation. This is a known risk factor for heart attack, as it can lead to cardiac complications such as myocardial infarction. The risk of bleeding complications is higher in patients with a history of heart disease, including heart attack, and can be exacerbated by the use of anticoagulant medications. Therefore, the association between 'Hemorrhage or hematoma complicating a procedure' and 'Heart attack' is well known and explained by existing knowledge.",True
(AF) atrial fibrillation genetic risk,(AF) atrial fibrillation genetic risk,1,101,1.0,5.237,2391,0.004,0.076,0.008,0.0,C0004238,Heart attack,A,"Atrial fibrillation is a known risk factor for heart attack, and genetic risk is a component of this condition. The relationship between atrial fibrillation and heart attack is well established, with atrial fibrillation increasing the risk of heart attack by causing blood to pool in the heart, leading to the formation of blood clots. Genetic risk factors, such as those related to the heart's electrical system, can contribute to the development of atrial fibrillation. Therefore, the association between (AF) atrial fibrillation genetic risk and heart attack is well known and is part of the known risk factors.",True
not migraine,"Non-cancer illness code, self-reported | Array 3__not migraine",1,555,1.0,1.329,50132,0.0,0.059,0.01,0.002,C0149931,Heart attack,B,"The feature 'Non-cancer illness code, self-reported | Array 3--not migraine' is related to the target disease 'Heart attack'. The association between the two is not well known or explained by existing knowledge. The feature is not a known risk or protective factor for heart attack, and it is not part of known risk factors or related pathways or mechanisms. Therefore, the association between the feature and the target disease is not well established.",False
