Feature_Name,Explanation,Novelty,Plausibility,Utility,Interestingness,Real,corr,p_val,feature_importance,MutualInfoTarget,Target
(MEL) melanoma genetic risk,"Potentially novel link between melanoma genes and esophageal cancer, but mechanisms are unclear and distinct etiologies reduce plausibility. Offers minor utility unless further substantiated.",3,2,2,2,1,0.017,0.004,0.027,0.001,oesophagus cancer
Apolipoprotein A1,Rarely connected to esophageal cancer in literature; mechanistic pathway is unclear. Novel idea for lipid-cancer research but of limited immediate usefulness.,3,2,2,2,1,0.008,0.145,0.004,0,oesophagus cancer
Age asthma diagnosed_10,Childhood asthma might contribute to chronic inflammation and slight increased cancer risk. Reasonably plausible and could aid early monitoring; moderately novel.,3,3,3,3,0,0.001,0.93,0,0,oesophagus cancer
Weight (p21002),"Obesity/overweight status is a known risk for esophageal cancer, but focusing on raw weight (not just BMI) is somewhat less documented. Mechanistically strong, clinically relevant.",2,4,3,3,1,0.015,0.02,0.004,0.001,oesophagus cancer
Treatment/medication code | Array 0__atenolol,"Beta-blocker link to esophageal cancer is novel, yet lacks a clear biologic mechanism. Practical value remains tentative.",3,2,2,2,1,0.024,0.004,0.001,0,oesophagus cancer
(ISS) ischaemic stroke genetic risk,Unexpected correlation to esophageal cancer risk; distinct pathophysiologies limit plausibility. Possibly useful for hypothesis generation only.,3,2,2,2,1,0.009,0.066,0.01,0,oesophagus cancer
Ever addicted to illicit or recreational drugs_infrequent_,Counterintuitive negative link; plausibility is weak given known harmful health impacts. Novel enough to warrant cautious follow-up.,3,2,2,2,0,-0.006,0.456,0,0,oesophagus cancer
Abnormal results of function study of liver,"Suggests liver anomalies might protect against esophageal cancer, but lacks a solid mechanistic basis. Novel but not strongly plausible.",2,2,2,2,0,-0.003,0.526,0,0,oesophagus cancer
(RA) rheumatoid arthritis genetic risk,"Chronic inflammation could theoretically raise cancer risk, but no strong link to esophageal cancer documented. Moderately novel but low current utility.",3,2,2,2,1,0.009,0.192,0.003,0,oesophagus cancer
Birth weight known_No,Limited evidence specifically connecting birth weight to esophageal cancer. Slightly novel but lacking a clear biological or clinical mechanism.,2,2,2,2,1,0.02,0.013,0.002,0.005,oesophagus cancer
Townsend deprivation index at recruitment,"Socioeconomic adversity often elevates risk factors (smoking, alcohol). Plausible and moderately novel for esophageal cancer. Useful for population-level interventions.",2,4,3,3,1,0.024,0,0.009,0,oesophagus cancer
(CAD) coronary artery disease genetic risk,"Unexpected negative correlation with esophageal cancer; no clear pathway. Novel, though limited plausibility or immediate relevance.",3,2,2,2,1,-0.009,0.136,0.011,0,oesophagus cancer
Apolipoprotein B,Primarily tied to cardiovascular risk. Negative correlation with esophageal cancer is novel but not clearly mechanistic. Limited immediate utility.,3,2,2,2,1,-0.012,0.107,0.003,0.002,oesophagus cancer
Average Diameter for VLDL Particles,"Potentially new metabolic angle in esophageal cancer, but mechanism is unclear. Novel yet clinically unproven.",3,2,2,2,1,0.013,0.144,0.005,0,oesophagus cancer
(AST) asthma genetic risk,Genetic predisposition for asthma linking to esophageal cancer is uncharted. Novel but lacks strong mechanistic support.,3,2,2,2,1,0.014,0.044,0.007,0.001,oesophagus cancer
Alanine,Negative correlation contradicts typical metabolic expectations. Novel but no strong explanation. Limited immediate application.,3,2,2,2,1,-0.012,0.026,0.005,0.001,oesophagus cancer
Mouth/teeth dental problems_Bleeding gums,"Inversely correlated contrary to general oral-health assumptions. Novel, but likely confounded; limited clinical use.",3,2,2,2,1,-0.028,0,0.004,0,oesophagus cancer
Age other serious eye condition diagnosed_None,"Alleged protective factor is unclear, lacking direct biologic rationale. Novel but not strongly plausible or useful.",3,2,1,2,0,-0.005,0.505,0.001,0,oesophagus cancer
Z90.7 - Acquired absence of genital organ(s),"Negative association might reflect hormonal or genetic interplay, but mechanisms are speculative. Moderately novel, uncertain clinical value.",3,2,2,2,0,-0.004,0.418,0,0,oesophagus cancer
(VTE) venous thromboembolic disease genetic risk,Negative link to esophageal cancer is unexpected and unestablished. Novel but lacks biologic plausibility.,3,2,2,2,1,-0.012,0.078,0.009,0,oesophagus cancer
Acetone,"Potential novel biomarker angle for esophageal cancer, but no established metabolic or carcinogenic link. Some research interest, low immediate value.",3,2,2,2,1,0.022,0,0.014,0.001,oesophagus cancer
Mean platelet (thrombocyte) volume,"Minor inverse correlation. MPV is linked to inflammation, but no direct esophageal pathway. Novel, with limited current value.",3,2,2,2,1,-0.012,0.139,0.003,0,oesophagus cancer
Age high blood pressure diagnosed_None,Late hypertension onset inversely correlates with esophageal cancer risk—contrary to usual chronic-disease synergy. Novel but poorly explained.,3,2,1,2,1,-0.031,0,0.005,0.001,oesophagus cancer
Mineral and other dietary supplements_Glucosamine,Weak negative link to esophageal cancer. Novel finding without plausible mechanism; uncertain real-world benefit.,3,2,1,2,1,-0.025,0.002,0.006,0,oesophagus cancer
Long-term/recurrent antibiotics as child or teenager_No,Surprising negative correlation challenges typical concerns about microbiome disruption. Novel but lacks plausible explanation.,3,2,2,2,1,-0.078,0,0.004,0.003,oesophagus cancer
Doctor diagnosed asthma_None,Respiratory condition not commonly tied to esophageal cancer. Novel correlation but mechanism questionable.,3,2,2,2,1,0.055,0,0.002,0.004,oesophagus cancer
Mental health conditions ever diagnosed by a professional__of,"Inverse relationship defies usual correlations of mental illness with worse outcomes. Novel, though lacks clear causal mechanism.",3,2,2,2,1,-0.146,0,0.163,0.016,oesophagus cancer
Cholesterol in Large LDL,"Negative correlation suggests unexpected protective role, but biology is unclear. Novel, limited immediate application.",3,2,2,2,1,-0.012,0.055,0.001,0.002,oesophagus cancer
Non-cancer illness code self-reported | Array 0__hypertension,"Links between hypertension and esophageal cancer not well-studied but plausible (inflammation, shared risk factors). Moderately novel, some potential utility.",2,3,2,2,1,0.03,0,0.01,0,oesophagus cancer
(EOC) epithelial ovarian cancer genetic risk,Negative correlation implies possible protective cross-cancer genetic factors. Novel but not strongly plausible or directly useful yet.,3,2,2,2,1,-0.004,0.467,0.005,0.002,oesophagus cancer
Cholesterol Blood biochemistry,"Inversely correlated with esophageal cancer, challenging standard ideas on high cholesterol. Novel, mechanistically uncertain.",3,2,2,2,1,-0.019,0.007,0.004,0.002,oesophagus cancer
(LDL_SF) low density lipoprotein cholesterol genetic risk,Inverse association with esophageal cancer is unexpected. Novel but lacks recognized biological pathway; might spur new hypotheses.,3,2,2,2,1,-0.009,0.215,0.004,0.001,oesophagus cancer
3-Hydroxybutyrate,"Ketone body possibly implicated in tumor metabolism; fairly novel with moderate potential for biomarker research, though correlation is weak.",3,2,3,3,1,0.028,0,0.03,0.005,oesophagus cancer
(CVD) cardiovascular disease genetic risk,"Surprising negative link to esophageal cancer. Novel, but no plausible mechanism. Possibly worth exploratory study only.",3,2,2,2,1,-0.011,0.084,0.019,0,oesophagus cancer
LDL direct Blood biochemistry,Contradicts typical health risks associated with elevated LDL. Novel but lacks recognized mechanism for esophageal cancer.,3,2,2,2,1,-0.021,0.001,0.013,0.004,oesophagus cancer
Ever addicted to a behaviour or miscellanous_infrequent_,Negative link to esophageal cancer is novel but not well-grounded biologically. Possibly confounded; moderate research curiosity.,3,2,2,2,0,-0.004,0.637,0,0,oesophagus cancer
Mental health conditions ever diagnosed by a professional__or nerves,"Inverse association defies typical mental-physical health patterns. Novel, but no solid rationale. Possibly warrants further exploration.",3,2,2,2,1,-0.049,0,0.003,0.002,oesophagus cancer
Concentration of Very Small VLDL Particles,Potential protective correlation is unanticipated and lacks mechanistic clarity. Novel but low plausibility; purely exploratory.,3,2,2,2,1,-0.003,0.627,0.004,0.002,oesophagus cancer
SHBG,"Sex hormone–binding globulin's link to esophageal cancer is undocumented. Novel lead, though mechanism is unclear and correlation slight.",3,2,2,2,1,0.012,0.031,0.028,0,oesophagus cancer
Age angina diagnosed_48,"Shared risk factors (tobacco, diet) might connect angina and esophageal cancer risk. Novel and plausibly linked, with modest clinical utility.",3,3,3,3,0,0,1,0,0,oesophagus cancer
Home area population density - urban or rural_Scotland - Large Urban Area,"Urban environment may increase known risk behaviors (alcohol, smoking). Slightly novel for esophageal cancer; plausible, moderate utility in public health.",2,3,3,3,1,0.016,0.053,0.001,0.002,oesophagus cancer
(SLE) systemic lupus erythematosus genetic risk,"Autoimmune inflammation might raise cancer risk, but direct esophageal link is unclear. Novel, though lacking strong mechanistic evidence.",3,2,2,2,1,0.017,0.015,0.014,0,oesophagus cancer
Triglycerides,"Elevated triglycerides are known in metabolic syndrome, but direct esophageal cancer correlation is underexplored. Somewhat plausible, modestly novel.",3,3,2,3,1,0.02,0.003,0.018,0.001,oesophagus cancer
(PSO) psoriasis genetic risk,Unexpected negative link to esophageal cancer contradicts typical inflammation-driven risk. Novel but no strong mechanistic plausibility.,3,2,2,2,1,-0.018,0.03,0.022,0,oesophagus cancer
Mental health conditions ever diagnosed by a professional__of group,"Inverse correlation is novel, defies typical assumptions. Mechanistic basis is unclear, so limited immediate utility.",3,2,2,2,1,-0.146,0,0.091,0.014,oesophagus cancer
(HBA1C_DF) glycated haemoglobin genetic risk,"Slight association with esophageal cancer risk aligns with metabolic/inflammatory pathways, but correlation is weak. Novel for genetic angle, moderate plausibility.",3,3,2,2,1,0.006,0.248,0.012,0.004,oesophagus cancer
Acetoacetate,Ketone body link to esophageal cancer is uncharted. Novel but lacking a strong biological pathway for direct utility.,3,2,2,2,1,0.017,0,0.013,0.003,oesophagus cancer
Z90.4 - Acquired absence of other parts of digestive tract,Negative correlation may reflect altered exposure or field effects. Novel but not firmly grounded; possibly relevant for surgical outcomes research.,3,2,2,2,0,-0.005,0.929,0.003,0,oesophagus cancer
Wheeze or whistling in the chest in last year_Yes,"Respiratory symptom correlation with esophageal cancer is unusual and not well-substantiated. Novel, low plausibility, minimal direct utility.",3,2,2,2,1,0.031,0,0.008,0,oesophagus cancer
Vitamin D,Negative link is contrary to typical assumptions about cancer prevention. Novel but mechanism uncertain. Limited immediate significance.,3,2,2,2,1,-0.022,0.001,0.018,0.003,oesophagus cancer
Hypotension NOS,"Possible mild plausibility via systemic hemodynamic or nitric oxide pathways, but correlation is weak. Novel, moderate investigative interest.",3,2,2,2,1,0.01,0.123,0.003,0.001,oesophagus cancer
Mouth/teeth dental problems_Dentures,Infrequently studied link to esophageal cancer; conceptually plausible via inflammation or oral health routes but correlation is weak. Moderately novel.,3,2,2,2,1,0.035,0,0.005,0,oesophagus cancer
