Feature_Name,Explanation,Novelty,Plausibility,Utility,Interestingness,Real,corr,p_val,feature_importance,MutualInfoTarget,Target
missing_Essential hypertension,"Although hypertension is often part of metabolic syndrome (linked to gallbladder disease), this weak negative correlation (-0.026) is unexpected. No solid mechanism explains why higher blood pressure would protect against gallbladder disease, making it a curious but not strongly justified finding.",2,2,2,2,1,-0.026,0,0.005,0.017,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Home area population density - urban or rural_England/Wales - Village - less sparse,"An inverse relationship between more populous areas and gallbladder disease is novel; one might assume urban lifestyles (unhealthy diets, stress) could increase risk. The mechanism is unclear, and confounders like access to care, dietary patterns, or social factors could be at play, limiting direct utility.",3,2,2,2,1,-0.013,0,0.004,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Skin colour_Very fair,"No recognized biological pathway links skin pigmentation directly to gallbladder disease. While novel, it's implausible that very fair skin is protective or risk-modifying for gallbladder disease without a known mechanism.",3,1,1,2,1,0.008,0,0.001,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Actinic keratosis,"Actinic keratosis usually indicates chronic sun damage risk. A possible positive correlation with gallbladder disease is unconventional; while it could hint at shared inflammatory or immune pathways, there's limited direct evidence for a strong mechanistic link, though it’s an intriguing avenue to explore.",3,2,2,3,0,0.003,0.948,0,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Frequency of tiredness / lethargy in last 2 weeks_Nearly every day,"Fatigue is a nonspecific symptom. While chronic inflammation or subclinical infection in gallbladder disease could cause tiredness, evidence is weak. This is modestly novel, somewhat plausible biologically, but not immediately clinically actionable.",3,3,2,3,1,0.034,0,0.006,0.002,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Apolipoprotein A Blood biochemistry,"Higher ApoA levels might reduce bile cholesterol saturation, theoretically protecting against gallstones. This is novel given limited direct evidence in gallbladder disease, yet the mechanism (lipid transport and bile composition) is plausible and could be clinically insightful if confirmed.",3,3,3,3,1,-0.031,0,0.014,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(BC) breast cancer genetic risk,"Breast cancer genetic predispositions (e.g., BRCA) are not commonly linked to gallbladder disease. The correlation is quite novel but lacks strong mechanistic underpinnings, likely reflecting confounding (obesity, etc.).",3,2,2,2,1,0.004,0.039,0.008,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Sodium in urine,"Urinary sodium isn’t a known direct risk factor for gallstones. While diet high in sodium could correlate with other metabolic issues, any direct tie to gallbladder disease is speculative, so this is novel yet minimally plausible.",3,2,2,2,1,0.007,0.001,0.006,0.002,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
Cholesterol in Medium HDL,"Exploring cholesterol subfractions (medium HDL) in gallbladder disease is under-studied, so it’s novel. However, a direct link to stone formation isn’t firmly established. If confirmed, it might refine lipid-based risk assessments.",3,2,2,2,1,-0.017,0,0.002,0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
(AST) asthma genetic risk,"Asthma’s genetic risk primarily affects airways and immune pathways, not typically gallbladder pathology. This is a novel but tenuous correlation without a convincing biologic mechanism, limiting its usefulness.",3,2,2,2,1,0.005,0.002,0.004,0.002,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis)
