Feature_Name,Util_Explanation,Utility,Utility_Score
missing_Essential hypertension,"The negative correlation is small and not well established as a risk factor for gallbladder disease, offering little practical value in clinical decision-making or screening.",FALSE,1
Home area population density - urban or rural_England/Wales - Village - less sparse,"While intriguing from an epidemiological perspective, the correlation is weak and overshadowed by individual metabolic/lifestyle factors, limiting direct clinical utility.",FALSE,2
Skin colour_Very fair,"No known biological mechanism links very fair skin color to gallbladder disease; the correlation is negligible, with minimal potential for actionable use.",FALSE,1
Actinic keratosis,No recognized connection or mechanism with gallbladder disease; extremely weak correlation provides no meaningful clinical application.,FALSE,1
Frequency of tiredness / lethargy in last 2 weeks_Nearly every day,Fatigue is highly nonspecific and can arise from many conditions; it offers limited direct usefulness in predicting gallbladder disease risk.,FALSE,2
Apolipoprotein A Blood biochemistry,"Ties to cholesterol and lipid metabolism may be relevant for gallstone pathogenesis; as a measurable biomarker, it has moderate potential utility in risk assessment.",TRUE,3
(BC) breast cancer genetic risk,Extremely weak correlation with no strong mechanism for gallbladder disease; not clinically informative for gallbladder risk.,FALSE,1
Sodium in urine,"Might reflect dietary salt intake and fluid balance, but the very weak correlation offers little actionable insight for gallbladder disease risk.",FALSE,2
Cholesterol in Medium HDL,"Though HDL relates to cholesterol metabolism (a factor in gallstone formation), the correlation here is small, suggesting only mild practical utility.",FALSE,2
(AST) asthma genetic risk,"No clear biological rationale or robust correlation with gallbladder disease, yielding negligible clinical utility.",FALSE,1
Major dietary changes in the last 5 years_No,Diet is an important contributor to gallstone risk; tracking recent dietary stability/changes can moderately inform risk stratification.,TRUE,3
(HT) hypertension genetic risk,"A small positive correlation possibly reflecting shared metabolic pathways, but currently of limited direct utility for gallbladder risk.",FALSE,2
(CED) coeliac disease genetic risk,"Weak correlation; although there may be autoimmune or GI overlap, this is not strong enough to be clinically actionable for gallbladder disease risk.",FALSE,2
(HBA1C_DF) glycated haemoglobin genetic risk,"Genetic propensity for higher HbA1c (metabolic dysregulation) may inform gallbladder disease risk, offering moderate relevance in assessing overall metabolic burden.",TRUE,3
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",Weak correlation and no strong evidence linking these meds directly to gallbladder disease; slight practical value for risk stratification.,FALSE,2
Number of self-reported non-cancer illnesses,General comorbidity count can reflect overall health burden; moderately useful for identifying higher-risk patients.,TRUE,3
SHBG,Hormone-binding protein with uncertain gallbladder link; limited applicability to everyday risk prediction or management.,FALSE,2
Arm fat percentage (left),"While obesity and fat distribution matter, arm fat percentage alone is not a strong or standard marker for gallbladder disease risk.",FALSE,2
(CAD) coronary artery disease genetic risk,Minimal or no direct gallbladder linkage; offers negligible value for gallbladder disease assessment.,FALSE,1
"Complications of cardiac/vascular device, implant, and graft",Unrelated complications that do not meaningfully inform gallbladder disease risk or management.,FALSE,1
LDL direct Blood biochemistry,"LDL is central to cholesterol metabolism, but weak/negative correlation here diminishes its direct clinical utility in gallbladder disease.",FALSE,2
A09.9 - Gastroenteritis and colitis of unspecified origin,"GI inflammation might overlap with biliary disease symptoms, but correlation is weak and not routinely actionable.",FALSE,2
