feature_name,feature_importance,corr,source-shap,source-KG,source-lit,source-Joint-Shap_Lit,Target
(CED) coeliac disease genetic risk,0.45,0.25,1,0,0,0,Coeliac disease
(MS) multiple sclerosis genetic risk,0.06,0.02,1,1,0,0,Coeliac disease
(PSO) psoriasis genetic risk,0.02,0.0,0,0,1,1,Coeliac disease
(SLE) systemic lupus erythematosus genetic risk,0.04,0.16,1,0,0,0,Coeliac disease
(T1D) type 1 diabetes genetic risk,0.12,0.15,1,0,0,0,Coeliac disease
Abdominal pain,0.05,0.02,1,0,0,0,Coeliac disease
Acetone,0.02,0.0,0,1,1,1,Coeliac disease
"Age hay fever, rhinitis or eczema diagnosed_None",0.02,0.0,0,0,1,0,Coeliac disease
Alanine aminotransferase,0.18,0.07,1,1,0,0,Coeliac disease
Apolipoprotein A1,0.04,-0.07,1,1,1,1,Coeliac disease
Average Diameter for LDL Particles,0.0,0.0,0,0,0,1,Coeliac disease
Cholesterol Blood biochemistry,0.07,-0.08,1,1,1,1,Coeliac disease
Concentration of HDL Particles,0.0,0.0,0,0,0,1,Coeliac disease
Concentration of Medium LDL Particles,0.0,0.0,0,0,0,1,Coeliac disease
Concentration of Small HDL Particles,0.01,0.0,0,0,1,1,Coeliac disease
Concentration of Small VLDL Particles,0.0,0.0,0,0,0,1,Coeliac disease
Concentration of Very Large HDL Particles,0.01,0.0,0,0,1,1,Coeliac disease
Diaphragmatic hernia,0.03,0.0,0,1,0,0,Coeliac disease
Duodenitis,0.02,0.0,0,1,0,0,Coeliac disease
Fluid intelligence score,0.0,0.0,0,0,0,1,Coeliac disease
HDL cholesterol Blood biochemistry,0.15,-0.09,1,1,1,1,Coeliac disease
Haemoglobin concentration,0.09,-0.06,1,1,0,0,Coeliac disease
Home area population density - urban or rural_Scotland - Large Urban Area,0.04,-0.04,1,1,1,0,Coeliac disease
"Long-standing illness, disability or infirmity_No",0.01,0.0,0,0,1,0,Coeliac disease
"Long-standing illness, disability or infirmity_Yes",0.04,0.11,1,1,1,0,Coeliac disease
"Never eat eggs, dairy, wheat, sugar_Wheat products",0.1,0.37,1,1,0,0,Coeliac disease
"Never eat eggs, dairy, wheat, sugar_Wheat products|Sugar or foods/drinks containing sugar",0.02,0.0,0,1,0,0,Coeliac disease
Noninfectious gastroenteritis,0.03,0.0,0,1,1,1,Coeliac disease
SHBG,0.15,0.06,1,1,1,1,Coeliac disease
"Symptoms concerning nutrition, metabolism, and development",0.01,0.0,0,0,1,0,Coeliac disease
Tea intake,0.01,0.0,0,0,1,1,Coeliac disease
Total bilirubin,0.06,-0.06,1,0,0,0,Coeliac disease
