feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,Novel/Interesting?,Makes Sense?,COMMENTS
SHBG,SHBG,0.152,0.0,0.055,0.001,5,1.49,SHBG >= 2.40,10111,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
HDL cholesterol Blood biochemistry,HDL cholesterol Blood biochemistry,0.146,0.0,-0.089,0.008,1,2.36,-1.90 <= HDL cholesterol Blood biochemistry < -1.60,4219,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Cholesterol Blood biochemistry,Cholesterol Blood biochemistry,0.072,0.0,-0.083,0.003,5,1.8,Cholesterol Blood biochemistry < -1.90,11943,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Apolipoprotein A1,Apolipoprotein A1,0.04,0.0,-0.07,0.004,6,2.7,-3.00 <= Apolipoprotein A1 < -2.30,15543,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Long-standing illness, disability or infirmity_Yes","Long-standing illness, disability or infirmity_Yes",0.038,0.0,0.106,0.007,0,1.42,"Long-standing illness, disability or infirmity_Yes >= 0.50",205,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0.037,0.0,-0.044,0.0,0,1.03,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,285,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Noninfectious gastroenteritis,Noninfectious gastroenteritis,0.026,0.755,0.009,0.002,7,1.9,Noninfectious gastroenteritis < -1.20,365,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Acetone,Acetone,0.019,0.0,-0.031,0.003,4,1.13,-1.20 <= Acetone < -0.08,31908,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
(PSO) psoriasis genetic risk,(PSO) psoriasis genetic risk,0.015,0.0,-0.055,0.002,2,1.49,(PSO) psoriasis genetic risk < -1.70,42,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Age hay fever, rhinitis or eczema diagnosed_None","Age hay fever, rhinitis or eczema diagnosed_None",0.015,0.0,-0.035,0.003,7,1.19,"Age hay fever, rhinitis or eczema diagnosed_None < 0.50",2309,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
