feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
SHBG,C0036883,Sex Hormone-Binding Globulin,"Sex Hormone-Binding Globulin. A glycoprotein migrating as a beta-globulin. Its molecular weight, 52,000 or 95,000-115,000, indicates that it exists as a dimer. The protein binds testosterone, dihydrotestosterone, and estradiol in the plasma. Sex hormone-binding protein has the same amino acid sequence as ANDROGEN-BINDING PROTEIN. They differ by their sites of synthesis and post-translational oligosaccharide modifications.",0,0.45,0.0,0.0,0.0,0.1518,0.0,0.055,0.0006,SHBG,1.49,773,SHBG >= 2.40,0.02,0.11,2
HDL cholesterol Blood biochemistry,C0023822,High Density Lipoprotein Cholesterol,"High Density Lipoprotein Cholesterol. Cholesterol which is contained in or bound to high-density lipoproteins (HDL), including CHOLESTEROL ESTERS and free cholesterol.",1,0.801,0.0,1.0,0.3,0.1459,0.0,-0.089,0.0076,HDL cholesterol Blood biochemistry,2.36,522,-1.90 <= HDL cholesterol Blood biochemistry < -1.60,0.03,0.03,1
Cholesterol Blood biochemistry,,,,0,1.0,0.0,0.0,0.0,0.0725,0.0,-0.083,0.0031,Cholesterol Blood biochemistry,1.8,715,Cholesterol Blood biochemistry < -1.90,0.1,0.1,2
Apolipoprotein A1,C0085201,Apolipoprotein A-I,"Apolipoprotein A-I. The most abundant protein component of HIGH DENSITY LIPOPROTEINS or HDL. This protein serves as an acceptor for CHOLESTEROL released from cells thus promoting efflux of cholesterol to HDL then to the LIVER for excretion from the body (reverse cholesterol transport). It also acts as a cofactor for LECITHIN CHOLESTEROL ACYLTRANSFERASE that forms CHOLESTEROL ESTERS on the HDL particles. Mutations of this gene APOA1 cause HDL deficiency, such as in FAMILIAL ALPHA LIPOPROTEIN DEFICIENCY DISEASE and in some patients with TANGIER DISEASE.",0,0.887,0.0,0.0,0.0,0.0397,0.0,-0.07,0.0037,Apolipoprotein A1,2.7,322,-3.00 <= Apolipoprotein A1 < -2.30,0.04,0.04,2
Noninfectious gastroenteritis,C0267418,Noninfectious gastroenteritis,Noninfectious gastroenteritis. ,0,0.984,0.0,0.0,0.0,0.0263,0.7553,0.009,0.0023,Noninfectious gastroenteritis,1.9,479,Noninfectious gastroenteritis < -1.20,0.28,0.49,99
Acetone,C0001002,acetone,acetone. A colorless liquid used as a solvent and an antiseptic. It is one of the ketone bodies produced during ketoacidosis.,0,0.864,0.0,0.0,0.0,0.0189,0.0,-0.031,0.0025,Acetone,1.13,8121,-1.20 <= Acetone < -0.08,-0.06,-0.06,2
(PSO) psoriasis genetic risk,C1517512,Genetic Risk,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.623,0.0,0.0,0.0,0.0145,0.0,-0.055,0.0016,(PSO) psoriasis genetic risk,1.49,435,(PSO) psoriasis genetic risk < -1.70,0.17,0.17,2
Tea intake,C0039400,Tea,"Tea. The infusion of leaves of CAMELLIA SINENSIS (formerly Thea sinensis) as a beverage, the familiar Asian tea, which contains CATECHIN (especially epigallocatechin gallate) and CAFFEINE.",0,0.545,0.0,0.0,0.0,0.0081,0.0,0.035,0.0017,Tea intake,1.52,387,Tea intake >= 2.70,0.05,0.12,2
Concentration of Small HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0074,0.0,-0.048,0.0025,Concentration of Small HDL Particles,1.37,671,-2.60 <= Concentration of Small HDL Particles < -1.70,-0.05,0.09,2
Concentration of Very Large HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0074,0.0392,-0.015,0.0,Concentration of Very Large HDL Particles,1.02,24528,-3.20 <= Concentration of Very Large HDL Particles < 0.60,-0.05,0.05,2
Average Diameter for LDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.466,0.0,0.0,0.0,0.0065,0.1321,0.016,0.0018,Average Diameter for LDL Particles,1.2,791,0.05 <= Average Diameter for LDL Particles < 0.67,0.01,0.16,2
Concentration of HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0057,0.0,-0.047,0.0025,Concentration of HDL Particles,1.57,753,-3.40 <= Concentration of HDL Particles < -2.00,-0.04,0.07,2
Concentration of Medium LDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0054,0.0,-0.028,0.0022,Concentration of Medium LDL Particles,1.15,3013,Concentration of Medium LDL Particles < -0.25,-0.02,0.09,2
Fluid intelligence score,,,,0,1.0,0.0,0.0,0.0,0.0046,0.3094,0.001,0.0,Fluid intelligence score,1.28,698,2.10 <= Fluid intelligence score < 3.80,-0.07,-0.07,2
Concentration of Small VLDL Particles,C0597177,Particle,Particle. An object with finite mass and size parameters.,0,0.232,0.0,0.0,0.0,0.0045,0.0088,-0.01,0.0,Concentration of Small VLDL Particles,1.47,312,-3.90 <= Concentration of Small VLDL Particles < -2.80,-0.08,0.04,2
Lipoprotein A Blood biochemistry,C0065058,Lipoprotein (a),"Lipoprotein (a). A lipoprotein that resembles the LOW-DENSITY LIPOPROTEINS but with an extra protein moiety, APOPROTEIN (A) also known as APOLIPOPROTEIN (A), linked to APOLIPOPROTEIN B-100 on the LDL by one or two disulfide bonds. High plasma level of lipoprotein (a) is associated with increased risk of atherosclerotic cardiovascular disease.",0,0.818,0.0,0.0,0.0,0.0045,0.0865,-0.01,0.001,Lipoprotein A Blood biochemistry,1.21,1707,Lipoprotein A Blood biochemistry < -0.93,0.06,0.06,2
Acetoacetate,C0000988,Acetoacetates,Acetoacetates. Salts and derivatives of acetoacetic acid.,0,0.86,0.0,0.0,0.0,0.004,0.0,-0.025,0.0033,Acetoacetate,1.47,621,Acetoacetate < -1.20,-0.05,-0.05,2
Standing height,C0424645,Standing height,Standing height. ,0,0.981,0.0,0.0,0.0,0.0036,0.2555,-0.005,0.0011,Standing height,1.2,1372,0.74 <= Standing height < 0.96,0.01,0.01,99
