name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,cui_nomenclature,feature_level_min_kg_hits,feature_level_sum_kg_hits,sim_score
(CED) coeliac disease genetic risk,0.45216,0.0,0.247,0.202,26530,0.03648,(CED) coeliac disease genetic risk,5.18,334,6.52,2.70 <= (CED) coeliac disease genetic risk < 3.70,(CED) coeliac disease genetic risk,(CED) coeliac disease genetic risk,0,0,0.0
Alanine aminotransferase,0.18164,0.0,0.07,0.058,26530,0.00478,Alanine aminotransferase,1.32,7036,34.98,Alanine aminotransferase >= 0.18,Alanine aminotransferase,Alanine aminotransferase,0,0,0.0
SHBG,0.15176,0.0,0.055,0.046,26530,0.00062,SHBG,1.49,773,4.33,SHBG >= 2.40,SHBG,SHBG,0,0,0.0
HDL cholesterol Blood biochemistry,0.14589,0.0,-0.089,-0.073,26530,0.00755,HDL cholesterol Blood biochemistry,2.36,522,4.64,-1.90 <= HDL cholesterol Blood biochemistry < -1.60,HDL cholesterol Blood biochemistry,HDL cholesterol Blood biochemistry,0,0,0.0
(T1D) type 1 diabetes genetic risk,0.1176,0.0,0.153,0.125,26530,0.01137,(T1D) type 1 diabetes genetic risk,1.94,2874,21.0,1.20 <= (T1D) type 1 diabetes genetic risk < 2.30,(T1D) type 1 diabetes genetic risk,(T1D) type 1 diabetes genetic risk,0,0,0.0
"Never eat eggs, dairy, wheat, sugar_Wheat products",0.10479,0.0,0.372,0.372,26530,0.03591,"Never eat eggs, dairy, wheat, sugar_Wheat products",6.87,924,23.94,"Never eat eggs, dairy, wheat, sugar_Wheat products >= 0.50","Never eat eggs, dairy, wheat, sugar_Wheat products","Never eat eggs, dairy, wheat, sugar_Wheat products",0,0,0.0
Haemoglobin concentration,0.08794,0.0,-0.063,-0.051,26530,0.00246,Haemoglobin concentration,2.1,404,3.2,-3.60 <= Haemoglobin concentration < -2.20,Haemoglobin concentration,Haemoglobin concentration,0,0,0.0
Cholesterol Blood biochemistry,0.0725,0.0,-0.083,-0.068,26530,0.00306,Cholesterol Blood biochemistry,1.8,715,4.86,Cholesterol Blood biochemistry < -1.90,Cholesterol Blood biochemistry,Cholesterol Blood biochemistry,0,0,0.0
Total bilirubin,0.05569,0.0,-0.056,-0.046,26530,0.00101,Total bilirubin,1.68,1093,6.94,Total bilirubin < -1.00,Total bilirubin,Total bilirubin,0,0,0.0
(MS) multiple sclerosis genetic risk,0.05519,0.00171,0.024,0.02,26530,0.00283,(MS) multiple sclerosis genetic risk,1.08,18388,74.52,-0.57 <= (MS) multiple sclerosis genetic risk < 2.50,(MS) multiple sclerosis genetic risk,(MS) multiple sclerosis genetic risk,0,0,0.0
Abdominal pain,0.05094,0.06804,0.017,0.016,26530,0.00061,Abdominal pain,1.75,1318,8.71,0.51 <= Abdominal pain < 3.30,Abdominal pain,Abdominal pain,0,0,0.0
(SLE) systemic lupus erythematosus genetic risk,0.04088,0.0,0.16,0.131,26530,0.01506,(SLE) systemic lupus erythematosus genetic risk,2.49,1480,13.91,1.60 <= (SLE) systemic lupus erythematosus genetic risk < 2.60,(SLE) systemic lupus erythematosus genetic risk,(SLE) systemic lupus erythematosus genetic risk,0,0,0.0
Apolipoprotein A1,0.03968,0.0,-0.07,-0.061,26530,0.0037,Apolipoprotein A1,2.7,322,3.28,-3.00 <= Apolipoprotein A1 < -2.30,Apolipoprotein A1,Apolipoprotein A1,0,0,0.0
