feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Urate,C0729829,Urate level - finding,Urate level - finding. ,0,0.759,0.0,0.0,0.0,0.8317,0.0,0.214,0.0667,Urate,4.68,1792,2.10 <= Urate < 2.90,0.11,0.11,2,301,25.08
medication allopurinol,C0002144,allopurinol,allopurinol. A XANTHINE OXIDASE inhibitor that decreases URIC ACID production. It also acts as an antimetabolite on some simpler organisms.,0,0.884,0.0,0.0,0.0,0.3242,0.0,0.392,0.0414,Treatment/medication code | Array 0__allopurinol,6.97,3425,Treatment/medication code | Array 0__allopurinol >= 0.50,0.07,0.07,2,14,0.02
Number of self-reported non-cancer illnesses,C2700446,Self-Report,Self-Report. An individual's perspective or subjective interpretation of an event or information.,0,0.411,0.0,0.0,0.0,0.0903,0.0,0.138,0.0101,Number of self-reported non-cancer illnesses,2.36,1149,Number of self-reported non-cancer illnesses >= 3.00,0.08,0.08,2,69,1.28
Hip circumference,,,,0,1.0,0.0,0.0,0.0,0.087,0.0,0.022,0.0023,Hip circumference,1.21,1302,2.80 <= Hip circumference < 4.50,-0.05,-0.05,2,505,1.75
Home area population density - urban or rural Scotland - Large Urban Area,C0178587,density,density. The amount of something per unit size.,0,0.243,0.0,0.0,0.0,0.0849,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.03,0.08,2,648,0.69
Leg fat-free mass,C0023216,Lower Extremity,"Lower Extremity. The region of the lower limb in animals, extending from the gluteal region to the FOOT, and including the BUTTOCKS; HIP; and LEG.",0,0.413,0.0,0.0,0.0,0.0722,0.0,0.038,0.002,Leg fat-free mass (right),1.27,7049,1.40 <= Leg fat-free mass (right) < 3.70,-0.04,-0.04,2,91,0.04
"Long-standing illness, disability or infirmity",C0231170,Disability,Disability. Any physical or mental impairment that interferes with an individual's ability to perform desired activities.,0,0.495,0.0,0.0,0.0,0.0703,0.0,-0.087,0.0038,"Long-standing illness, disability or infirmity_No",1.28,42073,"Long-standing illness, disability or infirmity_No < 0.50",0.0,0.0,2,183,0.07
Alanine aminotransferase,C0001899,Alanine Transaminase,"Alanine Transaminase. An enzyme that catalyzes the conversion of L-alanine and 2-oxoglutarate to pyruvate and L-glutamate. (From Enzyme Nomenclature, 1992) EC 2.6.1.2.",0,0.91,0.0,0.0,0.0,0.062,0.0,0.04,0.0414,Alanine aminotransferase,1.35,2144,Alanine aminotransferase >= 2.60,0.04,0.04,2,214,0.29
Vascular/heart problems diagnosed by doctor None of the above,,,,0,1.0,0.0,0.0,0.0,0.0558,0.0,-0.115,0.0066,Vascular/heart problems diagnosed by doctor_None of the above,1.38,41874,Vascular/heart problems diagnosed by doctor_None of the above < 0.50,-0.02,-0.02,2,505,1.75
gout,C0018099,Gout,"Gout. Metabolic disorder characterized by recurrent acute arthritis, hyperuricemia and deposition of sodium urate in and around the joints, sometimes with formation of URIC ACID calculi.",0,0.708,0.0,0.0,0.0,0.0551,0.0,0.223,0.0132,"Non-cancer illness code, self-reported | Array 1__gout",6.78,1215,"Non-cancer illness code, self-reported | Array 1__gout >= 0.50",0.0,0.0,2,6,0.01
Number of treatments/medications taken,,,,0,1.0,0.0,0.0,0.0,0.0534,0.0,0.136,0.01,Number of treatments/medications taken,2.16,4076,Number of treatments/medications taken >= 2.00,-0.01,-0.01,2,505,1.75
