feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,Novel/Interesting?,Makes Sense?,COMMENTS
"Medication for cholesterol, blood pressure or diabetes Medication_None","Medication for cholesterol, blood pressure or diabetes Medication_None",0.086,0.0,-0.032,0.001,6,1.05,"Medication for cholesterol, blood pressure or diabetes Medication_None < 0.50",18973,oesophagus cancer,0.0,,,
Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0.08,0.0,-0.052,0.002,0,1.04,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,285,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 1 gout","Non-cancer illness code, self-reported | Array 1__gout",0.06,0.0,0.223,0.013,0,6.78,"Non-cancer illness code, self-reported | Array 1__gout >= 0.50",58,oesophagus cancer,0.0,,,
Apolipoprotein A Blood biochemistry,Apolipoprotein A Blood biochemistry,0.054,0.013,-0.012,0.01,2,1.15,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,1135,oesophagus cancer,0.0,,,
Arm fat percentage (left),Arm fat percentage (left),0.047,0.203,0.016,0.004,0,1.18,-0.01 <= Arm fat percentage (left) < 0.61,41,oesophagus cancer,0.0,,,
LDL direct Blood biochemistry,LDL direct Blood biochemistry,0.046,0.0,-0.06,0.03,0,1.34,-2.70 <= LDL direct Blood biochemistry < -1.30,284,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 2 gout","Non-cancer illness code, self-reported | Array 2__gout",0.04,0.0,0.193,0.01,0,6.61,"Non-cancer illness code, self-reported | Array 2__gout >= 0.50",56,oesophagus cancer,0.0,,,
Microalbumin in urine,Microalbumin in urine,0.031,0.0,0.016,0.022,0,2.64,0.85 <= Microalbumin in urine < 7.50,899,oesophagus cancer,0.0,,,
"Long-standing illness, disability or infirmity_Yes","Long-standing illness, disability or infirmity_Yes",0.028,0.0,0.087,0.004,0,1.3,"Long-standing illness, disability or infirmity_Yes >= 0.50",205,oesophagus cancer,0.0,,,
Qualifications_None of the above,Qualifications_None of the above,0.027,0.0,0.032,0.0,0,1.17,Qualifications_None of the above >= 0.50,26,oesophagus cancer,0.0,,,
