feature_name,feature_importance,corr,source-shap,source-KG,source-lit,source-Joint-Shap_Lit,Target
(AD) alzheimer's disease genetic risk,0.0,0.0,0,0,0,1,"GALLSTONES, Cholelithiasis"
(CVD) cardiovascular disease genetic risk,0.0,0.0,0,0,0,1,"GALLSTONES, Cholelithiasis"
(HT) hypertension genetic risk,0.0,0.0,0,0,0,1,"GALLSTONES, Cholelithiasis"
(MS) multiple sclerosis genetic risk,0.02,0.0,0,0,1,1,"GALLSTONES, Cholelithiasis"
(RA) rheumatoid arthritis genetic risk,0.0,0.0,0,0,0,1,"GALLSTONES, Cholelithiasis"
(VTE) venous thromboembolic disease genetic risk,0.0,0.0,0,0,0,1,"GALLSTONES, Cholelithiasis"
Alcohol intake frequency._Daily or almost daily,0.04,0.0,0,1,0,0,"GALLSTONES, Cholelithiasis"
Apolipoprotein A Blood biochemistry,0.05,-0.01,1,1,1,1,"GALLSTONES, Cholelithiasis"
Apolipoprotein B Blood biochemistry,0.04,0.0,0,1,1,1,"GALLSTONES, Cholelithiasis"
Apolipoprotein B to Apolipoprotein A1 ratio,0.0,0.0,0,0,0,1,"GALLSTONES, Cholelithiasis"
Arm fat percentage (left),0.04,0.02,1,1,1,0,"GALLSTONES, Cholelithiasis"
Atrial fibrillation and flutter,0.01,0.0,0,0,1,1,"GALLSTONES, Cholelithiasis"
Congestive heart failure (CHF) NOS,0.0,0.0,0,0,0,1,"GALLSTONES, Cholelithiasis"
Date of all cause dementia report,0.0,0.0,0,0,0,1,"GALLSTONES, Cholelithiasis"
Hip circumference,0.1,0.02,1,1,0,0,"GALLSTONES, Cholelithiasis"
Home area population density - urban or rural_Scotland - Large Urban Area,0.08,-0.05,1,1,1,0,"GALLSTONES, Cholelithiasis"
Home area population density - urban or rural_Scotland - Other Urban Area,0.01,0.0,0,0,1,0,"GALLSTONES, Cholelithiasis"
"Long-standing illness, disability or infirmity_No",0.04,-0.09,1,1,0,0,"GALLSTONES, Cholelithiasis"
"Long-standing illness, disability or infirmity_Yes",0.02,0.0,0,0,1,0,"GALLSTONES, Cholelithiasis"
"Medication for cholesterol, blood pressure or diabetes Medication_None",0.07,-0.03,1,0,0,0,"GALLSTONES, Cholelithiasis"
"Medication for cholesterol, blood pressure or diabetes_None",0.06,-0.03,1,0,0,0,"GALLSTONES, Cholelithiasis"
Microalbumin in urine,0.03,0.0,0,0,1,1,"GALLSTONES, Cholelithiasis"
"Non-cancer illness code, self-reported | Array 1 gout",0.06,0.22,1,1,1,0,"GALLSTONES, Cholelithiasis"
"Non-cancer illness code, self-reported | Array 2 gout",0.04,0.0,0,0,1,0,"GALLSTONES, Cholelithiasis"
"Non-cancer illness code, self-reported | Array 3 gout",0.02,0.0,0,0,1,0,"GALLSTONES, Cholelithiasis"
Number of self-reported non-cancer illnesses,0.09,0.14,1,1,0,0,"GALLSTONES, Cholelithiasis"
Number of treatments/medications taken,0.08,0.14,1,1,0,0,"GALLSTONES, Cholelithiasis"
Pulse wave reflection index,0.0,0.0,0,0,0,1,"GALLSTONES, Cholelithiasis"
Qualifications_None of the above,0.02,0.0,0,0,1,0,"GALLSTONES, Cholelithiasis"
Tea intake,0.02,0.0,0,0,1,1,"GALLSTONES, Cholelithiasis"
Treatment/medication code | Array 0 allopurinol,0.31,0.39,1,1,0,0,"GALLSTONES, Cholelithiasis"
Urate,0.8,0.21,1,1,0,0,"GALLSTONES, Cholelithiasis"
Vascular/heart problems diagnosed by doctor_None of the above,0.04,-0.12,1,1,0,0,"GALLSTONES, Cholelithiasis"
Water intake,0.05,0.06,1,1,0,0,"GALLSTONES, Cholelithiasis"
age,0.05,0.02,1,1,0,0,"GALLSTONES, Cholelithiasis"
had_disease_past,0.01,0.0,0,0,1,0,"GALLSTONES, Cholelithiasis"
