feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Triglycerides Blood biochemistry,C0041004,Triglycerides,Triglycerides. An ester formed from GLYCEROL and three fatty acid groups.,1,0.668,0.0,1.0,0.5,0.0273,0.0017,,0.0035,Triglycerides Blood biochemistry,1.05,11030,-0.50 <= Triglycerides Blood biochemistry < 2.30,0.16,0.16,1,288,0.1
Apolipoprotein A Blood biochemistry,C0003592,Apolipoproteins A,"Apolipoproteins A. Structural proteins of the alpha-lipoproteins (HIGH DENSITY LIPOPROTEINS), including APOLIPOPROTEIN A-I and APOLIPOPROTEIN A-II. They can modulate the activity of LECITHIN CHOLESTEROL ACYLTRANSFERASE. These apolipoproteins are low in atherosclerotic patients. They are either absent or present in extremely low plasma concentration in TANGIER DISEASE.",0,0.809,0.0,0.0,0.0,0.0236,0.0,,0.0059,Apolipoprotein A Blood biochemistry,1.11,3366,Apolipoprotein A Blood biochemistry < -0.84,0.17,0.17,2,184,1.06
Apolipoprotein A1,C0085201,Apolipoprotein A-I,"Apolipoprotein A-I. The most abundant protein component of HIGH DENSITY LIPOPROTEINS or HDL. This protein serves as an acceptor for CHOLESTEROL released from cells thus promoting efflux of cholesterol to HDL then to the LIVER for excretion from the body (reverse cholesterol transport). It also acts as a cofactor for LECITHIN CHOLESTEROL ACYLTRANSFERASE that forms CHOLESTEROL ESTERS on the HDL particles. Mutations of this gene APOA1 cause HDL deficiency, such as in FAMILIAL ALPHA LIPOPROTEIN DEFICIENCY DISEASE and in some patients with TANGIER DISEASE.",0,0.887,0.0,0.0,0.0,0.0202,0.0,,0.0031,Apolipoprotein A1,1.17,2036,-2.70 <= Apolipoprotein A1 < -1.10,0.13,0.13,2,153,0.18
Mental health conditions ever diagnosed by a professional group,,,,0,1.0,0.0,0.0,0.0,0.0198,0.0,,0.0038,Mental health conditions ever diagnosed by a professional__group,1.11,496,0.59 <= Mental health conditions ever diagnosed by a professional__group < 0.62,0.08,0.08,2,80,0.28
Alanine aminotransferase,C0001899,Alanine Transaminase,"Alanine Transaminase. An enzyme that catalyzes the conversion of L-alanine and 2-oxoglutarate to pyruvate and L-glutamate. (From Enzyme Nomenclature, 1992) EC 2.6.1.2.",0,0.91,0.0,0.0,0.0,0.0193,0.0,,0.0028,Alanine aminotransferase,1.38,276,2.80 <= Alanine aminotransferase < 7.60,0.04,0.04,2,150,0.2
Alcohol intake frequency. Special occasions only,C0001948,Alcohol consumption,"Alcohol consumption. Behaviors associated with the ingesting of ALCOHOLIC BEVERAGES, including social drinking.",1,0.58,1.0,1.0,1.0,0.0179,0.0,,0.001,Alcohol intake frequency._Special occasions only,1.17,2724,Alcohol intake frequency._Special occasions only >= 0.50,0.02,0.1,1,0,0.0
Alcohol intake frequency. Daily or almost daily,C0001948,Alcohol consumption,"Alcohol consumption. Behaviors associated with the ingesting of ALCOHOLIC BEVERAGES, including social drinking.",1,0.644,0.0,1.0,0.5,0.0171,0.0,,0.0006,Alcohol intake frequency._Daily or almost daily,1.03,14626,Alcohol intake frequency._Daily or almost daily < 0.50,-0.0,0.12,1,0,0.0
Overall health rating Excellent,C1548784,Excellent - Specimen Quality,Excellent - Specimen Quality. ,0,0.34,0.0,0.0,0.0,0.0155,0.0,,0.0031,Overall health rating_Excellent,1.03,15786,Overall health rating_Excellent < 0.50,-0.02,-0.02,99,22,inf
Arm fat percentage,,,,0,1.0,0.0,0.0,0.0,0.0142,0.0,,0.001,Arm fat percentage (left),1.16,931,Arm fat percentage (left) >= 1.60,0.07,0.07,2,80,0.28
Nonspecific chest pain,C0008031,Chest Pain,"Chest Pain. Pressure, burning, or numbness in the chest.",0,0.793,0.0,0.0,0.0,0.0138,0.0286,,0.0,Nonspecific chest pain,1.39,370,1.30 <= Nonspecific chest pain < 3.50,0.2,0.2,2,135,0.23
Frequency of tiredness / lethargy in last 2 weeks Not at all,C0015672,Fatigue,"Fatigue. The state of weariness following a period of exertion, mental or physical, characterized by a decreased capacity for work and reduced efficiency to respond to stimuli.",0,0.544,0.0,0.0,0.0,0.0124,0.0,,0.0008,Frequency of tiredness / lethargy in last 2 weeks_Not at all,1.05,10601,Frequency of tiredness / lethargy in last 2 weeks_Not at all < 0.50,-0.09,-0.09,2,299,0.14
Overall health rating Good,,,,0,1.0,0.0,0.0,0.0,0.0115,0.0,,0.0037,Overall health rating_Good,1.06,8057,Overall health rating_Good < 0.50,-0.01,-0.01,2,80,0.28
Overall health rating Fair,C1547189,Fair Language Proficiency,Fair Language Proficiency. ,0,0.398,0.0,0.0,0.0,0.0104,0.0,,0.0065,Overall health rating_Fair,1.12,4721,Overall health rating_Fair >= 0.50,-0.02,-0.02,99,0,0.0
Other serious medical condition/disability diagnosed by doctor,,,,0,1.0,0.0,0.0,0.0,0.0097,0.0,,0.0045,Other serious medical condition/disability diagnosed by doctor_No,1.12,4858,Other serious medical condition/disability diagnosed by doctor_No < 0.50,0.18,0.18,2,80,0.28
Oily fish intake 2-4 times a week,C0453017,Fatty fish,Fatty fish. ,0,0.568,0.0,0.0,0.0,0.0094,0.0,,0.0,Oily fish intake_2-4 times a week,1.02,14658,Oily fish intake_2-4 times a week < 0.50,0.08,0.08,2,0,0.0
Chest pain or discomfort,C0008031,Chest Pain,"Chest Pain. Pressure, burning, or numbness in the chest.",0,0.894,0.0,0.0,0.0,0.0089,0.0,,0.0018,Chest pain or discomfort_No,1.13,3744,Chest pain or discomfort_No < 0.50,0.17,0.17,2,135,0.23
Wheeze or whistling in the chest in last year,C0043144,Wheezing,"Wheezing. A symptom and a finding during physical examination, characterized by a high-pitched, whistling sound during breathing. It results from the narrowing or obstruction of the respiratory airways. The most common causes of wheezing are asthma, chronic obstructive pulmonary disease, tracheobronchitis, and pulmonary edema.",0,0.716,0.0,0.0,0.0,0.0089,0.0,,0.0067,Wheeze or whistling in the chest in last year_No,1.09,4923,Wheeze or whistling in the chest in last year_No < 0.50,0.16,0.16,2,138,0.29
Sleep - Overall average,C0037313,Sleep,"Sleep. A readily reversible suspension of sensorimotor interaction with the environment, usually associated with recumbency and immobility.",0,0.635,0.0,0.0,0.0,0.0088,0.3533,,0.0026,Sleep - Overall average,1.01,16432,-0.71 <= Sleep - Overall average < 12.00,-0.07,-0.07,2,0,0.0
Overall health rating Poor,,,,0,1.0,0.0,0.0,0.0,0.0087,0.0,,0.0032,Overall health rating_Poor,1.28,1298,Overall health rating_Poor >= 0.50,-0.05,-0.05,2,80,0.28
Average Diameter for HDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.455,0.0,0.0,0.0,0.0085,0.0,,0.0079,Average Diameter for HDL Particles,1.21,839,-1.80 <= Average Diameter for HDL Particles < -0.87,0.05,0.06,2,138,0.77
"Long-standing illness, disability or infirmity",C0231170,Disability,Disability. Any physical or mental impairment that interferes with an individual's ability to perform desired activities.,0,0.495,0.0,0.0,0.0,0.0081,0.0,,0.0025,"Long-standing illness, disability or infirmity_No",1.09,7721,"Long-standing illness, disability or infirmity_No < 0.50",0.14,0.14,2,307,0.11
GERD,C0017168,Gastroesophageal reflux disease,"Gastroesophageal reflux disease. Retrograde flow of gastric juice (GASTRIC ACID) and/or duodenal contents (BILE ACIDS; PANCREATIC JUICE) into the distal ESOPHAGUS, commonly due to incompetence of the LOWER ESOPHAGEAL SPHINCTER.",1,0.415,1.0,1.0,1.0,0.0079,0.6005,,0.0008,GERD,1.3,344,GERD >= 2.60,0.26,0.26,1,38,0.03
(AD) alzheimer's disease genetic risk,C0002395,Alzheimer's Disease,"Alzheimer's Disease. A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)",0,0.675,0.0,0.0,0.0,0.0076,0.155,,0.0068,(AD) alzheimer's disease genetic risk,1.02,11443,(AD) alzheimer's disease genetic risk < 0.20,0.19,0.2,2,0,0.0
Mouth/teeth dental problems Dentures,C0576962,Tooth problem,Tooth problem. ,0,0.619,0.0,0.0,0.0,0.0075,0.0,,0.0,Mouth/teeth dental problems_Dentures,1.11,2817,Mouth/teeth dental problems_Dentures >= 0.50,0.15,0.15,2,0,0.0
Oily fish intake Less than once a week,C0453017,Fatty fish,Fatty fish. ,0,0.509,0.0,0.0,0.0,0.0072,0.0093,,0.0022,Oily fish intake_Less than once a week,1.04,5644,Oily fish intake_Less than once a week >= 0.50,0.07,0.07,2,0,0.0
Fluid intelligence score,,,,0,1.0,0.0,0.0,0.0,0.0069,0.0201,,0.0031,Fluid intelligence score,1.02,14393,-2.70 <= Fluid intelligence score < 0.09,-0.01,-0.01,2,80,0.28
Meat substitutes - soy,C1697820,soy - non-drug agent,soy - non-drug agent. ,0,0.889,0.0,0.0,0.0,0.0068,0.5611,,0.0011,Meat substitutes - soy,1.02,15435,Meat substitutes - soy >= -0.07,-0.07,-0.07,99,208,inf
dietary changes in the last 5 years,C0012155,Diet,Diet. Regular course of eating and drinking adopted by a person or animal.,1,0.401,0.0,1.0,0.3,0.0066,0.0,,0.003,Major dietary changes in the last 5 years_No,1.06,8015,Major dietary changes in the last 5 years_No < 0.50,0.09,0.09,1,234,0.17
Job code at visit managers,,,,0,1.0,0.0,0.0,0.0,0.0062,0.0013,,0.0,Job code at visit__managers,1.01,16254,Job code at visit__managers < 0.10,-0.05,-0.05,2,80,0.28
Nausea and vomiting,C0027497,Nausea,"Nausea. An unpleasant sensation in the stomach usually accompanied by the urge to vomit. Common causes are early pregnancy, sea and motion sickness, emotional stress, intense pain, food poisoning, and various enteroviruses.",0,0.785,0.0,0.0,0.0,0.0056,0.0259,,0.0002,Nausea and vomiting,0.99,17048,-2.10 <= Nausea and vomiting < 0.74,0.28,0.28,2,94,0.09
Other serious medical condition/disability diagnosed by doctor Yes - you will be asked about this later by an interviewer,C0021821,Interviewers,Interviewers. The person who manages an interview and asks the questions.,0,0.228,0.0,0.0,0.0,0.005,0.0,,0.0035,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,1.13,4391,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer >= 0.50,0.18,0.18,2,23,0.31
(IOP) intraocular pressure genetic risk,C0021888,Physiologic Intraocular Pressure,Physiologic Intraocular Pressure. The pressure of the fluids in the eye.,0,0.55,0.0,0.0,0.0,0.0048,0.2286,,0.0063,(IOP) intraocular pressure genetic risk,1.19,442,-1.90 <= (IOP) intraocular pressure genetic risk < -1.60,0.05,0.11,2,86,2.46
Frequency of tiredness / lethargy in last 2 weeks Nearly every day,C0015672,Fatigue,"Fatigue. The state of weariness following a period of exertion, mental or physical, characterized by a decreased capacity for work and reduced efficiency to respond to stimuli.",0,0.563,0.0,0.0,0.0,0.0047,0.0,,0.0085,Frequency of tiredness / lethargy in last 2 weeks_Nearly every day,1.21,1511,Frequency of tiredness / lethargy in last 2 weeks_Nearly every day >= 0.50,-0.06,-0.06,2,299,0.14
