feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
Apolipoprotein A Blood biochemistry,C0003592,Apolipoproteins A,"Apolipoproteins A. Structural proteins of the alpha-lipoproteins (HIGH DENSITY LIPOPROTEINS), including APOLIPOPROTEIN A-I and APOLIPOPROTEIN A-II. They can modulate the activity of LECITHIN CHOLESTEROL ACYLTRANSFERASE. These apolipoproteins are low in atherosclerotic patients. They are either absent or present in extremely low plasma concentration in TANGIER DISEASE.",0,0.809,0.0,0.0,0.0,0.048,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,0.17,0.17,2
Apolipoprotein B Blood biochemistry,C0003593,Apolipoproteins B,"Apolipoproteins B. Major structural proteins of triacylglycerol-rich LIPOPROTEINS. There are two forms, apolipoprotein B-100 and apolipoprotein B-48, both derived from a single gene. ApoB-100 expressed in the liver is found in low-density lipoproteins (LIPOPROTEINS, LDL; LIPOPROTEINS, VLDL). ApoB-48 expressed in the intestine is found in CHYLOMICRONS. They are important in the biosynthesis, transport, and metabolism of triacylglycerol-rich lipoproteins. Plasma Apo-B levels are high in atherosclerotic patients but non-detectable in ABETALIPOPROTEINEMIA.",1,0.745,0.0,1.0,0.3,0.0393,0.0,-0.036,0.0098,Apolipoprotein B Blood biochemistry,1.43,1791,-1.60 <= Apolipoprotein B Blood biochemistry < -1.50,0.2,0.22,1
Microalbumin in urine,C2362049,Microalbumin,"Microalbumin. Albumin protein in urine samples, which is a marker for kidney dysfunction. Persistently elevated concentrations of albumin in the urine can be diagnostic for kidney damage caused by diabetes, high blood pressure, heart failure, cirrhosis, or lupus.",0,0.856,0.0,0.0,0.0,0.0284,0.0,0.016,0.0218,Microalbumin in urine,2.64,1415,0.85 <= Microalbumin in urine < 7.50,0.06,0.06,2
Tea intake,C0039400,Tea,"Tea. The infusion of leaves of CAMELLIA SINENSIS (formerly Thea sinensis) as a beverage, the familiar Asian tea, which contains CATECHIN (especially epigallocatechin gallate) and CAFFEINE.",0,0.545,0.0,0.0,0.0,0.0206,0.0,-0.019,0.0006,Tea intake,1.09,34107,-1.00 <= Tea intake < 0.09,0.07,0.08,2
(MS) multiple sclerosis genetic risk,C0026221,Mississippi (geographic location),"Mississippi (geographic location). State bounded on the north by Tennessee, on the east by Alabama, on the south by Louisiana and Gulf of Mexico, and on the west by Arkansas and Louisiana.",0,0.234,0.0,0.0,0.0,0.019,0.0011,0.011,0.3067,(MS) multiple sclerosis genetic risk,1.18,2699,(MS) multiple sclerosis genetic risk >= 2.10,0.08,0.1,99
Atrial fibrillation and flutter,C0004238,Atrial Fibrillation,"Atrial Fibrillation. Abnormal cardiac rhythm that is characterized by rapid, uncoordinated firing of electrical impulses in the upper chambers of the heart (HEART ATRIA). In such case, blood cannot be effectively pumped into the lower chambers of the heart (HEART VENTRICLES). It is caused by abnormal impulse generation.",1,0.828,0.0,1.0,0.2,0.0121,0.1973,-0.001,0.002,Atrial fibrillation and flutter,2.0,1394,-5.10 <= Atrial fibrillation and flutter < -1.20,-0.05,0.19,1
(CVD) cardiovascular disease genetic risk,C0007222,Cardiovascular Diseases,Cardiovascular Diseases. Pathological conditions involving the CARDIOVASCULAR SYSTEM including the HEART; the BLOOD VESSELS; or the PERICARDIUM.,1,0.511,0.0,1.0,0.3,0.0086,0.0,0.028,0.3075,(CVD) cardiovascular disease genetic risk,1.09,30971,0.38 <= (CVD) cardiovascular disease genetic risk < 3.00,0.11,0.16,1
Congestive heart failure (CHF) NOS,C0018802,Congestive heart failure,"Congestive heart failure. Heart failure accompanied by EDEMA, such as swelling of the legs and ankles and congestion in the lungs.",0,0.712,0.0,0.0,0.0,0.0079,0.07,0.007,0.0016,Congestive heart failure (CHF) NOS,0.98,90159,-0.20 <= Congestive heart failure (CHF) NOS < 0.76,0.11,0.16,2
(RA) rheumatoid arthritis genetic risk,C0003873,Rheumatoid Arthritis,"Rheumatoid Arthritis. A chronic systemic disease, primarily of the joints, marked by inflammatory changes in the synovial membranes and articular structures, widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, and by atrophy and rarefaction of bony structures. Etiology is unknown, but autoimmune mechanisms have been implicated.",1,0.659,0.0,1.0,0.3,0.0076,0.1424,0.003,0.3073,(RA) rheumatoid arthritis genetic risk,1.09,6905,1.50 <= (RA) rheumatoid arthritis genetic risk < 3.70,0.11,0.13,1
(HT) hypertension genetic risk,C0677607,Hashimoto Disease,Hashimoto Disease. An autoimmune disorder caused by the production of autoantibodies against thyroid tissue. There is progressive destruction of the thyroid follicles leading to hypothyroidism.,0,0.258,0.0,1.0,0.2,0.0076,0.0,0.035,0.3074,(HT) hypertension genetic risk,1.23,10112,(HT) hypertension genetic risk >= 1.20,0.04,0.08,2
Date of all cause dementia report,C0015127,Etiology aspects,Etiology aspects. Used with diseases for causative agents including microorganisms and includes environmental and social factors and personal habits as contributing factors. It includes pathogenesis.,0,0.161,0.0,0.0,0.0,0.0075,0.0,-0.023,0.0019,Date of all cause dementia report,1.0,91105,-5.20 <= Date of all cause dementia report < 1.10,0.17,0.17,99
