feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Leg fat-free mass,C0023216,Lower Extremity,"Lower Extremity. The region of the lower limb in animals, extending from the gluteal region to the FOOT, and including the BUTTOCKS; HIP; and LEG.",1,0.413,0.0,1.0,0.5,0.1054,0.0,0.038,0.002,Leg fat-free mass (right),1.27,7049,1.40 <= Leg fat-free mass (right) < 3.70,-0.02,-0.02,1,212,0.09
Number of treatments/medications taken,,,,0,1.0,0.0,0.0,0.0,0.0925,0.0,0.136,0.01,Number of treatments/medications taken,2.16,4076,Number of treatments/medications taken >= 2.00,-0.02,-0.02,2,405,1.4
Hip circumference,,,,0,1.0,0.0,0.0,0.0,0.0908,0.0,0.022,0.0023,Hip circumference,1.21,1302,2.80 <= Hip circumference < 4.50,0.08,0.09,2,405,1.4
Home area population density - urban or rural Scotland - Large Urban Area,C0178587,density,density. The amount of something per unit size.,0,0.243,0.0,0.0,0.0,0.0908,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.06,0.01,2,547,0.58
Number of self-reported non-cancer illnesses,C2700446,Self-Report,Self-Report. An individual's perspective or subjective interpretation of an event or information.,0,0.411,0.0,0.0,0.0,0.0655,0.0,0.138,0.0101,Number of self-reported non-cancer illnesses,2.36,1149,Number of self-reported non-cancer illnesses >= 3.00,0.1,0.1,2,0,0.0
Apolipoprotein B Blood biochemistry,C0003593,Apolipoproteins B,"Apolipoproteins B. Major structural proteins of triacylglycerol-rich LIPOPROTEINS. There are two forms, apolipoprotein B-100 and apolipoprotein B-48, both derived from a single gene. ApoB-100 expressed in the liver is found in low-density lipoproteins (LIPOPROTEINS, LDL; LIPOPROTEINS, VLDL). ApoB-48 expressed in the intestine is found in CHYLOMICRONS. They are important in the biosynthesis, transport, and metabolism of triacylglycerol-rich lipoproteins. Plasma Apo-B levels are high in atherosclerotic patients but non-detectable in ABETALIPOPROTEINEMIA.",0,0.745,0.0,0.0,0.0,0.056,0.0,-0.036,0.0098,Apolipoprotein B Blood biochemistry,1.43,1791,-1.60 <= Apolipoprotein B Blood biochemistry < -1.50,0.12,0.12,2,0,0.0
Apolipoprotein A Blood biochemistry,C0003592,Apolipoproteins A,"Apolipoproteins A. Structural proteins of the alpha-lipoproteins (HIGH DENSITY LIPOPROTEINS), including APOLIPOPROTEIN A-I and APOLIPOPROTEIN A-II. They can modulate the activity of LECITHIN CHOLESTEROL ACYLTRANSFERASE. These apolipoproteins are low in atherosclerotic patients. They are either absent or present in extremely low plasma concentration in TANGIER DISEASE.",0,0.809,0.0,0.0,0.0,0.0534,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,0.12,0.12,2,233,1.35
Water intake,C0013123,Water consumption,Water consumption. A measurement of a subject's water intake.,1,0.816,1.0,1.0,1.0,0.0524,0.0,0.056,0.0019,Water intake,1.33,8123,1.30 <= Water intake < 9.70,0.08,0.08,1,91,0.12
Standing height,C0424645,Standing height,Standing height. ,0,0.981,0.0,0.0,0.0,0.0513,0.0,0.013,0.0024,Standing height,1.05,33964,0.24 <= Standing height < 1.50,-0.02,-0.02,99,76,inf
Urea,C0041942,urea,urea. A compound formed in the liver from ammonia produced by the deamination of amino acids. It is the principal end product of protein catabolism and constitutes about one half of the total urinary solids.,1,0.778,1.0,1.0,1.0,0.0407,0.0,0.092,0.0172,Urea,2.39,1761,1.90 <= Urea < 2.70,0.34,0.34,1,0,0.0
Alcohol intake frequency. Daily or almost daily,C0001948,Alcohol consumption,"Alcohol consumption. Behaviors associated with the ingesting of ALCOHOLIC BEVERAGES, including social drinking.",1,0.644,0.0,1.0,0.5,0.0395,0.0,0.057,0.0015,Alcohol intake frequency._Daily or almost daily,1.31,21296,Alcohol intake frequency._Daily or almost daily >= 0.50,0.02,0.02,1,0,0.0
"Long-standing illness, disability or infirmity",,,,0,1.0,0.0,0.0,0.0,0.0376,0.0,0.087,0.0038,"Long-standing illness, disability or infirmity_Yes",1.3,39404,"Long-standing illness, disability or infirmity_Yes >= 0.50",0.14,0.14,2,405,1.4
Haematocrit percentage,,,,0,1.0,0.0,0.0,0.0,0.0368,0.0,-0.012,0.0143,Haematocrit percentage,1.94,919,Haematocrit percentage < -2.60,0.12,0.12,2,405,1.4
Microalbumin in urine,C2362049,Microalbumin,"Microalbumin. Albumin protein in urine samples, which is a marker for kidney dysfunction. Persistently elevated concentrations of albumin in the urine can be diagnostic for kidney damage caused by diabetes, high blood pressure, heart failure, cirrhosis, or lupus.",0,0.856,0.0,0.0,0.0,0.0338,0.0,0.016,0.0218,Microalbumin in urine,2.64,1415,0.85 <= Microalbumin in urine < 7.50,0.15,0.15,2,0,0.0
Age high blood pressure diagnosed,C0001779,Age,Age. How long something has existed; elapsed time since birth.,1,0.375,1.0,1.0,1.0,0.0329,0.0,-0.112,0.0061,Age high blood pressure diagnosed_None,1.41,36638,Age high blood pressure diagnosed_None < 0.50,0.02,0.19,1,20,0.01
Vascular/heart problems diagnosed by doctor None of the above,,,,0,1.0,0.0,0.0,0.0,0.0255,0.0,-0.115,0.0066,Vascular/heart problems diagnosed by doctor_None of the above,1.38,41874,Vascular/heart problems diagnosed by doctor_None of the above < 0.50,0.08,0.08,2,405,1.4
Tea intake,C0039400,Tea,"Tea. The infusion of leaves of CAMELLIA SINENSIS (formerly Thea sinensis) as a beverage, the familiar Asian tea, which contains CATECHIN (especially epigallocatechin gallate) and CAFFEINE.",1,0.545,0.0,1.0,0.3,0.0252,0.0,-0.019,0.0006,Tea intake,1.09,34107,-1.00 <= Tea intake < 0.09,0.02,0.02,1,129,0.52
(MS) multiple sclerosis genetic risk,C0026221,Mississippi (geographic location),"Mississippi (geographic location). State bounded on the north by Tennessee, on the east by Alabama, on the south by Louisiana and Gulf of Mexico, and on the west by Arkansas and Louisiana.",0,0.234,0.0,0.0,0.0,0.025,0.0011,0.011,0.3067,(MS) multiple sclerosis genetic risk,1.18,2699,(MS) multiple sclerosis genetic risk >= 2.10,-0.03,0.09,99,56,inf
Z92.1 - Personal history of long-term (current) use of anticoagulants,C0262926,Medical History,"Medical History. A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies.",1,0.399,0.0,1.0,0.3,0.0211,0.0112,0.001,0.0017,Z92.1 - Personal history of long-term (current) use of anticoagulants,1.66,2685,Z92.1 - Personal history of long-term (current) use of anticoagulants >= 1.30,0.09,0.1,1,0,0.0
Mental health conditions ever diagnosed by a professional group,,,,0,1.0,0.0,0.0,0.0,0.0211,0.0,-0.038,0.0022,Mental health conditions ever diagnosed by a professional__group,1.07,66419,Mental health conditions ever diagnosed by a professional__group < 0.01,0.06,0.06,2,405,1.4
