feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
Weight (p21002),C0005910,Body Weight,Body Weight. The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.,0,0.481,0.0,0.0,0.0,0.1297,0.0,0.044,0.0075,Weight (p21002),1.29,9277,1.20 <= Weight (p21002) < 3.80,0.07,0.07,2
LDL direct Blood biochemistry,C0023823,Low-Density Lipoproteins,"Low-Density Lipoproteins. A class of lipoproteins of small size (18-25 nm) and light (1.019-1.063 g/ml) particles with a core composed mainly of CHOLESTEROL ESTERS and smaller amounts of TRIGLYCERIDES. The surface monolayer consists mostly of PHOSPHOLIPIDS, a single copy of APOLIPOPROTEIN B-100, and free cholesterol molecules. The main LDL function is to transport cholesterol and cholesterol esters to extrahepatic tissues.",0,0.715,0.0,0.0,0.0,0.0556,0.0,-0.06,0.0297,LDL direct Blood biochemistry,1.34,9470,-2.70 <= LDL direct Blood biochemistry < -1.30,-0.04,-0.04,2
Standing height,C0424645,Standing height,Standing height. ,0,0.981,0.0,0.0,0.0,0.0483,0.0,0.013,0.0024,Standing height,1.05,33964,0.24 <= Standing height < 1.50,-0.02,-0.02,99
Apolipoprotein A Blood biochemistry,C0003592,Apolipoproteins A,"Apolipoproteins A. Structural proteins of the alpha-lipoproteins (HIGH DENSITY LIPOPROTEINS), including APOLIPOPROTEIN A-I and APOLIPOPROTEIN A-II. They can modulate the activity of LECITHIN CHOLESTEROL ACYLTRANSFERASE. These apolipoproteins are low in atherosclerotic patients. They are either absent or present in extremely low plasma concentration in TANGIER DISEASE.",0,0.809,0.0,0.0,0.0,0.0429,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,0.12,0.12,2
Microalbumin in urine,C2362049,Microalbumin,"Microalbumin. Albumin protein in urine samples, which is a marker for kidney dysfunction. Persistently elevated concentrations of albumin in the urine can be diagnostic for kidney damage caused by diabetes, high blood pressure, heart failure, cirrhosis, or lupus.",0,0.856,0.0,0.0,0.0,0.0319,0.0,0.016,0.0218,Microalbumin in urine,2.64,1415,0.85 <= Microalbumin in urine < 7.50,0.15,0.15,2
(MS) multiple sclerosis genetic risk,C0026221,Mississippi (geographic location),"Mississippi (geographic location). State bounded on the north by Tennessee, on the east by Alabama, on the south by Louisiana and Gulf of Mexico, and on the west by Arkansas and Louisiana.",0,0.234,0.0,0.0,0.0,0.0214,0.0011,0.011,0.3067,(MS) multiple sclerosis genetic risk,1.18,2699,(MS) multiple sclerosis genetic risk >= 2.10,-0.03,0.09,99
(HDL) high density lipoprotein cholesterol genetic risk,C0023821,High Density Lipoproteins,"High Density Lipoproteins. A class of lipoproteins of small size (4-13 nm) and dense (greater than 1.063 g/ml) particles. HDL lipoproteins, synthesized in the liver without a lipid core, accumulate cholesterol esters from peripheral tissues and transport them to the liver for re-utilization or elimination from the body (the reverse cholesterol transport). Their major protein component is APOLIPOPROTEIN A-I. HDL also shuttle APOLIPOPROTEINS C and APOLIPOPROTEINS E to and from triglyceride-rich lipoproteins during their catabolism. HDL plasma level has been inversely correlated with the risk of cardiovascular diseases.",1,0.479,0.0,1.0,0.2,0.016,0.0,-0.021,0.307,(HDL) high density lipoprotein cholesterol genetic risk,1.15,7182,(HDL) high density lipoprotein cholesterol genetic risk < -1.40,0.09,0.1,1
SHBG,C0036883,Sex Hormone-Binding Globulin,"Sex Hormone-Binding Globulin. A glycoprotein migrating as a beta-globulin. Its molecular weight, 52,000 or 95,000-115,000, indicates that it exists as a dimer. The protein binds testosterone, dihydrotestosterone, and estradiol in the plasma. Sex hormone-binding protein has the same amino acid sequence as ANDROGEN-BINDING PROTEIN. They differ by their sites of synthesis and post-translational oligosaccharide modifications.",0,0.45,0.0,0.0,0.0,0.0089,0.0,-0.071,0.0511,SHBG,1.68,2712,SHBG < -1.40,0.02,0.02,2
Date of all cause dementia report,C0015127,Etiology aspects,Etiology aspects. Used with diseases for causative agents including microorganisms and includes environmental and social factors and personal habits as contributing factors. It includes pathogenesis.,0,0.161,0.0,1.0,0.3,0.0083,0.0,-0.023,0.0019,Date of all cause dementia report,1.0,91105,-5.20 <= Date of all cause dementia report < 1.10,0.07,0.07,99
Congestive heart failure (CHF) NOS,C0018802,Congestive heart failure,"Congestive heart failure. Heart failure accompanied by EDEMA, such as swelling of the legs and ankles and congestion in the lungs.",1,0.712,1.0,1.0,1.0,0.0082,0.07,0.007,0.0016,Congestive heart failure (CHF) NOS,0.98,90159,-0.20 <= Congestive heart failure (CHF) NOS < 0.76,0.07,0.13,1
Acetone,C0001002,acetone,acetone. A colorless liquid used as a solvent and an antiseptic. It is one of the ketone bodies produced during ketoacidosis.,0,0.864,0.0,0.0,0.0,0.0081,0.0,0.024,0.0816,Acetone,1.36,2195,2.40 <= Acetone < 10.00,-0.0,-0.0,2
Neuroticism score,,,,0,1.0,0.0,0.0,0.0,0.007,0.2536,0.003,0.0001,Neuroticism score,1.13,6228,0.23 <= Neuroticism score < 0.58,-0.02,-0.02,2
Pulse wave reflection index,,,,0,1.0,0.0,0.0,0.0,0.006,0.6607,-0.001,0.0009,Pulse wave reflection index,1.07,4830,-2.20 <= Pulse wave reflection index < -0.67,-0.08,-0.03,2
3-Hydroxybutyrate,C0106006,3-Hydroxybutyrate,3-Hydroxybutyrate. A hydroxy fatty acid anion and ketone body synthesized in the liver from acetyl-Coenzyme A (acetyl-CoA) by the enzyme 3-hydroxybutyrate dehydrogenase. 3-hydroxybutyrate can be used as an energy source when glucose levels drop. Elevated urine and serum levels of 3-hydroxybutyrate are seen in ketosis and ketoacidosis.,0,0.767,0.0,0.0,0.0,0.0054,0.0,0.023,0.1431,3-Hydroxybutyrate,1.11,14658,-0.49 <= 3-Hydroxybutyrate < -0.02,0.08,0.08,2
Mean platelet (thrombocyte) volume,C0005821,Blood Platelets,Blood Platelets. Non-nucleated disk-shaped cells formed in the megakaryocyte and found in the blood of all mammals. They are mainly involved in blood coagulation.,0,0.534,0.0,0.0,0.0,0.0043,0.0009,0.009,0.0046,Mean platelet (thrombocyte) volume,1.17,2852,0.86 <= Mean platelet (thrombocyte) volume < 1.00,-0.06,-0.06,2
Concentration of Very Large VLDL Particles,C0023825,Very low density lipoprotein,"Very low density lipoprotein. A class of lipoproteins of very light (0.93-1.006 g/ml) large size (30-80 nm) particles with a core composed mainly of TRIGLYCERIDES and a surface monolayer of PHOSPHOLIPIDS and CHOLESTEROL into which are imbedded the apolipoproteins B, E, and C. VLDL facilitates the transport of endogenously made triglycerides to extrahepatic tissues. As triglycerides and Apo C are removed, VLDL is converted to INTERMEDIATE-DENSITY LIPOPROTEINS, then to LOW-DENSITY LIPOPROTEINS from which cholesterol is delivered to the extrahepatic tissues.",0,0.631,0.0,0.0,0.0,0.0041,0.0,0.029,0.0705,Concentration of Very Large VLDL Particles,1.4,2817,2.10 <= Concentration of Very Large VLDL Particles < 5.40,-0.1,-0.1,2
