name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,cui_nomenclature,feature_level_min_kg_hits,feature_level_sum_kg_hits,sim_score
Urate,0.82337,0.0,0.214,0.175,1,0.0667,Urate,4.68,1792,9.15,2.10 <= Urate < 2.90,Urate,Urate,0,0,0.0
Treatment/medication code | Array 0 allopurinol,0.31406,0.0,0.392,0.392,1,0.04136,Treatment/medication code | Array 0__allopurinol,6.97,3425,26.06,Treatment/medication code | Array 0__allopurinol >= 0.50,Treatment/medication code | Array 0 allopurinol,Treatment/medication code | Array 0 allopurinol,0,0,0.0
Weight (p21002),0.12974,0.0,0.044,0.036,1,0.00746,Weight (p21002),1.29,9277,13.05,1.20 <= Weight (p21002) < 3.80,Weight (p21002),Weight (p21002),0,0,0.0
Number of self-reported non-cancer illnesses,0.09375,0.0,0.138,0.121,1,0.0101,Number of self-reported non-cancer illnesses,2.36,1149,2.96,Number of self-reported non-cancer illnesses >= 3.00,Number of self-reported non-cancer illnesses,Number of self-reported non-cancer illnesses,0,0,0.0
Home area population density - urban or rural_Scotland - Large Urban Area,0.08124,0.0,-0.052,-0.052,1,0.00179,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,98.46,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0,0,0.0
Number of treatments/medications taken,0.07439,0.0,0.136,0.118,1,0.01001,Number of treatments/medications taken,2.16,4076,9.62,Number of treatments/medications taken >= 2.00,Number of treatments/medications taken,Number of treatments/medications taken,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes Medication_None",0.06305,0.0,-0.032,-0.032,1,0.00052,"Medication for cholesterol, blood pressure or diabetes Medication_None",1.05,71609,82.11,"Medication for cholesterol, blood pressure or diabetes Medication_None < 0.50","Medication for cholesterol, blood pressure or diabetes Medication_None","Medication for cholesterol, blood pressure or diabetes Medication_None",0,0,0.0
"Non-cancer illness code, self-reported | Array 1 gout",0.06158,0.0,0.223,0.223,1,0.01317,"Non-cancer illness code, self-reported | Array 1__gout",6.78,1215,9.0,"Non-cancer illness code, self-reported | Array 1__gout >= 0.50","Non-cancer illness code, self-reported | Array 1 gout","Non-cancer illness code, self-reported | Array 1 gout",0,0,0.0
Water intake,0.05681,0.0,0.056,0.049,1,0.00186,Water intake,1.33,8123,11.8,1.30 <= Water intake < 9.70,Water intake,Water intake,0,0,0.0
LDL direct Blood biochemistry,0.05564,0.0,-0.06,-0.049,1,0.02966,LDL direct Blood biochemistry,1.34,9470,13.9,-2.70 <= LDL direct Blood biochemistry < -1.30,LDL direct Blood biochemistry,LDL direct Blood biochemistry,0,0,0.0
"Long-standing illness, disability or infirmity_No",0.05089,0.0,-0.087,-0.087,1,0.00378,"Long-standing illness, disability or infirmity_No",1.28,42073,58.95,"Long-standing illness, disability or infirmity_No < 0.50","Long-standing illness, disability or infirmity_No","Long-standing illness, disability or infirmity_No",0,0,0.0
Standing height,0.04832,2e-05,0.013,0.011,1,0.0024,Standing height,1.05,33964,38.97,0.24 <= Standing height < 1.50,Standing height,Standing height,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes_None",0.04446,0.0,-0.032,-0.032,1,0.00052,"Medication for cholesterol, blood pressure or diabetes_None",1.05,71609,82.11,"Medication for cholesterol, blood pressure or diabetes_None < 0.50","Medication for cholesterol, blood pressure or diabetes_None","Medication for cholesterol, blood pressure or diabetes_None",0,0,0.0
Vascular/heart problems diagnosed by doctor_None of the above,0.04383,0.0,-0.115,-0.115,1,0.0066,Vascular/heart problems diagnosed by doctor_None of the above,1.38,41874,62.89,Vascular/heart problems diagnosed by doctor_None of the above < 0.50,Vascular/heart problems diagnosed by doctor_None of the above,Vascular/heart problems diagnosed by doctor_None of the above,0,0,0.0
Apolipoprotein A Blood biochemistry,0.0429,0.01266,-0.012,-0.01,1,0.01019,Apolipoprotein A Blood biochemistry,1.15,7980,10.0,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,Apolipoprotein A Blood biochemistry,Apolipoprotein A Blood biochemistry,0,0,0.0
Alcohol intake frequency._Daily or almost daily,0.04189,0.0,0.057,0.057,1,0.00151,Alcohol intake frequency._Daily or almost daily,1.31,21296,30.42,Alcohol intake frequency._Daily or almost daily >= 0.50,Alcohol intake frequency._Daily or almost daily,Alcohol intake frequency._Daily or almost daily,0,0,0.0
age,0.0413,0.0,0.018,0.015,1,0.00034,age,1.12,5171,6.31,0.28 <= age < 0.40,age,age,0,0,0.0
"Non-cancer illness code, self-reported | Array 2 gout",0.03861,0.0,0.193,0.193,1,0.0099,"Non-cancer illness code, self-reported | Array 2__gout",6.61,968,6.99,"Non-cancer illness code, self-reported | Array 2__gout >= 0.50","Non-cancer illness code, self-reported | Array 2 gout","Non-cancer illness code, self-reported | Array 2 gout",0,0,0.0
"Non-cancer illness code, self-reported | Array 0 gout",0.03628,0.0,0.186,0.186,1,0.009,"Non-cancer illness code, self-reported | Array 0__gout",0.95,90778,93.9,"Non-cancer illness code, self-reported | Array 0__gout < 0.50","Non-cancer illness code, self-reported | Array 0 gout","Non-cancer illness code, self-reported | Array 0 gout",0,0,0.0
Urea,0.03542,0.0,0.092,0.075,1,0.01719,Urea,2.39,1761,4.6,1.90 <= Urea < 2.70,Urea,Urea,0,0,0.0
Microalbumin in urine,0.03194,0.0,0.016,0.014,1,0.0218,Microalbumin in urine,2.64,1415,4.07,0.85 <= Microalbumin in urine < 7.50,Microalbumin in urine,Microalbumin in urine,0,0,0.0
Mental health conditions ever diagnosed by a professional group,0.02605,0.0,-0.038,-0.037,1,0.00216,Mental health conditions ever diagnosed by a professional__group,1.07,66419,77.76,Mental health conditions ever diagnosed by a professional__group < 0.01,Mental health conditions ever diagnosed by a professional group,Mental health conditions ever diagnosed by a professional group,0,0,0.0
Z51.5 - Palliative care,0.0259,0.70126,-0.004,-0.004,1,0.00126,Z51.5 - Palliative care,1.02,90035,99.8,-0.46 <= Z51.5 - Palliative care < 0.85,Z51.5 - Palliative care,Z51.5 - Palliative care,0,0,0.0
Coffee intake,0.02581,0.0,-0.049,-0.043,1,0.00143,Coffee intake,1.17,25859,33.14,-1.20 <= Coffee intake < -0.71,Coffee intake,Coffee intake,0,0,0.0
Triglycerides,0.02542,0.0,0.084,0.068,1,0.03937,Triglycerides,1.92,2452,5.13,Triglycerides >= 2.50,Triglycerides,Triglycerides,0,0,0.0
"Non-cancer illness code, self-reported | Array 3 gout",0.02435,0.0,0.162,0.162,1,0.00684,"Non-cancer illness code, self-reported | Array 3__gout",0.96,90981,95.38,"Non-cancer illness code, self-reported | Array 3__gout < 0.50","Non-cancer illness code, self-reported | Array 3 gout","Non-cancer illness code, self-reported | Array 3 gout",0,0,0.0
Arm fat percentage (left),0.02428,0.20268,0.016,0.013,1,0.00409,Arm fat percentage (left),1.18,16282,20.9,-0.01 <= Arm fat percentage (left) < 0.61,Arm fat percentage (left),Arm fat percentage (left),0,0,0.0
Qualifications_None of the above,0.02209,0.0,0.032,0.032,1,0.00049,Qualifications_None of the above,1.17,21451,27.46,Qualifications_None of the above >= 0.50,Qualifications_None of the above,Qualifications_None of the above,0,0,0.0
Age high blood pressure diagnosed_None,0.02175,0.0,-0.112,-0.112,1,0.00612,Age high blood pressure diagnosed_None,1.41,36638,56.45,Age high blood pressure diagnosed_None < 0.50,Age high blood pressure diagnosed_None,Age high blood pressure diagnosed_None,0,0,0.0
(MS) multiple sclerosis genetic risk,0.02136,0.00108,0.011,0.009,1,0.30669,(MS) multiple sclerosis genetic risk,1.18,2699,3.48,(MS) multiple sclerosis genetic risk >= 2.10,(MS) multiple sclerosis genetic risk,(MS) multiple sclerosis genetic risk,0,0,0.0
Leg fat-free mass (right),0.02128,0.0,0.038,0.031,1,0.00195,Leg fat-free mass (right),1.27,7049,9.74,1.40 <= Leg fat-free mass (right) < 3.70,Leg fat-free mass (right),Leg fat-free mass (right),0,0,0.0
"Long-standing illness, disability or infirmity_Yes",0.02112,0.0,0.087,0.087,1,0.00376,"Long-standing illness, disability or infirmity_Yes",1.3,39404,55.98,"Long-standing illness, disability or infirmity_Yes >= 0.50","Long-standing illness, disability or infirmity_Yes","Long-standing illness, disability or infirmity_Yes",0,0,0.0
Hip circumference,0.02107,0.0,0.022,0.018,1,0.00228,Hip circumference,1.21,1302,1.73,2.80 <= Hip circumference < 4.50,Hip circumference,Hip circumference,0,0,0.0
Basophill count,0.01915,0.0,0.023,0.02,1,0.00087,Basophill count,1.34,2006,2.93,1.70 <= Basophill count < 5.80,Basophill count,Basophill count,0,0,0.0
Z92.1 - Personal history of long-term (current) use of anticoagulants,0.01815,0.01124,0.001,0.001,1,0.00174,Z92.1 - Personal history of long-term (current) use of anticoagulants,1.66,2685,4.87,Z92.1 - Personal history of long-term (current) use of anticoagulants >= 1.30,Z92.1 - Personal history of long-term (current) use of anticoagulants,Z92.1 - Personal history of long-term (current) use of anticoagulants,0,0,0.0
(HDL) high density lipoprotein cholesterol genetic risk,0.01597,0.0,-0.021,-0.017,1,0.30704,(HDL) high density lipoprotein cholesterol genetic risk,1.15,7182,9.05,(HDL) high density lipoprotein cholesterol genetic risk < -1.40,(HDL) high density lipoprotein cholesterol genetic risk,(HDL) high density lipoprotein cholesterol genetic risk,0,0,0.0
Arthropathy NOS,0.01533,0.09522,-0.004,-0.004,1,0.0009,Arthropathy NOS,1.52,1456,2.41,-4.50 <= Arthropathy NOS < -1.90,Arthropathy NOS,Arthropathy NOS,0,0,0.0
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",0.01403,0.0,0.035,0.035,1,0.00063,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",1.05,72610,83.49,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None >= 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",0,0,0.0
Apolipoprotein A1,0.01375,0.00703,0.004,0.003,1,0.05644,Apolipoprotein A1,1.31,2405,3.43,2.40 <= Apolipoprotein A1 < 5.30,Apolipoprotein A1,Apolipoprotein A1,0,0,0.0
had_disease_past,0.01332,0.0,0.122,0.122,1,0.00372,had_disease_past,0.98,91355,97.89,had_disease_past < 9.80,had_disease_past,had_disease_past,0,0,0.0
Chronic renal failure [CKD],0.01307,0.06571,0.025,0.025,1,0.00266,Chronic renal failure [CKD],0.97,89920,94.89,-0.59 <= Chronic renal failure [CKD] < 0.34,Chronic renal failure [CKD],Chronic renal failure [CKD],0,0,0.0
Testosterone,0.01285,0.26385,-0.016,-0.013,1,0.09109,Testosterone,1.41,7043,10.86,-1.40 <= Testosterone < -0.47,Testosterone,Testosterone,0,0,0.0
Home area population density - urban or rural_Scotland - Other Urban Area,0.01282,0.0,-0.027,-0.027,1,0.0005,Home area population density - urban or rural_Scotland - Other Urban Area,1.01,90570,99.73,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,Home area population density - urban or rural_Scotland - Other Urban Area,Home area population density - urban or rural_Scotland - Other Urban Area,0,0,0.0
Birth weight,0.0123,0.0,-0.017,-0.015,1,0.0017,Birth weight,1.03,72146,81.36,-3.70 <= Birth weight < 0.07,Birth weight,Birth weight,0,0,0.0
Treatment/medication code | Array 0 aspirin,0.01199,0.0,-0.018,-0.018,1,0.0002,Treatment/medication code | Array 0__aspirin,1.02,76105,85.14,Treatment/medication code | Array 0__aspirin < 0.12,Treatment/medication code | Array 0 aspirin,Treatment/medication code | Array 0 aspirin,0,0,0.0
(RA) rheumatoid arthritis genetic risk,0.01168,0.14243,0.003,0.003,1,0.30729,(RA) rheumatoid arthritis genetic risk,1.09,6905,8.22,1.50 <= (RA) rheumatoid arthritis genetic risk < 3.70,(RA) rheumatoid arthritis genetic risk,(RA) rheumatoid arthritis genetic risk,0,0,0.0
Albumin,0.01055,0.07848,-0.003,-0.002,1,0.07049,Albumin,1.36,1072,1.59,Albumin < -2.80,Albumin,Albumin,0,0,0.0
Atrial fibrillation and flutter,0.01013,0.19733,-0.001,-0.001,1,0.00195,Atrial fibrillation and flutter,2.0,1394,3.05,-5.10 <= Atrial fibrillation and flutter < -1.20,Atrial fibrillation and flutter,Atrial fibrillation and flutter,0,0,0.0
(CVD) cardiovascular disease genetic risk,0.01012,0.0,0.028,0.022,1,0.30754,(CVD) cardiovascular disease genetic risk,1.09,30971,37.0,0.38 <= (CVD) cardiovascular disease genetic risk < 3.00,(CVD) cardiovascular disease genetic risk,(CVD) cardiovascular disease genetic risk,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes_None of the above",0.01008,0.0,-0.072,-0.072,1,0.00266,"Medication for cholesterol, blood pressure or diabetes_None of the above",1.18,53208,68.74,"Medication for cholesterol, blood pressure or diabetes_None of the above < 0.50","Medication for cholesterol, blood pressure or diabetes_None of the above","Medication for cholesterol, blood pressure or diabetes_None of the above",0,0,0.0
Essential hypertension,0.00984,0.0,-0.021,-0.019,1,0.00385,Essential hypertension,1.68,5491,10.09,-3.90 <= Essential hypertension < -1.50,Essential hypertension,Essential hypertension,0,0,0.0
