feature_name,feature_importance,corr,source-shap,source-KG,source-lit,source-Joint-Shap_Lit,Target
(CAD) coronary artery disease genetic risk,0.0,0.0,0,0,0,1,Retinal Vein Occlusion
(CD) crohn's disease genetic risk,0.02,0.0,0,0,1,1,Retinal Vein Occlusion
(CRC) bowel cancer genetic risk,0.04,0.01,1,1,1,1,Retinal Vein Occlusion
(HBA1C_DF) glycated haemoglobin genetic risk,0.02,0.0,0,0,1,0,Retinal Vein Occlusion
(HDL) high density lipoprotein cholesterol genetic risk,0.0,0.0,0,0,0,1,Retinal Vein Occlusion
(HT) hypertension genetic risk,0.05,0.03,1,1,1,1,Retinal Vein Occlusion
(LDL_SF) low density lipoprotein cholesterol genetic risk,0.02,-0.0,1,1,0,0,Retinal Vein Occlusion
(VTE) venous thromboembolic disease genetic risk,0.03,-0.02,1,1,1,1,Retinal Vein Occlusion
Age high blood pressure diagnosed_None,0.05,-0.08,1,1,0,0,Retinal Vein Occlusion
Apolipoprotein B Blood biochemistry,0.02,0.0,0,0,1,1,Retinal Vein Occlusion
Arm fat percentage (left),0.02,0.0,0,0,1,0,Retinal Vein Occlusion
Birth weight,0.02,-0.02,1,1,1,1,Retinal Vein Occlusion
Circulatory disease NEC,0.02,0.0,0,0,1,1,Retinal Vein Occlusion
Concentration of Medium VLDL Particles,0.0,0.0,0,0,0,1,Retinal Vein Occlusion
Essential hypertension,0.02,0.02,1,1,0,0,Retinal Vein Occlusion
Eye problems/disorders_None,0.11,-0.09,1,1,0,0,Retinal Vein Occlusion
Hip circumference,0.04,-0.01,1,1,1,1,Retinal Vein Occlusion
Home area population density - urban or rural_Scotland - Large Urban Area,0.13,-0.06,1,1,1,0,Retinal Vein Occlusion
Leg fat-free mass (right),0.02,0.01,1,1,1,0,Retinal Vein Occlusion
Lipoprotein A Blood biochemistry,0.0,0.0,0,0,0,1,Retinal Vein Occlusion
"Long-standing illness, disability or infirmity_Yes",0.06,0.07,1,1,1,0,Retinal Vein Occlusion
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",0.03,-0.06,1,1,1,0,Retinal Vein Occlusion
Pulse wave reflection index,0.0,0.0,0,0,0,1,Retinal Vein Occlusion
Retention of urine,0.02,-0.02,1,1,1,1,Retinal Vein Occlusion
Sodium in urine,0.0,0.0,0,0,0,1,Retinal Vein Occlusion
Z92.1 - Personal history of long-term (current) use of anticoagulants,0.03,0.03,1,1,0,0,Retinal Vein Occlusion
