feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,Novel/Interesting?,Makes Sense?,COMMENTS
Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0.126,0.0,-0.063,0.002,0,1.04,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,285,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Long-standing illness, disability or infirmity_Yes","Long-standing illness, disability or infirmity_Yes",0.055,0.0,0.07,0.002,0,1.26,"Long-standing illness, disability or infirmity_Yes >= 0.50",205,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
(HT) hypertension genetic risk,(HT) hypertension genetic risk,0.046,0.0,0.033,0.004,1,1.77,1.20 <= (HT) hypertension genetic risk < 1.30,19216,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Hip circumference,Hip circumference,0.044,0.174,-0.012,0.0,0,1.28,-1.40 <= Hip circumference < -1.00,10022,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
(CRC) bowel cancer genetic risk,(CRC) bowel cancer genetic risk,0.036,0.162,0.01,0.004,0,1.51,-0.26 <= (CRC) bowel cancer genetic risk < -0.15,4867,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",0.034,0.0,-0.064,0.006,8,1.12,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above < 0.50",8270,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
(VTE) venous thromboembolic disease genetic risk,(VTE) venous thromboembolic disease genetic risk,0.03,0.125,-0.017,0.002,3,1.07,-2.20 <= (VTE) venous thromboembolic disease genetic risk < -0.22,1205,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Birth weight,Birth weight,0.025,0.009,-0.018,0.0,4,1.16,Birth weight < -1.20,130664,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Leg fat-free mass (right),Leg fat-free mass (right),0.024,0.301,0.006,0.004,0,1.56,-1.40 <= Leg fat-free mass (right) < -1.30,42,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Retention of urine,Retention of urine,0.024,0.037,-0.016,0.0,0,1.0,-2.30 <= Retention of urine < 5.30,23980,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
(CD) crohn's disease genetic risk,(CD) crohn's disease genetic risk,0.021,0.039,-0.017,0.004,0,1.44,(CD) crohn's disease genetic risk < -2.00,3112,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Arm fat percentage (left),Arm fat percentage (left),0.02,0.252,-0.01,0.005,0,1.46,-1.20 <= Arm fat percentage (left) < -1.10,41,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
(HBA1C_DF) glycated haemoglobin genetic risk,(HBA1C_DF) glycated haemoglobin genetic risk,0.019,0.124,0.013,0.001,0,1.54,1.60 <= (HBA1C_DF) glycated haemoglobin genetic risk < 1.80,41,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Circulatory disease NEC,Circulatory disease NEC,0.019,0.0,0.038,0.0,0,1.73,0.30 <= Circulatory disease NEC < 2.60,61,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Apolipoprotein B Blood biochemistry,Apolipoprotein B Blood biochemistry,0.018,0.0,-0.045,0.0,0,1.63,Apolipoprotein B Blood biochemistry < -2.00,903,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Sodium in urine,Sodium in urine,0.017,0.31,-0.01,0.002,1,1.16,Sodium in urine < -1.00,35620,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",0.015,0.0,0.043,0.0,8,1.69,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication >= 0.50",8270,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Concentration of Medium VLDL Particles,Concentration of Medium VLDL Particles,0.014,0.118,-0.009,0.002,0,0.99,Concentration of Medium VLDL Particles >= -2.40,154,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
(CAD) coronary artery disease genetic risk,(CAD) coronary artery disease genetic risk,0.013,0.016,0.017,0.002,1,1.15,-0.52 <= (CAD) coronary artery disease genetic risk < 0.16,10189,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_infrequent_","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_infrequent_",0.013,0.0,0.041,0.0,8,0.99,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_infrequent_ < 0.50",8273,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Diabetes diagnosed by doctor_Yes,Diabetes diagnosed by doctor_Yes,0.012,0.0,0.077,0.004,0,1.8,Diabetes diagnosed by doctor_Yes >= 0.50,36,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Pulse wave reflection index,Pulse wave reflection index,0.012,0.355,0.009,0.0,3,1.93,0.47 <= Pulse wave reflection index < 0.53,1707,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Lipoprotein A Blood biochemistry,Lipoprotein A Blood biochemistry,0.012,0.271,0.004,0.0,2,1.09,Lipoprotein A Blood biochemistry >= 0.91,585,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 1 diabetes","Non-cancer illness code, self-reported | Array 1__diabetes",0.012,0.0,0.061,0.002,8,2.02,"Non-cancer illness code, self-reported | Array 1__diabetes >= 0.71",3395,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Skin colour_Light olive,Skin colour_Light olive,0.011,0.007,-0.024,0.0,0,1.03,Skin colour_Light olive < 0.50,24,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
had_disease_past,had_disease_past,0.011,0.0,0.155,0.006,0,0.98,had_disease_past < 9.70,259,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Long-standing illness, disability or infirmity_No","Long-standing illness, disability or infirmity_No",0.011,0.0,-0.071,0.004,0,1.25,"Long-standing illness, disability or infirmity_No < 0.50",22771,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
(HDL) high density lipoprotein cholesterol genetic risk,(HDL) high density lipoprotein cholesterol genetic risk,0.01,0.462,-0.005,0.004,1,1.0,-2.80 <= (HDL) high density lipoprotein cholesterol genetic risk < 2.10,5729,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Acetone,Acetone,0.009,0.686,-0.002,0.001,0,1.24,Acetone >= 2.70,31908,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Average Diameter for HDL Particles,Average Diameter for HDL Particles,0.009,0.258,-0.01,0.004,0,0.99,-2.40 <= Average Diameter for HDL Particles < 3.60,49,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Apolipoprotein B,Apolipoprotein B,0.008,0.0,-0.031,0.003,3,1.95,Apolipoprotein B < -2.30,17902,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Skin colour_Brown,Skin colour_Brown,0.008,0.0,0.042,0.0,0,1.8,Skin colour_Brown >= 0.50,1277,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
HDL cholesterol Blood biochemistry,HDL cholesterol Blood biochemistry,0.008,0.107,-0.016,0.0,1,1.1,-2.00 <= HDL cholesterol Blood biochemistry < -0.54,4219,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Average Diameter for VLDL Particles,Average Diameter for VLDL Particles,0.007,0.33,0.008,0.002,0,1.18,Average Diameter for VLDL Particles >= 2.90,27,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
