feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
(HT) hypertension genetic risk,C0677607,Hashimoto Disease,Hashimoto Disease. An autoimmune disorder caused by the production of autoantibodies against thyroid tissue. There is progressive destruction of the thyroid follicles leading to hypothyroidism.,0,0.258,0.0,0.0,0.0,0.0456,0.0,0.033,0.0035,(HT) hypertension genetic risk,1.77,226,1.20 <= (HT) hypertension genetic risk < 1.30,0.1,0.16,2
Hip circumference,,,,0,1.0,0.0,0.0,0.0,0.0437,0.1736,-0.012,0.0,Hip circumference,1.28,924,-1.40 <= Hip circumference < -1.00,-0.11,-0.11,2
(CRC) bowel cancer genetic risk,C0009402,Colorectal Carcinoma,Colorectal Carcinoma. A malignant epithelial neoplasm that arises from the colon or rectum and invades through the muscularis mucosa into the submucosa. The vast majority are adenocarcinomas.,0,0.501,0.0,0.0,0.0,0.0362,0.1618,0.01,0.004,(CRC) bowel cancer genetic risk,1.51,490,-0.26 <= (CRC) bowel cancer genetic risk < -0.15,-0.01,-0.01,2
(VTE) venous thromboembolic disease genetic risk,C1997614,Thromboembolism of vein,Thromboembolism of vein. ,0,0.361,0.0,0.0,0.0,0.0298,0.1251,-0.017,0.0016,(VTE) venous thromboembolic disease genetic risk,1.07,5149,-2.20 <= (VTE) venous thromboembolic disease genetic risk < -0.22,0.31,0.34,2
Birth weight,C0005612,Birth Weight,Birth Weight. The mass or quantity of heaviness of an individual at BIRTH. It is expressed by units of pounds or kilograms.,0,0.866,0.0,0.0,0.0,0.0249,0.0092,-0.018,0.0,Birth weight,1.16,1083,Birth weight < -1.20,-0.13,-0.13,2
Retention of urine,C0035280,Retention (Psychology),Retention (Psychology). The persistence to perform a learned behavior (facts or experiences) after an interval has elapsed in which there has been no performance or practice of the behavior.,0,0.34,0.0,0.0,0.0,0.0243,0.0365,-0.016,0.0,Retention of urine,1.0,12264,-2.30 <= Retention of urine < 5.30,0.15,0.24,99
(CD) crohn's disease genetic risk,C1517512,Genetic Risk,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.633,0.0,0.0,0.0,0.0206,0.0391,-0.017,0.0036,(CD) crohn's disease genetic risk,1.44,278,(CD) crohn's disease genetic risk < -2.00,-0.06,-0.06,3
Circulatory disease NEC,C0135615,Proprotein Convertase 1,Proprotein Convertase 1. A CALCIUM-dependent endopeptidase that has specificity for cleavage at ARGININE that is near paired basic residues. It cleaves a variety of prohormones including PRO-OPIOMELANOCORTIN; PRORENIN; proenkephalins; prodynorphin; prosomatostatin; and PROINSULIN.,0,0.161,0.0,0.0,0.0,0.0186,0.0001,0.038,0.0,Circulatory disease NEC,1.73,260,0.30 <= Circulatory disease NEC < 2.60,0.25,0.25,2
Apolipoprotein B Blood biochemistry,C0003593,Apolipoproteins B,"Apolipoproteins B. Major structural proteins of triacylglycerol-rich LIPOPROTEINS. There are two forms, apolipoprotein B-100 and apolipoprotein B-48, both derived from a single gene. ApoB-100 expressed in the liver is found in low-density lipoproteins (LIPOPROTEINS, LDL; LIPOPROTEINS, VLDL). ApoB-48 expressed in the intestine is found in CHYLOMICRONS. They are important in the biosynthesis, transport, and metabolism of triacylglycerol-rich lipoproteins. Plasma Apo-B levels are high in atherosclerotic patients but non-detectable in ABETALIPOPROTEINEMIA.",0,0.745,0.0,0.0,0.0,0.0179,0.0,-0.045,0.0002,Apolipoprotein B Blood biochemistry,1.63,208,Apolipoprotein B Blood biochemistry < -2.00,0.04,0.04,2
Sodium in urine,C0037473,sodium,"sodium. A member of the alkali group of metals. It has the atomic symbol Na, atomic number 11, and atomic weight 23.",0,0.602,0.0,0.0,0.0,0.0172,0.3103,-0.01,0.0022,Sodium in urine,1.16,1757,Sodium in urine < -1.00,0.1,0.15,2
