name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,cui_nomenclature,feature_level_min_kg_hits,feature_level_sum_kg_hits,sim_score
Home area population density - urban or rural_Scotland - Large Urban Area,0.12626,0.0,-0.063,-0.063,12460,0.00174,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,11872,99.28,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0,0,0.0
Eye problems/disorders_None,0.11211,0.0,-0.088,-0.088,12460,0.00907,Eye problems/disorders_None,1.35,4585,49.6,Eye problems/disorders_None < 0.50,Eye problems/disorders_None,Eye problems/disorders_None,0,0,0.0
"Long-standing illness, disability or infirmity_Yes",0.05511,0.0,0.07,0.07,12460,0.00195,"Long-standing illness, disability or infirmity_Yes",1.26,4857,49.28,"Long-standing illness, disability or infirmity_Yes >= 0.50","Long-standing illness, disability or infirmity_Yes","Long-standing illness, disability or infirmity_Yes",0,0,0.0
Age high blood pressure diagnosed_None,0.05342,0.0,-0.079,-0.079,12460,0.00447,Age high blood pressure diagnosed_None,1.32,4434,46.87,Age high blood pressure diagnosed_None < 0.50,Age high blood pressure diagnosed_None,Age high blood pressure diagnosed_None,0,0,0.0
(HT) hypertension genetic risk,0.04558,5e-05,0.033,0.027,12460,0.00352,(HT) hypertension genetic risk,1.77,226,3.21,1.20 <= (HT) hypertension genetic risk < 1.30,(HT) hypertension genetic risk,(HT) hypertension genetic risk,0,0,0.0
Hip circumference,0.04366,0.17365,-0.012,-0.01,12460,0.0,Hip circumference,1.28,924,9.47,-1.40 <= Hip circumference < -1.00,Hip circumference,Hip circumference,0,0,0.0
(CRC) bowel cancer genetic risk,0.03615,0.16181,0.01,0.008,12460,0.00397,(CRC) bowel cancer genetic risk,1.51,490,5.94,-0.26 <= (CRC) bowel cancer genetic risk < -0.15,(CRC) bowel cancer genetic risk,(CRC) bowel cancer genetic risk,0,0,0.0
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",0.03402,0.0,-0.064,-0.064,12460,0.006,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",1.12,8837,79.61,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above < 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",0,0,0.0
(VTE) venous thromboembolic disease genetic risk,0.02979,0.12512,-0.017,-0.014,12460,0.00156,(VTE) venous thromboembolic disease genetic risk,1.07,5149,44.38,-2.20 <= (VTE) venous thromboembolic disease genetic risk < -0.22,(VTE) venous thromboembolic disease genetic risk,(VTE) venous thromboembolic disease genetic risk,0,0,0.0
Z92.1 - Personal history of long-term (current) use of anticoagulants,0.02978,0.00836,0.029,0.029,12460,0.00526,Z92.1 - Personal history of long-term (current) use of anticoagulants,2.18,220,3.85,2.10 <= Z92.1 - Personal history of long-term (current) use of anticoagulants < 4.20,Z92.1 - Personal history of long-term (current) use of anticoagulants,Z92.1 - Personal history of long-term (current) use of anticoagulants,0,0,0.0
Birth weight,0.02487,0.00922,-0.018,-0.016,12460,0.0,Birth weight,1.16,1083,10.11,Birth weight < -1.20,Birth weight,Birth weight,0,0,0.0
Essential hypertension,0.0247,0.56185,0.015,0.014,12460,0.0,Essential hypertension,1.83,295,4.33,0.21 <= Essential hypertension < 0.56,Essential hypertension,Essential hypertension,0,0,0.0
Retention of urine,0.02434,0.03653,-0.016,-0.016,12460,0.0,Retention of urine,1.0,12264,98.64,-2.30 <= Retention of urine < 5.30,Retention of urine,Retention of urine,0,0,0.0
Leg fat-free mass (right),0.024,0.30113,0.006,0.005,12460,0.0036,Leg fat-free mass (right),1.56,160,2.01,-1.40 <= Leg fat-free mass (right) < -1.30,Leg fat-free mass (right),Leg fat-free mass (right),0,0,0.0
(LDL_SF) low density lipoprotein cholesterol genetic risk,0.02222,0.53878,-0.005,-0.004,12460,0.00077,(LDL_SF) low density lipoprotein cholesterol genetic risk,1.24,1333,13.24,-2.00 <= (LDL_SF) low density lipoprotein cholesterol genetic risk < -1.10,(LDL_SF) low density lipoprotein cholesterol genetic risk,(LDL_SF) low density lipoprotein cholesterol genetic risk,0,0,0.0
Vascular/heart problems diagnosed by doctor_High blood pressure,0.02184,0.0,0.065,0.065,12460,0.00481,Vascular/heart problems diagnosed by doctor_High blood pressure,1.3,3776,39.25,Vascular/heart problems diagnosed by doctor_High blood pressure >= 0.50,Vascular/heart problems diagnosed by doctor_High blood pressure,Vascular/heart problems diagnosed by doctor_High blood pressure,0,0,0.0
Eye problems/disorders_Other serious eye condition,0.02144,0.0,0.089,0.089,12460,0.00374,Eye problems/disorders_Other serious eye condition,2.85,253,5.78,Eye problems/disorders_Other serious eye condition >= 0.50,Eye problems/disorders_Other serious eye condition,Eye problems/disorders_Other serious eye condition,0,0,0.0
(CD) crohn's disease genetic risk,0.02062,0.03911,-0.017,-0.013,12460,0.00361,(CD) crohn's disease genetic risk,1.44,278,3.21,(CD) crohn's disease genetic risk < -2.00,(CD) crohn's disease genetic risk,(CD) crohn's disease genetic risk,0,0,0.0
Arm fat percentage (left),0.02,0.25179,-0.01,-0.008,12460,0.00528,Arm fat percentage (left),1.46,362,4.25,-1.20 <= Arm fat percentage (left) < -1.10,Arm fat percentage (left),Arm fat percentage (left),0,0,0.0
(HBA1C_DF) glycated haemoglobin genetic risk,0.01891,0.12421,0.013,0.01,12460,0.00082,(HBA1C_DF) glycated haemoglobin genetic risk,1.54,162,2.01,1.60 <= (HBA1C_DF) glycated haemoglobin genetic risk < 1.80,(HBA1C_DF) glycated haemoglobin genetic risk,(HBA1C_DF) glycated haemoglobin genetic risk,0,0,0.0
Circulatory disease NEC,0.01861,0.00015,0.038,0.037,12460,0.0,Circulatory disease NEC,1.73,260,3.61,0.30 <= Circulatory disease NEC < 2.60,Circulatory disease NEC,Circulatory disease NEC,0,0,0.0
