feature_name,comments,novel_human,plausible_human,utility_human,interesting_human,novel_model,plausible_model,interesting_model,confidence_model,explanation,corr,p_val,feature_importance,mutualinfotarget,target,real,utility_model
Actinic keratosis,also prevalent in fair-skins ,4.0,2.0,2.0,2.0,,,,,"Actinic keratosis is interesting because it has a positive correlation with gallstones, which suggests a potential link between skin cancer precursors and gallbladder disease. This association is plausible given that both conditions are related to chronic sun exposure and UV radiation, which can cause DNA damage and mutations leading to skin cancer and potentially gallbladder disease. This connection could have implications for prevention and early detection strategies for both conditions.",0.003,0.948,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Z90.7 - Acquired absence of genital organ(s),pregnancy  is risk factor ,3.0,2.0,3.0,3.0,,,,,"The feature 'Z90.7 - Acquired absence of genital organ(s)' is interesting because it has a positive correlation with the target disease 'GALLSTONES, Cholelithiasis', which implies that individuals with acquired absence of genital organs may have a higher risk of developing gallstones. This association is plausible as both conditions are related to hormonal imbalances and genetic factors. For instance, hormonal fluctuations during pregnancy can lead to gallstone formation, and individuals with genital organ abnormalities might have underlying hormonal imbalances. This feature is novel as it highlights an unconventional risk factor for gallstones and warrants further investigation to understand the underlying mechanisms. Additionally, this association could have practical applications in clinical settings, such as identifying high-risk individuals for gallstone prevention and treatment strategies. Overall, this feature is interesting due to its novelty, plausibility, and potential utility in improving patient outcomes.",0.004,0.883,0.002,0.001,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
M79.66 - Pain in limb (Lower leg),-,4.0,2.0,2.0,2.0,,,,,"The feature 'M79.66 - Pain in limb (Lower leg)' is interesting because it suggests a potential correlation between pain in the lower leg and the risk of developing gallstones (Cholelithiasis). This association is plausible as both conditions are related to gastrointestinal issues and could be influenced by similar factors such as diet, lifestyle, or underlying health conditions. The novelty of this feature lies in its potential to identify patients at risk of gallstones through a non-invasive symptom-based approach, which could be useful in early detection and prevention strategies.",0.001,0.819,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Ever addicted to a behaviour or miscellanous_Yes,-,4.0,2.0,1.0,2.0,,,,,"The feature 'Ever addicted to a behaviour or miscellanous_Yes' is interesting because it suggests an association between past addictive behaviors and the risk of developing gallstones, a condition where solid particles form in the gallbladder. This is plausible as addiction can lead to unhealthy lifestyle choices, including poor diet and lack of exercise, which may contribute to gallstone formation. Additionally, this feature's novelty lies in its exploration of a non-traditional risk factor for gallstones, which can help identify new avenues for prevention and early intervention.",-0.001,0.672,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
"Epilepsy, recurrent seizures, convulsions",-,3.0,3.0,2.0,3.0,,,,,"The feature 'Epilepsy, recurrent seizures, convulsions' is interesting because it has a positive correlation with the target disease 'GALLSTONES, Cholelithiasis'. This association is plausible as epilepsy, recurrent seizures, and convulsions can be indicative of underlying neurological or metabolic issues that may also contribute to the development of gallstones. The feature is novel as it explores an unconventional association that may not be well-documented in existing literature. This correlation could have practical applications, such as informing clinical interventions or tests to detect individuals at higher risk of developing gallstones.",0.001,0.873,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Behavioural and miscellaneous addictions_Something else not mentioned,-,4.0,2.0,2.0,2.0,,,,,"The feature 'Behavioural and miscellaneous addictions_Something else not mentioned' is interesting as it suggests a novel association between non-substance-related addictions and the risk of developing gallstones. This relationship is plausible as both are linked to stress, anxiety, and unhealthy lifestyle choices. The feature's novelty lies in its exploration of the lesser-studied area of non-substance addictions, which could have potential practical applications in identifying high-risk patients and informing preventive measures.",0.001,0.673,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Behavioural and miscellaneous addictions_A behaviour,-,4.0,2.0,2.0,2.0,,,,,"The feature 'Behavioural and miscellaneous addictions_A behaviour' is interesting because it has a neutral correlation with the target disease 'GALLSTONES, Cholelithiasis'. This feature is interesting because it provides new insights into the potential link between behavioral addictions and gallstones. The novelty of this feature lies in its ability to explore a previously unexamined association between two seemingly unrelated conditions. This association is plausible because both behavioral addictions and gallstones have been linked to stress, which is a known risk factor for gallstone formation. The usefulness of this feature lies in its potential to inform clinical interventions or tests that target the underlying mechanisms of both conditions. For instance, addressing behavioral addictions through therapy may have a positive impact on reducing stress and subsequently lowering the risk of gallstone formation. This feature is also interesting because it highlights the importance of considering the interplay between lifestyle factors and medical conditions, which can lead to new avenues for research and treatment.",0.0,0.921,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Degeneration of intervertebral disc,-,4.0,2.0,2.0,2.0,,,,,"The feature 'Degeneration of intervertebral disc' is interesting because it provides new insights into the association between spinal health and gallstone formation. This association is plausible, as both conditions are related to metabolic and inflammatory processes. The degeneration of intervertebral discs can lead to increased pressure on the abdominal organs, potentially influencing bile flow and stone formation. This feature has utility in understanding the risk factors for gallstones and may inform clinical interventions or tests to prevent or manage the condition.",0.003,0.984,0.0,0.0,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),False,False
Age asthma diagnosed_10,maybe related to constant steroid exposure?  Also consider reduced physical activity which is considered a protecting factor ,4.0,2.0,2.0,3.0,,,,,"The feature 'Age asthma diagnosed_10' is interesting because it suggests an association between asthma diagnosis at age 10 and the risk of developing esophageal cancer later in life. This is plausible as asthma has been linked to chronic inflammation, which can contribute to cancer development. Additionally, this feature offers novelty as it explores the long-term consequences of childhood asthma diagnosis on adult cancer risk, providing new insights into the complex relationships between respiratory diseases and cancer. This information could be useful for clinicians to assess and monitor patients with asthma, potentially informing early interventions to reduce cancer risk.",0.001,0.93,0.0,0.0,oesophagus cancer,False,True
Ever addicted to illicit or recreational drugs_infrequent_,strong connection to tobacco and alcohol use - negative relation is odd,4.0,1.0,1.0,2.0,,,,,"The feature 'Ever addicted to illicit or recreational drugs_infrequent_' is interesting because it suggests a possible protective effect against Esophageal cancer. This is plausible as drug addiction can lead to altered lifestyle and social habits, potentially reducing the risk of certain cancers. However, this association is not well-documented and requires further investigation to understand the underlying mechanisms. The novelty of this feature lies in its counterintuitive nature, as one would expect drug addiction to increase cancer risk due to its harmful effects on overall health. This unexpected association warrants further research to explore its potential utility in cancer prevention and risk assessment.",-0.006,0.456,0.0,0.0,oesophagus cancer,False,False
