feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
Urate,C0729829,Urate level - finding,Urate level - finding. ,0,0.759,0.0,0.0,0.0,0.8047,0.0,0.214,0.0667,Urate,4.68,1792,2.10 <= Urate < 2.90,0.18,0.29,2
Urate,C0935936,Urate,"Urate. 2,6,8-trioxypurine.",0,0.778,0.0,0.0,0.0,0.8047,0.0,0.214,0.0667,Urate,4.68,1792,2.10 <= Urate < 2.90,0.18,0.29,2
medication allopurinol,C0002144,allopurinol,allopurinol. A XANTHINE OXIDASE inhibitor that decreases URIC ACID production. It also acts as an antimetabolite on some simpler organisms.,0,0.884,0.0,0.0,0.0,0.3097,0.0,0.392,0.0414,Treatment/medication code | Array 0__allopurinol,6.97,3425,Treatment/medication code | Array 0__allopurinol >= 0.50,0.19,0.22,2
Number of self-reported non-cancer illnesses,C2700446,Self-Report,Self-Report. An individual's perspective or subjective interpretation of an event or information.,0,0.411,0.0,0.0,0.0,0.088,0.0,0.138,0.0101,Number of self-reported non-cancer illnesses,2.36,1149,Number of self-reported non-cancer illnesses >= 3.00,0.02,0.02,2
Home area population density - urban or rural Scotland - Large Urban Area,C0178587,density,density. The amount of something per unit size.,0,0.243,0.0,0.0,0.0,0.0779,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.08,-0.08,2
Home area population density - urban or rural Scotland - Large Urban Area,C0442529,Urban environment,"Urban environment. A delineated geographic area encompassing residential, commercial, and other non-residential urban land uses with a residential population of 50,000 or more people and a density of 1,000 people or more per square mile.",0,0.319,0.0,0.0,0.0,0.0779,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.08,-0.08,3
Home area population density - urban or rural Scotland - Large Urban Area,C0724128,Urban tradename,Urban tradename. ,0,0.15,0.0,0.0,0.0,0.0779,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.08,-0.08,99
Home area population density - urban or rural Scotland - Large Urban Area,C2700386,Urban - qualifier,"Urban - qualifier. Relating to, located in, or characteristic of a city or densely populated area.",0,0.387,0.0,0.0,0.0,0.0779,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.08,-0.08,99
Home area population density - urban or rural Scotland - Large Urban Area,C0549177,Large,"Large. Of considerable or relatively great size, extent, or capacity.",0,0.273,0.0,0.0,0.0,0.0779,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.08,-0.08,2
Home area population density - urban or rural Scotland - Large Urban Area,C1416798,LARGE1 gene,LARGE1 gene. ,0,0.184,0.0,0.0,0.0,0.0779,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.08,-0.08,2
gout,C0018099,Gout,"Gout. Metabolic disorder characterized by recurrent acute arthritis, hyperuricemia and deposition of sodium urate in and around the joints, sometimes with formation of URIC ACID calculi.",0,0.708,0.0,0.0,0.0,0.0587,0.0,0.223,0.0132,"Non-cancer illness code, self-reported | Array 1__gout",6.78,1215,"Non-cancer illness code, self-reported | Array 1__gout >= 0.50",0.37,0.42,2
Water intake,C0013123,Water consumption,Water consumption. A measurement of a subject's water intake.,0,0.816,0.0,0.0,0.0,0.0498,0.0,0.056,0.0019,Water intake,1.33,8123,1.30 <= Water intake < 9.70,-0.04,0.06,2
Apolipoprotein A Blood biochemistry,C0003592,Apolipoproteins A,"Apolipoproteins A. Structural proteins of the alpha-lipoproteins (HIGH DENSITY LIPOPROTEINS), including APOLIPOPROTEIN A-I and APOLIPOPROTEIN A-II. They can modulate the activity of LECITHIN CHOLESTEROL ACYLTRANSFERASE. These apolipoproteins are low in atherosclerotic patients. They are either absent or present in extremely low plasma concentration in TANGIER DISEASE.",0,0.809,0.0,0.0,0.0,0.048,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,0.17,0.17,2
Apolipoprotein A Blood biochemistry,C0085201,Apolipoprotein A-I,"Apolipoprotein A-I. The most abundant protein component of HIGH DENSITY LIPOPROTEINS or HDL. This protein serves as an acceptor for CHOLESTEROL released from cells thus promoting efflux of cholesterol to HDL then to the LIVER for excretion from the body (reverse cholesterol transport). It also acts as a cofactor for LECITHIN CHOLESTEROL ACYLTRANSFERASE that forms CHOLESTEROL ESTERS on the HDL particles. Mutations of this gene APOA1 cause HDL deficiency, such as in FAMILIAL ALPHA LIPOPROTEIN DEFICIENCY DISEASE and in some patients with TANGIER DISEASE.",0,0.775,0.0,0.0,0.0,0.048,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,0.17,0.17,2
Apolipoprotein A Blood biochemistry,C0003591,Apolipoproteins,Apolipoproteins. Protein components on the surface of LIPOPROTEINS. They form a layer surrounding the hydrophobic lipid core. There are several classes of apolipoproteins with each playing a different role in lipid transport and LIPID METABOLISM. These proteins are synthesized mainly in the LIVER and the INTESTINES.,0,0.693,0.0,0.0,0.0,0.048,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,0.17,0.17,2
"Long-standing illness, disability or infirmity",C0231170,Disability,Disability. Any physical or mental impairment that interferes with an individual's ability to perform desired activities.,0,0.495,0.0,0.0,0.0,0.0439,0.0,-0.087,0.0038,"Long-standing illness, disability or infirmity_No",1.28,42073,"Long-standing illness, disability or infirmity_No < 0.50",0.14,0.14,2
"Long-standing illness, disability or infirmity",C0231172,handicapping condition,handicapping condition. ,0,0.617,0.0,0.0,0.0,0.0439,0.0,-0.087,0.0038,"Long-standing illness, disability or infirmity_No",1.28,42073,"Long-standing illness, disability or infirmity_No < 0.50",0.14,0.14,2
Apolipoprotein B Blood biochemistry,C1412471,APOB gene,APOB gene. This gene plays a role in lipid transport.,0,0.67,0.0,1.0,0.3,0.0393,0.0,-0.036,0.0098,Apolipoprotein B Blood biochemistry,1.43,1791,-1.60 <= Apolipoprotein B Blood biochemistry < -1.50,0.2,0.22,2
Apolipoprotein B Blood biochemistry,C0003591,Apolipoproteins,Apolipoproteins. Protein components on the surface of LIPOPROTEINS. They form a layer surrounding the hydrophobic lipid core. There are several classes of apolipoproteins with each playing a different role in lipid transport and LIPID METABOLISM. These proteins are synthesized mainly in the LIVER and the INTESTINES.,0,0.646,0.0,1.0,0.3,0.0393,0.0,-0.036,0.0098,Apolipoprotein B Blood biochemistry,1.43,1791,-1.60 <= Apolipoprotein B Blood biochemistry < -1.50,0.2,0.22,2
Alcohol intake frequency. Daily or almost daily,C3841784,Daily or Almost Daily Response,Daily or Almost Daily Response. A subjective response that something happens daily or almost daily.,0,0.461,0.0,1.0,0.5,0.0356,0.0,0.057,0.0015,Alcohol intake frequency._Daily or almost daily,1.31,21296,Alcohol intake frequency._Daily or almost daily >= 0.50,-0.0,0.12,99
