feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Triglycerides Blood biochemistry,C0202236,Triglycerides measurement,Triglycerides measurement. A quantitative measurement of the amount of triglyceride present in a sample.,0,0.904,0.0,1.0,0.5,0.0715,0.0,0.038,0.0,Triglycerides Blood biochemistry,1.32,184,-1.00 <= Triglycerides Blood biochemistry < -1.00,0.15,0.15,99,71,inf
Alcohol intake frequency. Daily or almost daily,C3841784,Daily or Almost Daily Response,Daily or Almost Daily Response. A subjective response that something happens daily or almost daily.,0,0.461,0.0,1.0,0.5,0.0579,0.0,-0.041,0.0043,Alcohol intake frequency._Daily or almost daily,1.06,153690,Alcohol intake frequency._Daily or almost daily < 0.50,-0.02,0.13,99,0,0.0
Apolipoprotein A Blood biochemistry,C0003592,Apolipoproteins A,"Apolipoproteins A. Structural proteins of the alpha-lipoproteins (HIGH DENSITY LIPOPROTEINS), including APOLIPOPROTEIN A-I and APOLIPOPROTEIN A-II. They can modulate the activity of LECITHIN CHOLESTEROL ACYLTRANSFERASE. These apolipoproteins are low in atherosclerotic patients. They are either absent or present in extremely low plasma concentration in TANGIER DISEASE.",0,0.809,0.0,0.0,0.0,0.0562,0.0,-0.038,0.0003,Apolipoprotein A Blood biochemistry,1.89,134,-1.40 <= Apolipoprotein A Blood biochemistry < -1.40,0.14,0.14,2,90,0.52
Apolipoprotein A Blood biochemistry,C0085201,Apolipoprotein A-I,"Apolipoprotein A-I. The most abundant protein component of HIGH DENSITY LIPOPROTEINS or HDL. This protein serves as an acceptor for CHOLESTEROL released from cells thus promoting efflux of cholesterol to HDL then to the LIVER for excretion from the body (reverse cholesterol transport). It also acts as a cofactor for LECITHIN CHOLESTEROL ACYLTRANSFERASE that forms CHOLESTEROL ESTERS on the HDL particles. Mutations of this gene APOA1 cause HDL deficiency, such as in FAMILIAL ALPHA LIPOPROTEIN DEFICIENCY DISEASE and in some patients with TANGIER DISEASE.",0,0.775,0.0,0.0,0.0,0.0562,0.0,-0.038,0.0003,Apolipoprotein A Blood biochemistry,1.89,134,-1.40 <= Apolipoprotein A Blood biochemistry < -1.40,0.14,0.14,2,0,0.0
Apolipoprotein A Blood biochemistry,C0003591,Apolipoproteins,Apolipoproteins. Protein components on the surface of LIPOPROTEINS. They form a layer surrounding the hydrophobic lipid core. There are several classes of apolipoproteins with each playing a different role in lipid transport and LIPID METABOLISM. These proteins are synthesized mainly in the LIVER and the INTESTINES.,0,0.693,0.0,0.0,0.0,0.0562,0.0,-0.038,0.0003,Apolipoprotein A Blood biochemistry,1.89,134,-1.40 <= Apolipoprotein A Blood biochemistry < -1.40,0.14,0.14,2,81,0.16
Alanine aminotransferase,C0001899,Alanine Transaminase,"Alanine Transaminase. An enzyme that catalyzes the conversion of L-alanine and 2-oxoglutarate to pyruvate and L-glutamate. (From Enzyme Nomenclature, 1992) EC 2.6.1.2.",0,0.91,0.0,0.0,0.0,0.0428,0.0,0.022,0.0009,Alanine aminotransferase,1.27,121,Alanine aminotransferase < -1.30,-0.03,-0.03,2,3,0.0
Alanine aminotransferase,C1415274,GPT gene,GPT gene. This gene is involved in amino acid metabolism and liver gluconeogenesis.,0,0.552,0.0,0.0,0.0,0.0428,0.0,0.022,0.0009,Alanine aminotransferase,1.27,121,Alanine aminotransferase < -1.30,-0.03,-0.03,2,0,0.0
Alanine aminotransferase,C3887708,"Alanine Aminotransferase 1, human","Alanine Aminotransferase 1, human. Alanine aminotransferase 1 (496 aa, ~55 kDa) is encoded by the human GPT gene. This protein plays a role in both amino acid metabolism and pyruvate synthesis.",0,0.716,0.0,0.0,0.0,0.0428,0.0,0.022,0.0009,Alanine aminotransferase,1.27,121,Alanine aminotransferase < -1.30,-0.03,-0.03,2,112,12.44
Direct bilirubin,C5241078,bilirubin preparation,bilirubin preparation. ,0,0.903,0.0,1.0,0.5,0.0337,0.0,0.011,0.0014,Direct bilirubin,2.29,144,6.90 <= Direct bilirubin < 9.30,0.15,0.21,99,255,inf
Overall health rating Fair,C1547189,Fair Language Proficiency,Fair Language Proficiency. ,0,0.398,0.0,0.0,0.0,0.0295,0.0,0.037,0.0073,Overall health rating_Fair,1.2,47659,Overall health rating_Fair >= 0.50,-0.02,-0.02,99,137,inf
Overall health rating Fair,C1548785,Fair Specimen Quality,Fair Specimen Quality. ,0,0.395,0.0,0.0,0.0,0.0295,0.0,0.037,0.0073,Overall health rating_Fair,1.2,47659,Overall health rating_Fair >= 0.50,-0.02,-0.02,99,46,inf
Overall health rating Fair,C2911689,Fair (qualifier),Fair (qualifier). Having no exceptional quality or ability.,0,0.526,0.0,0.0,0.0,0.0295,0.0,0.037,0.0073,Overall health rating_Fair,1.2,47659,Overall health rating_Fair >= 0.50,-0.02,-0.02,99,0,0.0
"Long-standing illness, disability or infirmity",C0231170,Disability,Disability. Any physical or mental impairment that interferes with an individual's ability to perform desired activities.,0,0.495,0.0,0.0,0.0,0.0261,0.0,0.043,0.0154,"Long-standing illness, disability or infirmity_Yes",1.18,72176,"Long-standing illness, disability or infirmity_Yes >= 0.50",0.14,0.14,2,0,0.0
"Long-standing illness, disability or infirmity",C0231172,handicapping condition,handicapping condition. ,0,0.617,0.0,0.0,0.0,0.0261,0.0,0.043,0.0154,"Long-standing illness, disability or infirmity_Yes",1.18,72176,"Long-standing illness, disability or infirmity_Yes >= 0.50",0.14,0.14,2,150,0.9
Urea,C0041942,urea,urea. A compound formed in the liver from ammonia produced by the deamination of amino acids. It is the principal end product of protein catabolism and constitutes about one half of the total urinary solids.,0,0.778,0.0,0.0,0.0,0.0257,0.4685,-0.008,0.0008,Urea,1.63,915,3.70 <= Urea < 12.00,0.08,0.08,2,99,0.04
Mouth/teeth dental problems Dentures,C0576962,Tooth problem,Tooth problem. ,0,0.619,0.0,0.0,0.0,0.025,0.0,0.026,0.0029,Mouth/teeth dental problems_Dentures,1.2,28634,Mouth/teeth dental problems_Dentures >= 0.50,0.1,0.11,2,0,0.0
Mouth/teeth dental problems Dentures,C0011394,Dentures,"Dentures. An appliance used as an artificial or prosthetic replacement for missing teeth and adjacent tissues. It does not include CROWNS; DENTAL ABUTMENTS; nor TOOTH, ARTIFICIAL.",0,0.776,0.0,0.0,0.0,0.025,0.0,0.026,0.0029,Mouth/teeth dental problems_Dentures,1.2,28634,Mouth/teeth dental problems_Dentures >= 0.50,0.1,0.11,2,155,0.67
(LDL SF) low density lipoprotein cholesterol genetic risk,C0023826,Very low density lipoprotein cholesterol,"Very low density lipoprotein cholesterol. Cholesterol which is contained in or bound to very low density lipoproteins (VLDL). High circulating levels of VLDL cholesterol are found in HYPERLIPOPROTEINEMIA TYPE IIB. The cholesterol on the VLDL is eventually delivered by LOW-DENSITY LIPOPROTEINS to the tissues after the catabolism of VLDL to INTERMEDIATE-DENSITY LIPOPROTEINS, then to LDL.",0,0.673,0.0,1.0,0.2,0.0235,0.0,-0.012,0.0,(LDL_SF) low density lipoprotein cholesterol genetic risk,1.54,143,(LDL_SF) low density lipoprotein cholesterol genetic risk >= 3.00,0.19,0.19,2,6,0.07
(LDL SF) low density lipoprotein cholesterol genetic risk,C0202117,Low density lipoprotein cholesterol measurement,Low density lipoprotein cholesterol measurement. The determination of the amount of low-density lipoprotein cholesterol present in a sample.,0,0.635,0.0,1.0,0.2,0.0235,0.0,-0.012,0.0,(LDL_SF) low density lipoprotein cholesterol genetic risk,1.54,143,(LDL_SF) low density lipoprotein cholesterol genetic risk >= 3.00,0.19,0.19,2,340,5.86
(LDL SF) low density lipoprotein cholesterol genetic risk,C1517512,Genetic Risk,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.728,0.0,1.0,0.2,0.0235,0.0,-0.012,0.0,(LDL_SF) low density lipoprotein cholesterol genetic risk,1.54,143,(LDL_SF) low density lipoprotein cholesterol genetic risk >= 3.00,0.19,0.19,3,65,16.25
Mineral and other dietary supplements None of the above,C0026162,Minerals,"Minerals. Native, inorganic or fossilized organic substances having a definite chemical composition and formed by inorganic reactions. They may occur as individual crystals or may be disseminated in some other mineral or rock. (Grant & Hackh's Chemical Dictionary, 5th ed; McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)",0,0.435,0.0,0.0,0.0,0.0235,0.0,0.016,0.0271,Mineral and other dietary supplements_None of the above,1.05,103425,Mineral and other dietary supplements_None of the above >= 0.50,0.04,0.04,2,46,0.03
Mineral and other dietary supplements None of the above,C0242295,Dietary Supplements,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.702,0.0,0.0,0.0,0.0235,0.0,0.016,0.0271,Mineral and other dietary supplements_None of the above,1.05,103425,Mineral and other dietary supplements_None of the above >= 0.50,0.04,0.04,2,0,0.0
