feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
Weight (p21002),C0005910,Body Weight,Body Weight. The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.,0,0.481,0.0,0.0,0.0,0.1297,0.0,0.044,0.0075,Weight (p21002),1.29,9277,1.20 <= Weight (p21002) < 3.80,0.07,0.07,2
Weight (p21002),C0043100,Weight,Weight. The vertical force exerted by a mass as a result of gravity.,0,0.488,0.0,0.0,0.0,0.1297,0.0,0.044,0.0075,Weight (p21002),1.29,9277,1.20 <= Weight (p21002) < 3.80,0.07,0.07,2
Number of self-reported non-cancer illnesses,C2700446,Self-Report,Self-Report. An individual's perspective or subjective interpretation of an event or information.,0,0.411,0.0,0.0,0.0,0.0938,0.0,0.138,0.0101,Number of self-reported non-cancer illnesses,2.36,1149,Number of self-reported non-cancer illnesses >= 3.00,0.1,0.1,2
Home area population density - urban or rural Scotland - Large Urban Area,C0178587,density,density. The amount of something per unit size.,0,0.243,0.0,0.0,0.0,0.0812,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.06,0.01,2
Home area population density - urban or rural Scotland - Large Urban Area,C0442529,Urban environment,"Urban environment. A delineated geographic area encompassing residential, commercial, and other non-residential urban land uses with a residential population of 50,000 or more people and a density of 1,000 people or more per square mile.",0,0.319,0.0,0.0,0.0,0.0812,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.06,0.01,3
Home area population density - urban or rural Scotland - Large Urban Area,C0724128,Urban tradename,Urban tradename. ,0,0.15,0.0,0.0,0.0,0.0812,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.06,0.01,99
Home area population density - urban or rural Scotland - Large Urban Area,C2700386,Urban - qualifier,"Urban - qualifier. Relating to, located in, or characteristic of a city or densely populated area.",0,0.387,0.0,0.0,0.0,0.0812,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.06,0.01,99
Home area population density - urban or rural Scotland - Large Urban Area,C0549177,Large,"Large. Of considerable or relatively great size, extent, or capacity.",0,0.273,0.0,0.0,0.0,0.0812,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.06,0.01,2
Home area population density - urban or rural Scotland - Large Urban Area,C1416798,LARGE1 gene,LARGE1 gene. ,0,0.184,0.0,0.0,0.0,0.0812,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.06,0.01,2
LDL direct Blood biochemistry,C0023823,Low-Density Lipoproteins,"Low-Density Lipoproteins. A class of lipoproteins of small size (18-25 nm) and light (1.019-1.063 g/ml) particles with a core composed mainly of CHOLESTEROL ESTERS and smaller amounts of TRIGLYCERIDES. The surface monolayer consists mostly of PHOSPHOLIPIDS, a single copy of APOLIPOPROTEIN B-100, and free cholesterol molecules. The main LDL function is to transport cholesterol and cholesterol esters to extrahepatic tissues.",0,0.715,0.0,0.0,0.0,0.0556,0.0,-0.06,0.0297,LDL direct Blood biochemistry,1.34,9470,-2.70 <= LDL direct Blood biochemistry < -1.30,-0.04,-0.04,2
LDL direct Blood biochemistry,C0023169,LDL-1,LDL-1. Low-density lipoprotein particles with density between 1.019 and 1.045 g/ml.,0,0.612,0.0,0.0,0.0,0.0556,0.0,-0.06,0.0297,LDL direct Blood biochemistry,1.34,9470,-2.70 <= LDL direct Blood biochemistry < -1.30,-0.04,-0.04,2
LDL direct Blood biochemistry,C0023170,LDL-2,LDL-2. Low-density lipoprotein particles with density between 1.045 and 1.063 g/ml.,0,0.611,0.0,0.0,0.0,0.0556,0.0,-0.06,0.0297,LDL direct Blood biochemistry,1.34,9470,-2.70 <= LDL direct Blood biochemistry < -1.30,-0.04,-0.04,2
Standing height,C0424645,Standing height,Standing height. ,0,0.981,0.0,0.0,0.0,0.0483,0.0,0.013,0.0024,Standing height,1.05,33964,0.24 <= Standing height < 1.50,-0.02,-0.02,99
Apolipoprotein A Blood biochemistry,C0003592,Apolipoproteins A,"Apolipoproteins A. Structural proteins of the alpha-lipoproteins (HIGH DENSITY LIPOPROTEINS), including APOLIPOPROTEIN A-I and APOLIPOPROTEIN A-II. They can modulate the activity of LECITHIN CHOLESTEROL ACYLTRANSFERASE. These apolipoproteins are low in atherosclerotic patients. They are either absent or present in extremely low plasma concentration in TANGIER DISEASE.",0,0.809,0.0,0.0,0.0,0.0429,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,0.12,0.12,2
Apolipoprotein A Blood biochemistry,C0085201,Apolipoprotein A-I,"Apolipoprotein A-I. The most abundant protein component of HIGH DENSITY LIPOPROTEINS or HDL. This protein serves as an acceptor for CHOLESTEROL released from cells thus promoting efflux of cholesterol to HDL then to the LIVER for excretion from the body (reverse cholesterol transport). It also acts as a cofactor for LECITHIN CHOLESTEROL ACYLTRANSFERASE that forms CHOLESTEROL ESTERS on the HDL particles. Mutations of this gene APOA1 cause HDL deficiency, such as in FAMILIAL ALPHA LIPOPROTEIN DEFICIENCY DISEASE and in some patients with TANGIER DISEASE.",0,0.775,0.0,0.0,0.0,0.0429,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,0.12,0.12,2
Apolipoprotein A Blood biochemistry,C0003591,Apolipoproteins,Apolipoproteins. Protein components on the surface of LIPOPROTEINS. They form a layer surrounding the hydrophobic lipid core. There are several classes of apolipoproteins with each playing a different role in lipid transport and LIPID METABOLISM. These proteins are synthesized mainly in the LIVER and the INTESTINES.,0,0.693,0.0,0.0,0.0,0.0429,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,0.12,0.12,2
Alcohol intake frequency. Daily or almost daily,C3841784,Daily or Almost Daily Response,Daily or Almost Daily Response. A subjective response that something happens daily or almost daily.,0,0.461,0.0,1.0,0.5,0.0419,0.0,0.057,0.0015,Alcohol intake frequency._Daily or almost daily,1.31,21296,Alcohol intake frequency._Daily or almost daily >= 0.50,0.02,0.02,99
