feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
Urate,C0729829,Urate level - finding,Urate level - finding. ,0,0.759,0.0,0.0,0.0,0.8095,0.0,0.214,0.0667,Urate,4.68,1792,2.10 <= Urate < 2.90,0.11,0.11,2
Urate,C0935936,Urate,"Urate. 2,6,8-trioxypurine.",0,0.778,0.0,0.0,0.0,0.8095,0.0,0.214,0.0667,Urate,4.68,1792,2.10 <= Urate < 2.90,0.11,0.11,2
medication allopurinol,C0002144,allopurinol,allopurinol. A XANTHINE OXIDASE inhibitor that decreases URIC ACID production. It also acts as an antimetabolite on some simpler organisms.,0,0.884,0.0,0.0,0.0,0.3057,0.0,0.392,0.0414,Treatment/medication code | Array 0__allopurinol,6.97,3425,Treatment/medication code | Array 0__allopurinol >= 0.50,0.07,0.07,2
Number of self-reported non-cancer illnesses,C2700446,Self-Report,Self-Report. An individual's perspective or subjective interpretation of an event or information.,0,0.411,0.0,0.0,0.0,0.0883,0.0,0.138,0.0101,Number of self-reported non-cancer illnesses,2.36,1149,Number of self-reported non-cancer illnesses >= 3.00,0.08,0.08,2
Home area population density - urban or rural Scotland - Large Urban Area,C0178587,density,density. The amount of something per unit size.,0,0.243,0.0,0.0,0.0,0.0804,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.03,0.08,2
Home area population density - urban or rural Scotland - Large Urban Area,C0442529,Urban environment,"Urban environment. A delineated geographic area encompassing residential, commercial, and other non-residential urban land uses with a residential population of 50,000 or more people and a density of 1,000 people or more per square mile.",0,0.319,0.0,0.0,0.0,0.0804,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.03,0.08,4
Home area population density - urban or rural Scotland - Large Urban Area,C0724128,Urban tradename,Urban tradename. ,0,0.15,0.0,0.0,0.0,0.0804,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.03,0.08,99
Home area population density - urban or rural Scotland - Large Urban Area,C2700386,Urban - qualifier,"Urban - qualifier. Relating to, located in, or characteristic of a city or densely populated area.",0,0.387,0.0,0.0,0.0,0.0804,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.03,0.08,99
Home area population density - urban or rural Scotland - Large Urban Area,C0549177,Large,"Large. Of considerable or relatively great size, extent, or capacity.",0,0.273,0.0,0.0,0.0,0.0804,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.03,0.08,2
Home area population density - urban or rural Scotland - Large Urban Area,C1416798,LARGE1 gene,LARGE1 gene. ,0,0.184,0.0,0.0,0.0,0.0804,0.0,-0.052,0.0018,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,-0.03,0.08,2
gout,C0018099,Gout,"Gout. Metabolic disorder characterized by recurrent acute arthritis, hyperuricemia and deposition of sodium urate in and around the joints, sometimes with formation of URIC ACID calculi.",0,0.708,0.0,0.0,0.0,0.0604,0.0,0.223,0.0132,"Non-cancer illness code, self-reported | Array 1__gout",6.78,1215,"Non-cancer illness code, self-reported | Array 1__gout >= 0.50",0.0,0.0,2
Apolipoprotein A Blood biochemistry,C0003592,Apolipoproteins A,"Apolipoproteins A. Structural proteins of the alpha-lipoproteins (HIGH DENSITY LIPOPROTEINS), including APOLIPOPROTEIN A-I and APOLIPOPROTEIN A-II. They can modulate the activity of LECITHIN CHOLESTEROL ACYLTRANSFERASE. These apolipoproteins are low in atherosclerotic patients. They are either absent or present in extremely low plasma concentration in TANGIER DISEASE.",0,0.809,0.0,0.0,0.0,0.054,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,-0.07,-0.07,2
Apolipoprotein A Blood biochemistry,C0085201,Apolipoprotein A-I,"Apolipoprotein A-I. The most abundant protein component of HIGH DENSITY LIPOPROTEINS or HDL. This protein serves as an acceptor for CHOLESTEROL released from cells thus promoting efflux of cholesterol to HDL then to the LIVER for excretion from the body (reverse cholesterol transport). It also acts as a cofactor for LECITHIN CHOLESTEROL ACYLTRANSFERASE that forms CHOLESTEROL ESTERS on the HDL particles. Mutations of this gene APOA1 cause HDL deficiency, such as in FAMILIAL ALPHA LIPOPROTEIN DEFICIENCY DISEASE and in some patients with TANGIER DISEASE.",0,0.775,0.0,0.0,0.0,0.054,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,-0.07,-0.07,2
Apolipoprotein A Blood biochemistry,C0003591,Apolipoproteins,Apolipoproteins. Protein components on the surface of LIPOPROTEINS. They form a layer surrounding the hydrophobic lipid core. There are several classes of apolipoproteins with each playing a different role in lipid transport and LIPID METABOLISM. These proteins are synthesized mainly in the LIVER and the INTESTINES.,0,0.693,0.0,0.0,0.0,0.054,0.0127,-0.012,0.0102,Apolipoprotein A Blood biochemistry,1.15,7980,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,-0.07,-0.07,2
LDL direct Blood biochemistry,C0023823,Low-Density Lipoproteins,"Low-Density Lipoproteins. A class of lipoproteins of small size (18-25 nm) and light (1.019-1.063 g/ml) particles with a core composed mainly of CHOLESTEROL ESTERS and smaller amounts of TRIGLYCERIDES. The surface monolayer consists mostly of PHOSPHOLIPIDS, a single copy of APOLIPOPROTEIN B-100, and free cholesterol molecules. The main LDL function is to transport cholesterol and cholesterol esters to extrahepatic tissues.",0,0.715,0.0,0.0,0.0,0.0458,0.0,-0.06,0.0297,LDL direct Blood biochemistry,1.34,9470,-2.70 <= LDL direct Blood biochemistry < -1.30,-0.12,-0.12,2
LDL direct Blood biochemistry,C0023169,LDL-1,LDL-1. Low-density lipoprotein particles with density between 1.019 and 1.045 g/ml.,0,0.612,0.0,0.0,0.0,0.0458,0.0,-0.06,0.0297,LDL direct Blood biochemistry,1.34,9470,-2.70 <= LDL direct Blood biochemistry < -1.30,-0.12,-0.12,2
LDL direct Blood biochemistry,C0023170,LDL-2,LDL-2. Low-density lipoprotein particles with density between 1.045 and 1.063 g/ml.,0,0.611,0.0,0.0,0.0,0.0458,0.0,-0.06,0.0297,LDL direct Blood biochemistry,1.34,9470,-2.70 <= LDL direct Blood biochemistry < -1.30,-0.12,-0.12,2
"Long-standing illness, disability or infirmity",C0231170,Disability,Disability. Any physical or mental impairment that interferes with an individual's ability to perform desired activities.,0,0.495,0.0,0.0,0.0,0.0384,0.0,-0.087,0.0038,"Long-standing illness, disability or infirmity_No",1.28,42073,"Long-standing illness, disability or infirmity_No < 0.50",0.0,0.0,2
"Long-standing illness, disability or infirmity",C0231172,handicapping condition,handicapping condition. ,0,0.617,0.0,0.0,0.0,0.0384,0.0,-0.087,0.0038,"Long-standing illness, disability or infirmity_No",1.28,42073,"Long-standing illness, disability or infirmity_No < 0.50",0.0,0.0,2
Haemoglobin concentration,C0019016,Hemoglobin A,Hemoglobin A. Normal adult human hemoglobin. The globin moiety consists of two alpha and two beta chains.,0,0.479,0.0,1.0,0.3,0.0357,0.0,-0.01,0.0064,Haemoglobin concentration,1.64,1465,-2.80 <= Haemoglobin concentration < -2.10,-0.01,-0.01,2
Haemoglobin concentration,C0019020,Hemoglobin C,Hemoglobin C. A commonly occurring abnormal hemoglobin in which lysine replaces a glutamic acid residue at the sixth position of the beta chains. It results in reduced plasticity of erythrocytes.,0,0.614,0.0,1.0,0.3,0.0357,0.0,-0.01,0.0064,Haemoglobin concentration,1.64,1465,-2.80 <= Haemoglobin concentration < -2.10,-0.01,-0.01,2
Coffee intake,C1512806,Intake,"Intake. The process of taking in a substance, especially by eating or drinking, or the quantities thereof; admittance of people to a place or organization at a particular time.",0,0.474,0.0,1.0,0.3,0.0327,0.0,-0.049,0.0014,Coffee intake,1.17,25859,-1.20 <= Coffee intake < -0.71,0.06,0.19,99
Coffee intake,C3251814,Fluid Intake Measurement,Fluid Intake Measurement. Actions performed to measure the amount of fluid volume taken into the body,0,0.363,0.0,1.0,0.3,0.0327,0.0,-0.049,0.0014,Coffee intake,1.17,25859,-1.20 <= Coffee intake < -0.71,0.06,0.19,99
Urea,C0041942,urea,urea. A compound formed in the liver from ammonia produced by the deamination of amino acids. It is the principal end product of protein catabolism and constitutes about one half of the total urinary solids.,0,0.778,0.0,0.0,0.0,0.0321,0.0,0.092,0.0172,Urea,2.39,1761,1.90 <= Urea < 2.70,0.01,0.01,2
Microalbumin in urine,C2362049,Microalbumin,"Microalbumin. Albumin protein in urine samples, which is a marker for kidney dysfunction. Persistently elevated concentrations of albumin in the urine can be diagnostic for kidney damage caused by diabetes, high blood pressure, heart failure, cirrhosis, or lupus.",0,0.856,0.0,0.0,0.0,0.0307,0.0,0.016,0.0218,Microalbumin in urine,2.64,1415,0.85 <= Microalbumin in urine < 7.50,-0.06,-0.06,2
Microalbumin in urine,C0042036,Urine,"Urine. Liquid by-product of excretion produced in the kidneys, temporarily stored in the bladder until discharge through the URETHRA.",0,0.597,0.0,0.0,0.0,0.0307,0.0,0.016,0.0218,Microalbumin in urine,2.64,1415,0.85 <= Microalbumin in urine < 7.50,-0.06,-0.06,2
Microalbumin in urine,C0042037,In Urine,"In Urine. Used for the presence or analysis of substances in the urine, and also for the examination of, or changes in, the urine in disease.",0,0.516,0.0,0.0,0.0,0.0307,0.0,0.016,0.0218,Microalbumin in urine,2.64,1415,0.85 <= Microalbumin in urine < 7.50,-0.06,-0.06,99
Z51.5 - Palliative care,C0557533,Hospice and Palliative Care Nursing,"Hospice and Palliative Care Nursing. A nursing specialty concerned with care of patients facing serious or life-threatening illnesses. The goal of palliative nursing is to prevent and relieve suffering, and to support the best possible quality of life for patients and their families. Hospice nursing is palliative care for people in their final stages of life.",0,0.529,0.0,1.0,0.5,0.0241,0.7013,-0.004,0.0013,Z51.5 - Palliative care,1.02,90035,-0.46 <= Z51.5 - Palliative care < 0.85,0.18,0.18,3
(MS) multiple sclerosis genetic risk,C0026221,Mississippi (geographic location),"Mississippi (geographic location). State bounded on the north by Tennessee, on the east by Alabama, on the south by Louisiana and Gulf of Mexico, and on the west by Arkansas and Louisiana.",0,0.234,0.0,0.0,0.0,0.0227,0.0011,0.011,0.3067,(MS) multiple sclerosis genetic risk,1.18,2699,(MS) multiple sclerosis genetic risk >= 2.10,0.01,0.01,99
(MS) multiple sclerosis genetic risk,C0026269,Mitral Valve Stenosis,"Mitral Valve Stenosis. Narrowing of the passage through the MITRAL VALVE due to FIBROSIS, and CALCINOSIS in the leaflets and chordal areas. This elevates the left atrial pressure which, in turn, raises pulmonary venous and capillary pressure leading to bouts of DYSPNEA and TACHYCARDIA during physical exertion. RHEUMATIC FEVER is its primary cause.",0,0.244,0.0,0.0,0.0,0.0227,0.0011,0.011,0.3067,(MS) multiple sclerosis genetic risk,1.18,2699,(MS) multiple sclerosis genetic risk >= 2.10,0.01,0.01,2
(MS) multiple sclerosis genetic risk,C0026769,Multiple Sclerosis,"Multiple Sclerosis. An autoimmune disorder mainly affecting young adults and characterized by destruction of myelin in the central nervous system. Pathologic findings include multiple sharply demarcated areas of demyelination throughout the white matter of the central nervous system. Clinical manifestations include visual loss, extra-ocular movement disorders, paresthesias, loss of sensation, weakness, dysarthria, spasticity, ataxia, and bladder dysfunction. The usual pattern is one of recurrent attacks followed by partial recovery (see MULTIPLE SCLEROSIS, RELAPSING-REMITTING), but acute fulminating and chronic progressive forms (see MULTIPLE SCLEROSIS, CHRONIC PROGRESSIVE) also occur. (Adams et al., Principles of Neurology, 6th ed, p903)",0,0.685,0.0,0.0,0.0,0.0227,0.0011,0.011,0.3067,(MS) multiple sclerosis genetic risk,1.18,2699,(MS) multiple sclerosis genetic risk >= 2.10,0.01,0.01,2
(MS) multiple sclerosis genetic risk,C1517512,Genetic Risk,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.602,0.0,0.0,0.0,0.0227,0.0011,0.011,0.3067,(MS) multiple sclerosis genetic risk,1.18,2699,(MS) multiple sclerosis genetic risk >= 2.10,0.01,0.01,2
Z92.1 - Personal history of long-term (current) use of anticoagulants,C0262926,Medical History,"Medical History. A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies.",0,0.399,0.0,0.0,0.0,0.0187,0.0112,0.001,0.0017,Z92.1 - Personal history of long-term (current) use of anticoagulants,1.66,2685,Z92.1 - Personal history of long-term (current) use of anticoagulants >= 1.30,0.09,0.11,2
Z92.1 - Personal history of long-term (current) use of anticoagulants,C0424945,Social and personal history,Social and personal history. ,0,0.298,0.0,0.0,0.0,0.0187,0.0112,0.001,0.0017,Z92.1 - Personal history of long-term (current) use of anticoagulants,1.66,2685,Z92.1 - Personal history of long-term (current) use of anticoagulants >= 1.30,0.09,0.11,99
Z92.1 - Personal history of long-term (current) use of anticoagulants,C0003280,Anticoagulants,Anticoagulants. Agents that prevent BLOOD CLOTTING.,0,0.52,0.0,0.0,0.0,0.0187,0.0112,0.001,0.0017,Z92.1 - Personal history of long-term (current) use of anticoagulants,1.66,2685,Z92.1 - Personal history of long-term (current) use of anticoagulants >= 1.30,0.09,0.11,2
Arthropathy NOS,C0022408,Arthropathy,Arthropathy. Diseases involving the JOINTS.,0,0.952,0.0,0.0,0.0,0.0168,0.0952,-0.004,0.0009,Arthropathy NOS,1.52,1456,-4.50 <= Arthropathy NOS < -1.90,-0.06,-0.06,2
Triglycerides,C0041004,Triglycerides,Triglycerides. An ester formed from GLYCEROL and three fatty acid groups.,0,0.904,0.0,0.0,0.0,0.0165,0.0,0.084,0.0394,Triglycerides,1.92,2452,Triglycerides >= 2.50,0.03,0.03,2
Triglycerides,C0202236,Triglycerides measurement,Triglycerides measurement. A quantitative measurement of the amount of triglyceride present in a sample.,0,0.808,0.0,0.0,0.0,0.0165,0.0,0.084,0.0394,Triglycerides,1.92,2452,Triglycerides >= 2.50,0.03,0.03,99
SHBG,C0036883,Sex Hormone-Binding Globulin,"Sex Hormone-Binding Globulin. A glycoprotein migrating as a beta-globulin. Its molecular weight, 52,000 or 95,000-115,000, indicates that it exists as a dimer. The protein binds testosterone, dihydrotestosterone, and estradiol in the plasma. Sex hormone-binding protein has the same amino acid sequence as ANDROGEN-BINDING PROTEIN. They differ by their sites of synthesis and post-translational oligosaccharide modifications.",0,0.45,0.0,0.0,0.0,0.0145,0.0,-0.071,0.0511,SHBG,1.68,2712,SHBG < -1.40,0.05,0.05,2
SHBG,C0312446,Somatotropin binding globulin,Somatotropin binding globulin. ,0,0.518,0.0,0.0,0.0,0.0145,0.0,-0.071,0.0511,SHBG,1.68,2712,SHBG < -1.40,0.05,0.05,99
SHBG,C1366439,SHBG gene,SHBG gene. This gene is involved in the regulation of steroid hormones.,0,0.622,0.0,0.0,0.0,0.0145,0.0,-0.071,0.0511,SHBG,1.68,2712,SHBG < -1.40,0.05,0.05,2
Birth weight,C0005612,Birth Weight,Birth Weight. The mass or quantity of heaviness of an individual at BIRTH. It is expressed by units of pounds or kilograms.,0,0.866,0.0,0.0,0.0,0.0142,0.0,-0.017,0.0017,Birth weight,1.03,72146,-3.70 <= Birth weight < 0.07,-0.14,-0.14,2
Birth weight,C0024032,Low Birth Weights,Low Birth Weights. A birth weight that is less than 2500 grams.,0,0.722,0.0,0.0,0.0,0.0142,0.0,-0.017,0.0017,Birth weight,1.03,72146,-3.70 <= Birth weight < 0.07,-0.14,-0.14,2
Chronic renal failure [CKD],C0022661,"Kidney Failure, Chronic","Kidney Failure, Chronic. The end-stage of CHRONIC RENAL INSUFFICIENCY. It is characterized by the severe irreversible kidney damage (as measured by the level of PROTEINURIA) and the reduction in GLOMERULAR FILTRATION RATE to less than 15 ml per min (Kidney Foundation: Kidney Disease Outcome Quality Initiative, 2002). These patients generally require HEMODIALYSIS or KIDNEY TRANSPLANTATION.",0,0.805,0.0,0.0,0.0,0.0137,0.0657,0.025,0.0027,Chronic renal failure [CKD],0.97,89920,-0.59 <= Chronic renal failure [CKD] < 0.34,0.02,0.02,2
Chronic renal failure [CKD],C1561643,Chronic Kidney Diseases,Chronic Kidney Diseases. Impairment of the renal function secondary to chronic kidney damage persisting for three or more months.,0,0.72,0.0,0.0,0.0,0.0137,0.0657,0.025,0.0027,Chronic renal failure [CKD],0.97,89920,-0.59 <= Chronic renal failure [CKD] < 0.34,0.02,0.02,2
Chronic renal failure [CKD],C2316810,Chronic kidney disease stage 5,Chronic kidney disease stage 5. Long-standing and persistent renal disease with glomerular filtration rate (GFR) less than 15 ml/min.,0,0.532,0.0,0.0,0.0,0.0137,0.0657,0.025,0.0027,Chronic renal failure [CKD],0.97,89920,-0.59 <= Chronic renal failure [CKD] < 0.34,0.02,0.02,2
(HDL) high density lipoprotein cholesterol genetic risk,C0023821,High Density Lipoproteins,"High Density Lipoproteins. A class of lipoproteins of small size (4-13 nm) and dense (greater than 1.063 g/ml) particles. HDL lipoproteins, synthesized in the liver without a lipid core, accumulate cholesterol esters from peripheral tissues and transport them to the liver for re-utilization or elimination from the body (the reverse cholesterol transport). Their major protein component is APOLIPOPROTEIN A-I. HDL also shuttle APOLIPOPROTEINS C and APOLIPOPROTEINS E to and from triglyceride-rich lipoproteins during their catabolism. HDL plasma level has been inversely correlated with the risk of cardiovascular diseases.",0,0.479,0.0,0.0,0.0,0.0136,0.0,-0.021,0.307,(HDL) high density lipoprotein cholesterol genetic risk,1.15,7182,(HDL) high density lipoprotein cholesterol genetic risk < -1.40,0.03,0.03,2
(HDL) high density lipoprotein cholesterol genetic risk,C3715113,HSD11B1 wt Allele,"HSD11B1 wt Allele. Human HSD11B1 wild-type allele is located within 1q32-q41 and is approximately 49 kb in length. This allele, which encodes corticosteroid 11-beta-dehydrogenase isozyme 1 protein, plays a role in the metabolism of cortisol. Mutation of the gene is associated with cortisone reductase deficiency.",0,0.321,0.0,0.0,0.0,0.0136,0.0,-0.021,0.307,(HDL) high density lipoprotein cholesterol genetic risk,1.15,7182,(HDL) high density lipoprotein cholesterol genetic risk < -1.40,0.03,0.03,2
(HDL) high density lipoprotein cholesterol genetic risk,C0062709,"Lipoproteins, HDL2","Lipoproteins, HDL2. Low-density subclass of the high-density lipoproteins, with particle sizes between 8 to 13 nm.",0,0.423,0.0,0.0,0.0,0.0136,0.0,-0.021,0.307,(HDL) high density lipoprotein cholesterol genetic risk,1.15,7182,(HDL) high density lipoprotein cholesterol genetic risk < -1.40,0.03,0.03,2
(HDL) high density lipoprotein cholesterol genetic risk,C1517512,Genetic Risk,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.753,0.0,0.0,0.0,0.0136,0.0,-0.021,0.307,(HDL) high density lipoprotein cholesterol genetic risk,1.15,7182,(HDL) high density lipoprotein cholesterol genetic risk < -1.40,0.03,0.03,2
Apolipoprotein A1,C0085201,Apolipoprotein A-I,"Apolipoprotein A-I. The most abundant protein component of HIGH DENSITY LIPOPROTEINS or HDL. This protein serves as an acceptor for CHOLESTEROL released from cells thus promoting efflux of cholesterol to HDL then to the LIVER for excretion from the body (reverse cholesterol transport). It also acts as a cofactor for LECITHIN CHOLESTEROL ACYLTRANSFERASE that forms CHOLESTEROL ESTERS on the HDL particles. Mutations of this gene APOA1 cause HDL deficiency, such as in FAMILIAL ALPHA LIPOPROTEIN DEFICIENCY DISEASE and in some patients with TANGIER DISEASE.",0,0.887,0.0,0.0,0.0,0.0133,0.007,0.004,0.0564,Apolipoprotein A1,1.31,2405,2.40 <= Apolipoprotein A1 < 5.30,-0.04,-0.04,2
Apolipoprotein A1,C1412468,APOA1 gene,APOA1 gene. This gene is involved in cholesterol transport and metabolism.,0,0.758,0.0,0.0,0.0,0.0133,0.007,0.004,0.0564,Apolipoprotein A1,1.31,2405,2.40 <= Apolipoprotein A1 < 5.30,-0.04,-0.04,2
Apolipoprotein A1,C1677784,"APOA1 protein, human","APOA1 protein, human. Apolipoprotein A-I (267 aa, ~31 kDa) is encoded by the human APOA1 gene. This protein is involved in the transport and metabolism of cholesterol.",0,0.845,0.0,0.0,0.0,0.0133,0.007,0.004,0.0564,Apolipoprotein A1,1.31,2405,2.40 <= Apolipoprotein A1 < 5.30,-0.04,-0.04,99
Home area population density - urban or rural Scotland - Other Urban Area,C0178587,density,density. The amount of something per unit size.,0,0.276,0.0,0.0,0.0,0.0126,0.0,-0.027,0.0005,Home area population density - urban or rural_Scotland - Other Urban Area,1.01,90570,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,-0.03,0.05,2
Home area population density - urban or rural Scotland - Other Urban Area,C0442529,Urban environment,"Urban environment. A delineated geographic area encompassing residential, commercial, and other non-residential urban land uses with a residential population of 50,000 or more people and a density of 1,000 people or more per square mile.",0,0.339,0.0,0.0,0.0,0.0126,0.0,-0.027,0.0005,Home area population density - urban or rural_Scotland - Other Urban Area,1.01,90570,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,-0.03,0.05,4
Home area population density - urban or rural Scotland - Other Urban Area,C0724128,Urban tradename,Urban tradename. ,0,0.187,0.0,0.0,0.0,0.0126,0.0,-0.027,0.0005,Home area population density - urban or rural_Scotland - Other Urban Area,1.01,90570,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,-0.03,0.05,99
Home area population density - urban or rural Scotland - Other Urban Area,C2700386,Urban - qualifier,"Urban - qualifier. Relating to, located in, or characteristic of a city or densely populated area.",0,0.386,0.0,0.0,0.0,0.0126,0.0,-0.027,0.0005,Home area population density - urban or rural_Scotland - Other Urban Area,1.01,90570,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,-0.03,0.05,99
Home area population density - urban or rural Scotland - Other Urban Area,C0178876,urban area,"urban area. of, relating to, or located in a city area.",0,0.334,0.0,0.0,0.0,0.0126,0.0,-0.027,0.0005,Home area population density - urban or rural_Scotland - Other Urban Area,1.01,90570,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,-0.03,0.05,2
(RA) rheumatoid arthritis genetic risk,C0003873,Rheumatoid Arthritis,"Rheumatoid Arthritis. A chronic systemic disease, primarily of the joints, marked by inflammatory changes in the synovial membranes and articular structures, widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, and by atrophy and rarefaction of bony structures. Etiology is unknown, but autoimmune mechanisms have been implicated.",0,0.659,0.0,0.0,0.0,0.0122,0.1424,0.003,0.3073,(RA) rheumatoid arthritis genetic risk,1.09,6905,1.50 <= (RA) rheumatoid arthritis genetic risk < 3.70,0.08,0.08,2
(RA) rheumatoid arthritis genetic risk,C0038013,Ankylosing spondylitis,"Ankylosing spondylitis. A chronic inflammatory condition affecting the axial joints, such as the SACROILIAC JOINT and other intervertebral or costovertebral joints. It occurs predominantly in young males and is characterized by pain and stiffness of joints (ANKYLOSIS) with inflammation at tendon insertions.",0,0.422,0.0,0.0,0.0,0.0122,0.1424,0.003,0.3073,(RA) rheumatoid arthritis genetic risk,1.09,6905,1.50 <= (RA) rheumatoid arthritis genetic risk < 3.70,0.08,0.08,2
(RA) rheumatoid arthritis genetic risk,C1517512,Genetic Risk,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.602,0.0,0.0,0.0,0.0122,0.1424,0.003,0.3073,(RA) rheumatoid arthritis genetic risk,1.09,6905,1.50 <= (RA) rheumatoid arthritis genetic risk < 3.70,0.08,0.08,2
Essential hypertension,C0085580,Essential Hypertension,"Essential Hypertension. Hypertension that occurs without known cause, or preexisting renal disease. Associated polymorphisms for a number of genes have been identified, including AGT, GNB3, and ECE1. OMIM: 145500",0,0.751,0.0,0.0,0.0,0.0122,0.0,-0.021,0.0038,Essential hypertension,1.68,5491,-3.90 <= Essential hypertension < -1.50,0.01,0.01,2
Atrial fibrillation and flutter,C0004238,Atrial Fibrillation,"Atrial Fibrillation. Abnormal cardiac rhythm that is characterized by rapid, uncoordinated firing of electrical impulses in the upper chambers of the heart (HEART ATRIA). In such case, blood cannot be effectively pumped into the lower chambers of the heart (HEART VENTRICLES). It is caused by abnormal impulse generation.",0,0.828,0.0,0.0,0.0,0.012,0.1973,-0.001,0.002,Atrial fibrillation and flutter,2.0,1394,-5.10 <= Atrial fibrillation and flutter < -1.20,0.0,0.0,2
Atrial fibrillation and flutter,C0344434,Atrial Fibrillation by ECG Finding,"Atrial Fibrillation by ECG Finding. An electrocardiographic finding of a supraventricular arrhythmia characterized by the replacement of consistent P waves by rapid oscillations or fibrillatory waves that vary in size, shape and timing and are accompanied by an irregularly irregular ventricular response. (CDISC)",0,0.653,0.0,0.0,0.0,0.012,0.1973,-0.001,0.002,Atrial fibrillation and flutter,2.0,1394,-5.10 <= Atrial fibrillation and flutter < -1.20,0.0,0.0,99
Atrial fibrillation and flutter,C0016385,Cardiac Flutter,Cardiac Flutter. ,0,0.783,0.0,0.0,0.0,0.012,0.1973,-0.001,0.002,Atrial fibrillation and flutter,2.0,1394,-5.10 <= Atrial fibrillation and flutter < -1.20,0.0,0.0,2
Atrial fibrillation and flutter,C2242390,Flutter (respiratory device),Flutter (respiratory device). ,0,0.541,0.0,0.0,0.0,0.012,0.1973,-0.001,0.002,Atrial fibrillation and flutter,2.0,1394,-5.10 <= Atrial fibrillation and flutter < -1.20,0.0,0.0,99
Albumin,C0001924,Albumins,"Albumins. Water-soluble proteins found in egg whites, blood, lymph, and other tissues and fluids. They coagulate upon heating.",0,0.835,0.0,0.0,0.0,0.0116,0.0785,-0.003,0.0705,Albumin,1.36,1072,Albumin < -2.80,-0.05,-0.05,2
