Query,feature_name,cui,cui_def,KG_Hits,sim_score,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
3-Hydroxybutyrate,3-Hydroxybutyrate,C0106006,3-Hydroxybutyrate. A hydroxy fatty acid anion and ketone body synthesized in the liver from acetyl-Coenzyme A (acetyl-CoA) by the enzyme 3-hydroxybutyrate dehydrogenase. 3-hydroxybutyrate can be used as an energy source when glucose levels drop. Elevated urine and serum levels of 3-hydroxybutyrate are seen in ketosis and ketoacidosis.,0,0.767,0.0,0.0,0.001,0.173,-0.002,0.0,3-Hydroxybutyrate,1.21,346,2.70 <= 3-Hydroxybutyrate < 2.90,-0.0,0.02,2,1,0.0,(Cholelithiasis) OR (Gallbladder disease),9776,75025,5,0.0,-1.987,0.0,1.0
Abdomen+Pelvis>Ureter,ureter,C4483893,Abdomen+Pelvis>Ureter. ,0,0.776,0.0,0.0,0.0,0.008,0.006,0.001,"Non-cancer illness code, self-reported | Array 1__ureter",1.39,450,"Non-cancer illness code, self-reported | Array 1__ureter >= 0.12",0.16,0.22,99,253,inf,(Cholelithiasis) OR (Gallbladder disease),21,75025,0,0.958,0.0,0.0,0.0
Abnormal degeneration,Eye problems/disorders Diabetes related eye disease|Macular degeneration,C0011164,Abnormal degeneration. ,0,0.349,0.0,0.0,0.0,0.036,0.005,0.0,Eye problems/disorders_Diabetes related eye disease|Macular degeneration,1.0,189563,Eye problems/disorders_Diabetes related eye disease|Macular degeneration < 0.50,0.22,0.28,2,181,0.05,(Cholelithiasis) OR (Gallbladder disease),24495,75025,32,0.005,-0.634,0.0,1.0
Abnormal vision,Eye problems/disorders Injury or trauma resulting in loss of vision,C3665386,Abnormal vision. Disturbance of eyesight.,0,0.706,0.0,0.0,0.0,0.006,0.006,0.0,Eye problems/disorders_Injury or trauma resulting in loss of vision,1.29,906,Eye problems/disorders_Injury or trauma resulting in loss of vision >= 0.50,0.17,0.17,2,121,17.29,(Cholelithiasis) OR (Gallbladder disease),17097,75025,7,0.0,-2.308,0.0,1.0
Absence (morphologic abnormality),Z90.4 - Acquired absence of other parts of digestive tract,C1689985,Absence (morphologic abnormality). ,0,0.252,0.0,0.0,0.0,0.073,0.004,0.0,Z90.4 - Acquired absence of other parts of digestive tract,1.71,290,Z90.4 - Acquired absence of other parts of digestive tract >= 7.70,0.22,0.22,99,28,inf,(Cholelithiasis) OR (Gallbladder disease),2573,75025,3,0.236,-0.798,0.0,1.0
Accidental Falls,Falls in the last year Only one fall,C0000921,Accidental Falls. Falls due to slipping or tripping which may result in injury.,0,0.486,0.0,0.0,0.001,0.065,0.004,0.003,Falls in the last year_Only one fall,1.03,27367,Falls in the last year_Only one fall >= 0.50,-0.05,-0.05,2,205,2.56,(Cholelithiasis) OR (Gallbladder disease),30738,75025,8,0.0,-2.962,0.0,3.0
Accidental Falls,Falls in the last year More than one fall,C0000921,Accidental Falls. Falls due to slipping or tripping which may result in injury.,0,0.653,0.0,0.0,0.0,0.0,0.02,0.0,Falls in the last year_More than one fall,1.21,15437,Falls in the last year_More than one fall >= 0.50,0.04,0.12,2,205,2.56,(Cholelithiasis) OR (Gallbladder disease),30738,75025,8,0.0,-2.962,0.0,3.0
Accidental Falls,Falls in the last year No falls,C0000921,Accidental Falls. Falls due to slipping or tripping which may result in injury.,0,0.385,0.0,0.0,0.0,0.0,-0.016,0.033,Falls in the last year_No falls,1.09,43881,Falls in the last year_No falls < 0.50,-0.05,-0.05,2,205,2.56,(Cholelithiasis) OR (Gallbladder disease),30738,75025,8,0.0,-2.962,0.0,3.0
Accountant,Job code at visit accountants,C0000937,Accountant. ,0,0.686,0.0,0.0,0.0,0.001,-0.008,0.0,Job code at visit__accountants,1.0,188779,Job code at visit__accountants < 0.23,0.02,0.02,3,0,0.0,(Cholelithiasis) OR (Gallbladder disease),70962,75025,15,0.0,-3.262,0.0,2.0
Accountant,Job code at visit certified accountants,C0000937,Accountant. ,0,0.619,0.0,0.0,0.0,0.001,-0.008,0.0,Job code at visit__certified accountants,1.0,188866,Job code at visit__certified accountants < 0.23,-0.02,-0.02,3,0,0.0,(Cholelithiasis) OR (Gallbladder disease),70962,75025,15,0.0,-3.262,0.0,2.0
