feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,shortest_path_length,simple_path_length,Novel/Interesting?,Makes Sense?,COMMENTS
Arm fat percentage,Arm fat percentage (left),0.09,0,0.054,0.002,0,1.9,Arm fat percentage (left) >= 2.70,822,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Apolipoprotein A Blood biochemistry,Apolipoprotein A Blood biochemistry,0.056,0,-0.038,0,0,1.89,#NAME?,1167,(Cholelithiasis) OR (Gallbladder disease),0.809,2,90,,,
Overall health rating Fair,Overall health rating_Fair,0.03,0,0.037,0.007,0,1.2,Overall health rating_Fair >= 0.50,42,(Cholelithiasis) OR (Gallbladder disease),0.398,99,137,,,
Mouth/teeth dental problems Dentures,Mouth/teeth dental problems_Dentures,0.025,0,0.026,0.003,0,1.2,Mouth/teeth dental problems_Dentures >= 0.50,55616,(Cholelithiasis) OR (Gallbladder disease),0.776,2,155,,,
Z51.5 - Palliative care,Z51.5 - Palliative care,0.023,0.553,-0.002,0.002,0,1.01,#NAME?,6071,(Cholelithiasis) OR (Gallbladder disease),0.529,3,0,,,
Overall health rating Excellent,Overall health rating_Excellent,0.017,0,-0.036,0.003,0,1.04,Overall health rating_Excellent < 0.50,686,(Cholelithiasis) OR (Gallbladder disease),0.34,99,284,,,
Number of self reported non cancer illnesses,Number of self-reported non-cancer illnesses,0.015,0,0.048,0.006,0,1.6,Number of self-reported non-cancer illnesses >= 3.10,188,(Cholelithiasis) OR (Gallbladder disease),0.411,2,0,,,
Oily fish intake Never,Oily fish intake_Never,0.014,0,0.026,0.002,0,1.23,Oily fish intake_Never >= 0.50,45,(Cholelithiasis) OR (Gallbladder disease),0.532,2,230,,,
Leg fat free mass,Leg fat-free mass (right),0.012,0,-0.007,0.001,0,1.09,#NAME?,633,(Cholelithiasis) OR (Gallbladder disease),0.413,2,49,,,
Alcohol intake frequency One to three times a month,Alcohol intake frequency._One to three times a month,0.011,0,0.021,0.001,0,1.18,Alcohol intake frequency._One to three times a month >= 0.50,195,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Ethnic background British,Ethnic background_British,0.01,0,0.015,0.028,0,1.02,Ethnic background_British >= 0.50,4602,(Cholelithiasis) OR (Gallbladder disease),0.817,2,132,,,
