name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split
Arm fat percentage (left),0.09053,0.0,0.054,0.044,189607,0.00203,Arm fat percentage (left),1.9,463,0.46,Arm fat percentage (left) >= 2.70
Triglycerides Blood biochemistry,0.07146,0.0,0.038,0.031,189607,0.0,Triglycerides Blood biochemistry,1.32,184,0.13,-1.00 <= Triglycerides Blood biochemistry < -1.00
Alcohol intake frequency._Daily or almost daily,0.0579,0.0,-0.041,-0.041,189607,0.00431,Alcohol intake frequency._Daily or almost daily,1.06,153690,86.09,Alcohol intake frequency._Daily or almost daily < 0.50
Apolipoprotein A Blood biochemistry,0.0562,0.0,-0.038,-0.031,189607,0.00033,Apolipoprotein A Blood biochemistry,1.89,134,0.13,-1.40 <= Apolipoprotein A Blood biochemistry < -1.40
Alanine aminotransferase,0.04277,0.0,0.022,0.018,189607,0.00093,Alanine aminotransferase,1.27,121,0.08,Alanine aminotransferase < -1.30
Abdominal pain,0.03827,0.0,0.021,0.02,189607,0.0011,Abdominal pain,2.43,95,0.12,1.40 <= Abdominal pain < 1.50
Direct bilirubin,0.03366,0.0,0.011,0.009,189607,0.00142,Direct bilirubin,2.29,144,0.17,6.90 <= Direct bilirubin < 9.30
Overall health rating_Fair,0.02952,0.0,0.037,0.037,189607,0.00729,Overall health rating_Fair,1.2,47659,30.18,Overall health rating_Fair >= 0.50
"Long-standing illness, disability or infirmity_Yes",0.02609,0.0,0.043,0.043,189607,0.0154,"Long-standing illness, disability or infirmity_Yes",1.18,72176,44.74,"Long-standing illness, disability or infirmity_Yes >= 0.50"
Urea,0.02566,0.46846,-0.008,-0.006,189607,0.0008,Urea,1.63,915,0.79,3.70 <= Urea < 12.00
Mouth/teeth dental problems_Dentures,0.02497,0.0,0.026,0.026,189607,0.00291,Mouth/teeth dental problems_Dentures,1.2,28634,18.1,Mouth/teeth dental problems_Dentures >= 0.50
Alcohol intake frequency._Three or four times a week,0.02449,0.0,-0.026,-0.026,189607,0.00532,Alcohol intake frequency._Three or four times a week,1.04,149726,82.26,Alcohol intake frequency._Three or four times a week < 0.50
(LDL_SF) low density lipoprotein cholesterol genetic risk,0.02354,0.0,-0.012,-0.01,189607,0.0,(LDL_SF) low density lipoprotein cholesterol genetic risk,1.54,143,0.12,(LDL_SF) low density lipoprotein cholesterol genetic risk >= 3.00
Mineral and other dietary supplements_None of the above,0.02353,0.0,0.016,0.016,189607,0.02712,Mineral and other dietary supplements_None of the above,1.05,103425,57.02,Mineral and other dietary supplements_None of the above >= 0.50
Z51.5 - Palliative care,0.02304,0.55297,-0.002,-0.002,189607,0.00176,Z51.5 - Palliative care,1.01,187531,99.84,-0.63 <= Z51.5 - Palliative care < 1.00
had_disease_past,0.01973,0.0,0.045,0.045,189607,0.00263,had_disease_past,4.82,260,0.66,had_disease_past >= 13.00
Apolipoprotein A1,0.01858,0.0,-0.029,-0.025,189607,0.00125,Apolipoprotein A1,1.87,399,0.39,-2.50 <= Apolipoprotein A1 < -2.40
Chest pain or discomfort_No,0.01818,0.0,-0.036,-0.036,189607,0.03442,Chest pain or discomfort_No,1.23,37609,24.31,Chest pain or discomfort_No < 0.50
Weight change compared with 1 year ago_Yes - lost weight,0.01732,0.0,0.02,0.02,189607,0.00239,Weight change compared with 1 year ago_Yes - lost weight,1.15,30206,18.28,Weight change compared with 1 year ago_Yes - lost weight >= 0.50
Major dietary changes in the last 5 years_No,0.01731,0.0,-0.033,-0.033,189607,0.03096,Major dietary changes in the last 5 years_No,1.12,82699,48.8,Major dietary changes in the last 5 years_No < 0.50
Overall health rating_Excellent,0.01723,0.0,-0.036,-0.036,189607,0.00333,Overall health rating_Excellent,1.04,166044,91.36,Overall health rating_Excellent < 0.50
Overall health rating_Poor,0.01554,0.0,0.041,0.041,189607,0.00104,Overall health rating_Poor,1.5,11752,9.32,Overall health rating_Poor >= 0.50
Testosterone,0.01547,0.0,-0.018,-0.015,189607,0.0,Testosterone,1.68,98,0.09,0.35 <= Testosterone < 0.36
Number of self-reported non-cancer illnesses,0.01506,0.0,0.048,0.042,189607,0.00576,Number of self-reported non-cancer illnesses,1.6,2330,1.97,Number of self-reported non-cancer illnesses >= 3.10
Gastritis and duodenitis,0.01454,0.0,0.017,0.017,189607,0.00069,Gastritis and duodenitis,2.24,495,0.59,Gastritis and duodenitis >= 5.20
Had major operations_No,0.01453,0.0,-0.025,-0.025,189607,0.00268,Had major operations_No,1.03,164614,89.49,Had major operations_No < 0.50
Water intake,0.01434,0.02343,-0.005,-0.005,189607,0.00351,Water intake,1.04,27699,15.26,-1.40 <= Water intake < -0.94
Sleep - Overall average,0.01428,0.00323,0.015,0.014,189607,0.0,Sleep - Overall average,1.39,1989,1.46,1.50 <= Sleep - Overall average < 4.80
Oily fish intake_Never,0.01424,0.0,0.026,0.026,189607,0.00197,Oily fish intake_Never,1.23,20998,13.62,Oily fish intake_Never >= 0.50
Qualifications_None of the above,0.01339,0.0,0.032,0.032,189607,0.00437,Qualifications_None of the above,1.2,39471,24.88,Qualifications_None of the above >= 0.50
Mental health conditions ever diagnosed by a professional group group,0.01282,0.0,-0.027,-0.027,189607,0.00565,Mental health conditions ever diagnosed by a professional__group group,1.05,139336,77.17,Mental health conditions ever diagnosed by a professional__group group < 0.12
Nonspecific chest pain,0.01237,0.00404,0.006,0.006,189607,0.00155,Nonspecific chest pain,1.73,644,0.59,Nonspecific chest pain >= 4.90
Diaphragmatic hernia,0.01228,0.00015,0.014,0.014,189607,0.0016,Diaphragmatic hernia,1.66,2276,2.0,Diaphragmatic hernia >= 3.70
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",0.0121,0.19615,-0.003,-0.003,189607,0.00041,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",1.0,183225,96.8,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication < 0.50"
Had other major operations_None,0.01197,0.0,-0.024,-0.024,189607,0.01701,Had other major operations_None,1.06,111784,62.75,Had other major operations_None < 0.50
Haemoglobin concentration,0.01184,0.06386,-0.006,-0.005,189607,0.0,Haemoglobin concentration,1.53,395,0.32,2.10 <= Haemoglobin concentration < 2.20
(BMI) Body mass index (p21001),0.01164,0.0,0.044,0.036,189607,0.0009,(BMI) Body mass index (p21001),1.72,781,0.71,(BMI) Body mass index (p21001) >= 3.80
Leg fat-free mass (right),0.01152,0.00052,-0.007,-0.006,189607,0.00059,Leg fat-free mass (right),1.09,40869,23.58,-0.53 <= Leg fat-free mass (right) < 0.07
Total bilirubin,0.0115,0.00028,-0.005,-0.004,189607,0.0,Total bilirubin,1.47,1427,1.11,2.30 <= Total bilirubin < 2.60
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication",0.0114,0.27675,0.002,0.002,189607,0.0,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication",1.03,9702,5.29,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication >= 0.50"
"Major dietary changes in the last 5 years_Yes, because of illness",0.01129,0.0,0.035,0.035,189607,0.0031,"Major dietary changes in the last 5 years_Yes, because of illness",1.28,26010,17.56,"Major dietary changes in the last 5 years_Yes, because of illness >= 0.50"
(AD) alzheimer's disease genetic risk,0.01126,0.00098,-0.006,-0.005,189607,0.00049,(AD) alzheimer's disease genetic risk,1.24,1629,1.07,(AD) alzheimer's disease genetic risk < -2.00
Alcohol intake frequency._One to three times a month,0.01123,0.0,0.021,0.021,189607,0.00128,Alcohol intake frequency._One to three times a month,1.18,22237,13.82,Alcohol intake frequency._One to three times a month >= 0.50
Oily fish intake_Less than once a week,0.0112,0.00018,0.009,0.009,189607,0.01008,Oily fish intake_Less than once a week,1.04,61105,33.5,Oily fish intake_Less than once a week >= 0.50
(CAD) coronary artery disease genetic risk,0.01114,0.32466,-0.002,-0.002,189607,0.00052,(CAD) coronary artery disease genetic risk,1.08,4476,2.55,(CAD) coronary artery disease genetic risk < -2.00
Personal history of diseases of digestive system,0.01044,0.0,0.016,0.016,189607,0.00061,Personal history of diseases of digestive system,1.92,504,0.51,Personal history of diseases of digestive system >= 5.40
"Medication for cholesterol, blood pressure or diabetes_None",0.01043,0.0,0.024,0.024,189607,0.02998,"Medication for cholesterol, blood pressure or diabetes_None",1.06,112841,63.22,"Medication for cholesterol, blood pressure or diabetes_None >= 0.50"
"Long-standing illness, disability or infirmity_No",0.01029,0.0,-0.044,-0.044,189607,0.03191,"Long-standing illness, disability or infirmity_No",1.17,77824,47.87,"Long-standing illness, disability or infirmity_No < 0.50"
SHBG,0.01017,0.0,-0.015,-0.013,189607,0.00037,SHBG,1.34,508,0.36,-0.18 <= SHBG < -0.18
Oily fish intake_2-4 times a week,0.00978,0.0,-0.017,-0.017,189607,0.00233,Oily fish intake_2-4 times a week,1.02,156409,84.5,Oily fish intake_2-4 times a week < 0.50
Ethnic background_British,0.00957,0.0,0.015,0.015,189607,0.02758,Ethnic background_British,1.02,168010,90.14,Ethnic background_British >= 0.50
(BD) bipolar disorder genetic risk,0.00909,0.00929,-0.007,-0.006,189607,0.0,(BD) bipolar disorder genetic risk,1.03,101959,55.21,(BD) bipolar disorder genetic risk < 0.05
Genetic ethnic grouping_None,0.00899,0.0,-0.013,-0.013,189607,0.00258,Genetic ethnic grouping_None,1.02,155258,83.51,Genetic ethnic grouping_None < 0.50
Albumin,0.00897,0.0,-0.019,-0.017,189607,0.00052,Albumin,1.41,3512,2.61,Albumin < -2.40
Cholelithiasis with other cholecystitis,0.00896,0.01827,0.002,0.002,189607,0.00011,Cholelithiasis with other cholecystitis,1.0,187855,99.53,-0.18 <= Cholelithiasis with other cholecystitis < 0.36
age,0.00877,0.47568,0.002,0.002,189607,0.00072,age,1.05,11545,6.42,1.10 <= age < 1.30
(VTE) venous thromboembolic disease genetic risk,0.00863,0.00222,0.007,0.006,189607,0.00136,(VTE) venous thromboembolic disease genetic risk,1.06,19054,10.67,-0.14 <= (VTE) venous thromboembolic disease genetic risk < 0.02
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Hormone replacement therapy",0.00863,0.0,0.016,0.016,189607,0.00105,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Hormone replacement therapy",1.28,6089,4.1,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Hormone replacement therapy >= 0.50"
(HEIGHT) height genetic risk,0.0085,8e-05,0.007,0.006,189607,0.00058,(HEIGHT) height genetic risk,1.17,1601,0.99,-1.70 <= (HEIGHT) height genetic risk < -1.60
