Query,name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,feature_level_sum_kg_hits,sim_score,KG_Hits,cui,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
3-Hydroxybutyrate,3-Hydroxybutyrate,0.002,0.0,0.023,0.02,1,0.143,3-Hydroxybutyrate,1.11,14658,17.73,-0.49 <= 3-Hydroxybutyrate < -0.02,3-Hydroxybutyrate,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),9429,100459,8,0.0,-1.678,0,1
Acetate,Acetate,0.002,0.0,-0.004,-0.003,1,0.103,Acetate,1.0,86320,94.22,Acetate < 0.15,Acetate,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),379814,100459,339,0.0,-1.605,0,1
Acetoacetate,Acetoacetate,0.002,0.0,0.034,0.03,1,0.137,Acetoacetate,1.24,9070,12.28,Acetoacetate >= 0.62,Acetoacetate,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),5088,100459,2,0.0,-2.788,0,1
Acetone,Acetone,0.003,0.0,0.024,0.021,1,0.082,Acetone,1.36,2195,3.26,2.40 <= Acetone < 10.00,Acetone,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),31908,100459,16,0.0,-2.437,0,1
(AD) alzheimer's disease genetic risk,(AD) alzheimer's disease genetic risk,0.003,0.263,-0.003,-0.002,1,0.307,(AD) alzheimer's disease genetic risk,1.01,5427,5.98,(AD) alzheimer's disease genetic risk >= 1.80,(AD) alzheimer's disease genetic risk,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),15450,100459,3,0.0,-3.806,0,1
Age angina diagnosed_35,Age angina diagnosed_35,0.0,0.0,0.013,0.013,1,0.0,Age angina diagnosed_35,1.0,91558,99.89,Age angina diagnosed_35 < 0.50,Age angina diagnosed_35,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1517,100459,0,0.016,0.0,0,0
Age angina diagnosed_infrequent_,Age angina diagnosed_infrequent_,0.0,0.0,0.021,0.021,1,0.0,Age angina diagnosed_infrequent_,1.0,91445,99.6,Age angina diagnosed_infrequent_ < 0.50,Age angina diagnosed_infrequent_,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),38,100459,0,0.902,0.0,0,0
Alcohol intake frequency._Daily or almost daily,Alcohol intake frequency._Daily or almost daily,0.036,0.0,0.057,0.057,1,0.002,Alcohol intake frequency._Daily or almost daily,1.31,21296,30.42,Alcohol intake frequency._Daily or almost daily >= 0.50,Alcohol intake frequency._Daily or almost daily,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),742117,100459,1042,0.0,-0.951,0,1
Alcohol intake frequency._Once or twice a week,Alcohol intake frequency._Once or twice a week,0.002,0.0,-0.025,-0.025,1,0.0,Alcohol intake frequency._Once or twice a week,1.04,68558,78.14,Alcohol intake frequency._Once or twice a week < 0.50,Alcohol intake frequency._Once or twice a week,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),35744,100459,57,0.0,-0.768,0,1
Alcohol intake frequency._Special occasions only,Alcohol intake frequency._Special occasions only,0.003,0.0,-0.022,-0.022,1,0.0,Alcohol intake frequency._Special occasions only,1.02,82186,91.75,Alcohol intake frequency._Special occasions only < 0.50,Alcohol intake frequency._Special occasions only,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),99,100459,0,0.764,0.0,0,0
Alcohol intake frequency._Three or four times a week,Alcohol intake frequency._Three or four times a week,0.002,0.004,0.009,0.009,1,0.0,Alcohol intake frequency._Three or four times a week,1.05,21264,24.41,Alcohol intake frequency._Three or four times a week >= 0.50,Alcohol intake frequency._Three or four times a week,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),33106,100459,87,0.407,-0.047,0,1
Altered mental status,Altered mental status,0.0,0.169,-0.005,-0.005,1,0.0,Altered mental status,1.0,90929,99.41,-13.00 <= Altered mental status < 2.40,Altered mental status,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),8587,100459,20,0.287,-0.221,0,1
Angina pectoris,Angina pectoris,0.001,0.044,-0.003,-0.003,1,0.001,Angina pectoris,1.54,1582,2.66,Angina pectoris < -3.20,Angina pectoris,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),52818,100459,104,0.0,-0.464,0,1
Apolipoprotein A Blood biochemistry,Apolipoprotein A Blood biochemistry,0.048,0.013,-0.012,-0.01,1,0.01,Apolipoprotein A Blood biochemistry,1.15,7980,10.0,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,Apolipoprotein A Blood biochemistry,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1135,100459,0,0.046,0.0,0,0
Apolipoprotein B Blood biochemistry,Apolipoprotein B Blood biochemistry,0.039,0.0,-0.036,-0.03,1,0.01,Apolipoprotein B Blood biochemistry,1.43,1791,2.81,-1.60 <= Apolipoprotein B Blood biochemistry < -1.50,Apolipoprotein B Blood biochemistry,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),903,100459,3,0.768,0.291,0,1
Apolipoprotein B to Apolipoprotein A1 ratio,Apolipoprotein B to Apolipoprotein A1 ratio,0.004,0.0,-0.033,-0.029,1,0.136,Apolipoprotein B to Apolipoprotein A1 ratio,1.28,5102,7.11,-2.50 <= Apolipoprotein B to Apolipoprotein A1 ratio < -1.60,Apolipoprotein B to Apolipoprotein A1 ratio,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1541,100459,1,0.079,-2.065,0,0
