feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,Novel/Interesting?,Makes Sense?,COMMENTS
Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0.078,0.0,-0.052,0.002,0,1.04,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,285,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 1 gout","Non-cancer illness code, self-reported | Array 1__gout",0.059,0.0,0.223,0.013,0,6.78,"Non-cancer illness code, self-reported | Array 1__gout >= 0.50",58,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Apolipoprotein A Blood biochemistry,Apolipoprotein A Blood biochemistry,0.048,0.013,-0.012,0.01,0,1.15,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,1135,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Arm fat percentage (left),Arm fat percentage (left),0.04,0.203,0.016,0.004,0,1.18,-0.01 <= Arm fat percentage (left) < 0.61,41,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 2 gout","Non-cancer illness code, self-reported | Array 2__gout",0.037,0.0,0.193,0.01,0,6.61,"Non-cancer illness code, self-reported | Array 2__gout >= 0.50",56,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 3 gout","Non-cancer illness code, self-reported | Array 3__gout",0.023,0.0,0.162,0.007,0,0.96,"Non-cancer illness code, self-reported | Array 3__gout < 0.50",49,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Long-standing illness, disability or infirmity_Yes","Long-standing illness, disability or infirmity_Yes",0.023,0.0,0.087,0.004,0,1.3,"Long-standing illness, disability or infirmity_Yes >= 0.50",205,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Qualifications_None of the above,Qualifications_None of the above,0.02,0.0,0.032,0.0,0,1.17,Qualifications_None of the above >= 0.50,26,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Home area population density - urban or rural_Scotland - Other Urban Area,Home area population density - urban or rural_Scotland - Other Urban Area,0.014,0.0,-0.027,0.0,0,1.01,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,282,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 4 gout","Non-cancer illness code, self-reported | Array 4__gout",0.009,0.0,0.113,0.003,0,0.98,"Non-cancer illness code, self-reported | Array 4__gout < 0.50",26,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
(HT) hypertension genetic risk,(HT) hypertension genetic risk,0.008,0.0,0.035,0.307,0,1.23,(HT) hypertension genetic risk >= 1.20,19216,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Congestive heart failure (CHF) NOS,Congestive heart failure (CHF) NOS,0.008,0.07,0.007,0.002,0,0.98,-0.20 <= Congestive heart failure (CHF) NOS < 0.76,473,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Date of all cause dementia report,Date of all cause dementia report,0.007,0.0,-0.023,0.002,0,1.0,-5.20 <= Date of all cause dementia report < 1.10,803,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Pulse wave reflection index,Pulse wave reflection index,0.005,0.661,-0.001,0.001,0,1.07,-2.20 <= Pulse wave reflection index < -0.67,1707,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Home area population density - urban or rural_England/Wales - Urban - less sparse,Home area population density - urban or rural_England/Wales - Urban - less sparse,0.005,0.0,0.034,0.001,0,1.05,Home area population density - urban or rural_England/Wales - Urban - less sparse >= 0.50,278,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
(VTE) venous thromboembolic disease genetic risk,(VTE) venous thromboembolic disease genetic risk,0.003,0.762,0.001,0.308,0,1.0,(VTE) venous thromboembolic disease genetic risk < 3.60,1205,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 5 gout","Non-cancer illness code, self-reported | Array 5__gout",0.003,0.0,0.08,0.002,0,0.99,"Non-cancer illness code, self-reported | Array 5__gout < 0.50",25,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Meat substitutes - vegetarian,Meat substitutes - vegetarian,0.003,0.255,0.004,0.0,0,1.01,-0.18 <= Meat substitutes - vegetarian < 3.10,64,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Alcohol intake frequency._Special occasions only,Alcohol intake frequency._Special occasions only,0.003,0.0,-0.022,0.0,0,1.02,Alcohol intake frequency._Special occasions only < 0.50,99,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Concentration of Very Large VLDL Particles,Concentration of Very Large VLDL Particles,0.002,0.0,0.029,0.07,0,1.4,2.10 <= Concentration of Very Large VLDL Particles < 5.40,385,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Concentration of IDL Particles,Concentration of IDL Particles,0.002,0.0,-0.033,0.06,0,1.43,-3.80 <= Concentration of IDL Particles < -2.40,296,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,0.002,0.007,0.009,0.0,0,1.1,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse >= 0.50,278,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Average Diameter for HDL Particles,Average Diameter for HDL Particles,0.001,0.0,-0.021,0.03,0,1.15,-3.00 <= Average Diameter for HDL Particles < -0.96,49,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Average Diameter for VLDL Particles,Average Diameter for VLDL Particles,0.001,0.0,0.031,0.028,0,1.87,3.30 <= Average Diameter for VLDL Particles < 5.90,27,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Average Diameter for LDL Particles,Average Diameter for LDL Particles,0.001,0.0,-0.027,0.004,0,1.21,-5.50 <= Average Diameter for LDL Particles < -0.75,58,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 6 gout","Non-cancer illness code, self-reported | Array 6__gout",0.001,0.0,0.058,0.001,0,0.99,"Non-cancer illness code, self-reported | Array 6__gout < 0.50",36,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
