Query,name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,feature_level_sum_kg_hits,sim_score,KG_Hits,cui,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
3-Hydroxybutyrate,3-Hydroxybutyrate,0.005,0.0,0.023,0.02,1,0.143,3-Hydroxybutyrate,1.11,14658,17.73,-0.49 <= 3-Hydroxybutyrate < -0.02,3-Hydroxybutyrate,0,0.0,0,,Gout,9429,23360,4,0.291,-0.574,0,1
Acetoacetate,Acetoacetate,0.004,0.0,0.034,0.03,1,0.137,Acetoacetate,1.24,9070,12.28,Acetoacetate >= 0.62,Acetoacetate,0,0.0,0,,Gout,5088,23360,3,0.6,-0.099,0,1
Acetone,Acetone,0.008,0.0,0.024,0.021,1,0.082,Acetone,1.36,2195,3.26,2.40 <= Acetone < 10.00,Acetone,0,0.0,0,,Gout,31908,23360,9,0.005,-1.162,0,1
(AD) alzheimer's disease genetic risk,(AD) alzheimer's disease genetic risk,0.004,0.263,-0.003,-0.002,1,0.307,(AD) alzheimer's disease genetic risk,1.01,5427,5.98,(AD) alzheimer's disease genetic risk >= 1.80,(AD) alzheimer's disease genetic risk,0,0.0,0,,Gout,15450,23360,3,0.012,-1.701,0,1
Age angina diagnosed_infrequent_,Age angina diagnosed_infrequent_,0.0,0.0,0.021,0.021,1,0.0,Age angina diagnosed_infrequent_,1.0,91445,99.6,Age angina diagnosed_infrequent_ < 0.50,Age angina diagnosed_infrequent_,0,0.0,0,,Gout,38,23360,0,0.976,0.0,0,0
Age angina diagnosed_None,Age angina diagnosed_None,0.0,0.0,-0.042,-0.042,1,0.001,Age angina diagnosed_None,1.48,6006,9.67,Age angina diagnosed_None < 0.50,Age angina diagnosed_None,0,0.0,0,,Gout,480,23360,1,0.962,1.722,0,0
Alanine,Alanine,0.003,0.0,0.025,0.022,1,0.107,Alanine,1.4,1058,1.62,Alanine >= 3.10,Alanine,0,0.0,0,,Gout,143614,23360,90,0.5,-0.011,0,1
Alcohol intake frequency._Never,Alcohol intake frequency._Never,0.0,0.018,-0.008,-0.008,1,0.0,Alcohol intake frequency._Never,1.01,84338,92.72,Alcohol intake frequency._Never < 0.50,Alcohol intake frequency._Never,0,0.0,0,,Gout,2195,23360,4,0.986,1.529,0,1
Alcohol intake frequency._Once or twice a week,Alcohol intake frequency._Once or twice a week,0.002,0.0,-0.025,-0.025,1,0.0,Alcohol intake frequency._Once or twice a week,1.04,68558,78.14,Alcohol intake frequency._Once or twice a week < 0.50,Alcohol intake frequency._Once or twice a week,0,0.0,0,,Gout,35744,23360,19,0.266,-0.248,0,1
Alcohol intake frequency._Special occasions only,Alcohol intake frequency._Special occasions only,0.003,0.0,-0.022,-0.022,1,0.0,Alcohol intake frequency._Special occasions only,1.02,82186,91.75,Alcohol intake frequency._Special occasions only < 0.50,Alcohol intake frequency._Special occasions only,0,0.0,0,,Gout,99,23360,0,0.939,0.0,0,0
Alcohol intake frequency._Three or four times a week,Alcohol intake frequency._Three or four times a week,0.005,0.004,0.009,0.009,1,0.0,Alcohol intake frequency._Three or four times a week,1.05,21264,24.41,Alcohol intake frequency._Three or four times a week >= 0.50,Alcohol intake frequency._Three or four times a week,0,0.0,0,,Gout,33106,23360,11,0.014,-0.926,0,1
Apolipoprotein A Blood biochemistry,Apolipoprotein A Blood biochemistry,0.043,0.013,-0.012,-0.01,1,0.01,Apolipoprotein A Blood biochemistry,1.15,7980,10.0,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,Apolipoprotein A Blood biochemistry,0,0.0,0,,Gout,1135,23360,1,0.838,0.481,0,0
Apolipoprotein B to Apolipoprotein A1 ratio,Apolipoprotein B to Apolipoprotein A1 ratio,0.004,0.0,-0.033,-0.029,1,0.136,Apolipoprotein B to Apolipoprotein A1 ratio,1.28,5102,7.11,-2.50 <= Apolipoprotein B to Apolipoprotein A1 ratio < -1.60,Apolipoprotein B to Apolipoprotein A1 ratio,0,0.0,0,,Gout,1541,23360,1,0.746,0.04,0,0
Arm fat percentage (left),Arm fat percentage (left),0.024,0.203,0.016,0.013,1,0.004,Arm fat percentage (left),1.18,16282,20.9,-0.01 <= Arm fat percentage (left) < 0.61,Arm fat percentage (left),0,0.0,0,,Gout,41,23360,0,0.974,0.0,0,0
Asthma,Asthma,0.005,0.036,-0.005,-0.005,1,0.0,Asthma,1.14,1677,2.1,-2.60 <= Asthma < -0.08,Asthma,0,0.0,0,,Gout,224834,23360,134,0.268,-0.083,0,1
Atrial fibrillation and flutter,Atrial fibrillation and flutter,0.01,0.197,-0.001,-0.001,1,0.002,Atrial fibrillation and flutter,2.0,1394,3.05,-5.10 <= Atrial fibrillation and flutter < -1.20,Atrial fibrillation and flutter,0,0.0,0,,Gout,7439,23360,3,0.31,-0.647,0,1
Average Diameter for HDL Particles,Average Diameter for HDL Particles,0.001,0.0,-0.021,-0.02,1,0.03,Average Diameter for HDL Particles,1.15,7281,9.12,-3.00 <= Average Diameter for HDL Particles < -0.96,Average Diameter for HDL Particles,0,0.0,0,,Gout,49,23360,0,0.97,0.0,0,0
Average Diameter for LDL Particles,Average Diameter for LDL Particles,0.002,0.0,-0.027,-0.025,1,0.004,Average Diameter for LDL Particles,1.21,7036,9.26,-5.50 <= Average Diameter for LDL Particles < -0.75,Average Diameter for LDL Particles,0,0.0,0,,Gout,58,23360,0,0.964,0.0,0,0
Average Diameter for VLDL Particles,Average Diameter for VLDL Particles,0.002,0.0,0.031,0.03,1,0.028,Average Diameter for VLDL Particles,1.87,986,2.01,3.30 <= Average Diameter for VLDL Particles < 5.90,Average Diameter for VLDL Particles,0,0.0,0,,Gout,27,23360,0,0.983,0.0,0,0
Bacterial infection NOS,Bacterial infection NOS,0.001,0.174,-0.0,-0.0,1,0.0,Bacterial infection NOS,1.32,1113,1.6,0.04 <= Bacterial infection NOS < 7.50,Bacterial infection NOS,0,0.0,0,,Gout,1090105,23360,0,0.0,0.0,0,0
Basophill percentage,Basophill percentage,0.003,0.617,-0.005,-0.004,1,0.003,Basophill percentage,1.21,1897,2.5,-0.52 <= Basophill percentage < -0.48,Basophill percentage,0,0.0,0,,Gout,536569,23360,294,0.007,-0.204,0,1
Benign neoplasm of colon,Benign neoplasm of colon,0.002,0.78,0.003,0.002,1,0.001,Benign neoplasm of colon,1.2,3282,4.29,-8.00 <= Benign neoplasm of colon < -0.15,Benign neoplasm of colon,0,0.0,0,,Gout,150142,23360,42,0.0,-1.174,0,1
Birth weight,Birth weight,0.012,0.0,-0.017,-0.015,1,0.002,Birth weight,1.03,72146,81.36,-3.70 <= Birth weight < 0.07,Birth weight,0,0.0,0,,Gout,130664,23360,13,0.0,-2.666,0,1
Cancer of bronchus; lung,Cancer of bronchus; lung,0.002,0.426,0.005,0.005,1,0.0,Cancer of bronchus; lung,1.0,90707,99.5,-0.09 <= Cancer of bronchus; lung < 0.51,Cancer of bronchus; lung,0,0.0,0,,Gout,90986,23360,10,0.0,-2.522,0,1
Cancer of prostate,Cancer of prostate,0.004,0.796,0.0,0.0,1,0.0,Cancer of prostate,1.01,88093,97.06,-0.14 <= Cancer of prostate < 0.15,Cancer of prostate,0,0.0,0,,Gout,217170,23360,73,0.0,-0.909,0,1
Cholesterol in IDL,Cholesterol in IDL,0.002,0.0,-0.038,-0.036,1,0.068,Cholesterol in IDL,1.76,1026,1.98,-4.60 <= Cholesterol in IDL < -3.20,Cholesterol in IDL,0,0.0,0,,Gout,1207,23360,1,0.822,0.392,0,0
Cholesterol in Large LDL,Cholesterol in Large LDL,0.001,0.0,-0.027,-0.025,1,0.057,Cholesterol in Large LDL,1.33,3998,5.79,-4.40 <= Cholesterol in Large LDL < -1.80,Cholesterol in Large LDL,0,0.0,0,,Gout,6408,23360,9,0.991,1.154,0,1
Cholesterol in Medium VLDL,Cholesterol in Medium VLDL,0.001,0.0,-0.029,-0.027,1,0.061,Cholesterol in Medium VLDL,1.64,1417,2.54,Cholesterol in Medium VLDL < -2.90,Cholesterol in Medium VLDL,0,0.0,0,,Gout,412,23360,0,0.771,0.0,0,0
Cholesterol in Small VLDL,Cholesterol in Small VLDL,0.002,0.001,-0.012,-0.012,1,0.054,Cholesterol in Small VLDL,1.0,81085,88.96,-3.70 <= Cholesterol in Small VLDL < 0.00,Cholesterol in Small VLDL,0,0.0,0,,Gout,1167,23360,0,0.479,0.0,0,0
Chronic airway obstruction,Chronic airway obstruction,0.001,0.784,0.003,0.003,1,0.0,Chronic airway obstruction,1.2,1483,1.94,Chronic airway obstruction >= 2.40,Chronic airway obstruction,0,0.0,0,,Gout,105722,23360,60,0.224,-0.154,0,1
Circulatory disease NEC,Circulatory disease NEC,0.002,0.039,-0.002,-0.002,1,0.001,Circulatory disease NEC,1.39,1979,3.01,-4.80 <= Circulatory disease NEC < -0.20,Circulatory disease NEC,0,0.0,0,,Gout,61,23360,0,0.962,0.0,0,0
Complications of surgical and medical procedures,Complications of surgical and medical procedures,0.001,0.018,0.006,0.006,1,0.0,Complications of surgical and medical procedures,1.0,90414,98.3,-0.19 <= Complications of surgical and medical procedures < 0.23,Complications of surgical and medical procedures,0,0.0,0,,Gout,308395,23360,142,0.0,-0.455,0,1
Complications of transplants and reattached limbs,Complications of transplants and reattached limbs,0.0,0.104,-0.002,-0.002,1,0.0,Complications of transplants and reattached limbs,0.99,89350,97.0,-1.40 <= Complications of transplants and reattached limbs < 0.39,Complications of transplants and reattached limbs,0,0.0,0,,Gout,21,23360,0,0.987,0.0,0,0
Concentration of HDL Particles,Concentration of HDL Particles,0.001,0.112,0.002,0.002,1,0.039,Concentration of HDL Particles,1.21,2381,3.16,Concentration of HDL Particles < -2.30,Concentration of HDL Particles,0,0.0,0,,Gout,2966,23360,0,0.154,0.0,0,0
