Query,name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,feature_level_sum_kg_hits,sim_score,KG_Hits,cui,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
3-Hydroxybutyrate,3-Hydroxybutyrate,0.004,0.0,0.023,0.02,1,0.143,3-Hydroxybutyrate,1.11,14658,17.73,-0.49 <= 3-Hydroxybutyrate < -0.02,3-Hydroxybutyrate,0,0.0,0,,oesophagus cancer,9429,80017,1,0.0,-4.35,0,0
Acetate,Acetate,0.002,0.0,-0.004,-0.003,1,0.103,Acetate,1.0,86320,94.22,Acetate < 0.15,Acetate,0,0.0,0,,oesophagus cancer,379814,80017,194,0.0,-2.082,0,1
Acetoacetate,Acetoacetate,0.003,0.0,0.034,0.03,1,0.137,Acetoacetate,1.24,9070,12.28,Acetoacetate >= 0.62,Acetoacetate,0,0.0,0,,oesophagus cancer,5088,80017,0,0.0,0.0,0,0
Acetone,Acetone,0.006,0.0,0.024,0.021,1,0.082,Acetone,1.36,2195,3.26,2.40 <= Acetone < 10.00,Acetone,0,0.0,0,,oesophagus cancer,31908,80017,15,0.0,-2.202,0,1
(AD) alzheimer's disease genetic risk,(AD) alzheimer's disease genetic risk,0.004,0.263,-0.003,-0.002,1,0.307,(AD) alzheimer's disease genetic risk,1.01,5427,5.98,(AD) alzheimer's disease genetic risk >= 1.80,(AD) alzheimer's disease genetic risk,0,0.0,0,,oesophagus cancer,15450,80017,0,0.0,0.0,0,0
Age angina diagnosed_infrequent_,Age angina diagnosed_infrequent_,0.0,0.0,0.021,0.021,1,0.0,Age angina diagnosed_infrequent_,1.0,91445,99.6,Age angina diagnosed_infrequent_ < 0.50,Age angina diagnosed_infrequent_,0,0.0,0,,oesophagus cancer,38,80017,0,0.921,0.0,0,0
Age diabetes diagnosed,Age diabetes diagnosed,0.007,0.0,0.027,0.026,1,0.001,Age diabetes diagnosed,1.52,1339,2.23,Age diabetes diagnosed >= 2.50,Age diabetes diagnosed,0,0.0,0,,oesophagus cancer,135579,80017,119,0.0,-1.301,0,1
Age high blood pressure diagnosed_23,Age high blood pressure diagnosed_23,0.001,0.0,0.017,0.017,1,0.0,Age high blood pressure diagnosed_23,1.0,91528,99.8,Age high blood pressure diagnosed_23 < 0.50,Age high blood pressure diagnosed_23,0,0.0,0,,oesophagus cancer,19788,80017,10,0.0,-2.097,0,1
Age high blood pressure diagnosed_40,Age high blood pressure diagnosed_40,0.001,0.0,0.037,0.037,1,0.001,Age high blood pressure diagnosed_40,1.76,1861,3.58,Age high blood pressure diagnosed_40 >= 0.50,Age high blood pressure diagnosed_40,0,0.0,0,,oesophagus cancer,20819,80017,15,0.0,-1.586,0,1
Age high blood pressure diagnosed_56,Age high blood pressure diagnosed_56,0.0,0.002,0.01,0.01,1,0.0,Age high blood pressure diagnosed_56,1.26,1218,1.68,Age high blood pressure diagnosed_56 >= 0.50,Age high blood pressure diagnosed_56,0,0.0,0,,oesophagus cancer,12165,80017,11,0.001,-1.258,0,1
